metric_optim,lr,fold,NSR,dataset,metric_eval,y
ap,0.001,0,1,citeulike,AP,0.834
ap,0.001,0,1,citeulike,NDCG,0.9318
ap,0.001,0,1,citeulike,RBP_80,0.7379
ap,0.001,0,1,citeulike,RBP_90,0.5694
ap,0.001,0,1,citeulike,RBP_95,0.3897
ap,0.01,0,1,citeulike,RR,0.9488
dcg,0.001,0,1,citeulike,AP,0.8531
dcg,0.001,0,1,citeulike,NDCG,0.9417
dcg,0.001,0,1,citeulike,RBP_80,0.7528
dcg,0.001,0,1,citeulike,RBP_90,0.5786
dcg,0.001,0,1,citeulike,RBP_95,0.3942
dcg,0.001,0,1,citeulike,RR,0.9627
rbp_80,0.01,0,1,citeulike,AP,0.8418
rbp_80,0.001,0,1,citeulike,NDCG,0.9393
rbp_80,0.001,0,1,citeulike,RBP_80,0.7486
rbp_80,0.01,0,1,citeulike,RBP_90,0.5739
rbp_80,0.01,0,1,citeulike,RBP_95,0.3903
rbp_80,0.001,0,1,citeulike,RR,0.9681
rbp_90,0.001,0,1,citeulike,AP,0.8826
rbp_90,0.001,0,1,citeulike,NDCG,0.9564
rbp_90,0.001,0,1,citeulike,RBP_80,0.7775
rbp_90,0.001,0,1,citeulike,RBP_90,0.5927
rbp_90,0.001,0,1,citeulike,RBP_95,0.4003
rbp_90,0.001,0,1,citeulike,RR,0.9787
rbp_95,0.001,0,1,citeulike,AP,0.9023
rbp_95,0.001,0,1,citeulike,NDCG,0.9643
rbp_95,0.001,0,1,citeulike,RBP_80,0.7909
rbp_95,0.001,0,1,citeulike,RBP_90,0.6016
rbp_95,0.001,0,1,citeulike,RBP_95,0.4051
rbp_95,0.001,0,1,citeulike,RR,0.9826
rr,0.01,0,1,citeulike,AP,0.5832
rr,0.01,0,1,citeulike,NDCG,0.7901
rr,0.01,0,1,citeulike,RBP_80,0.5003
rr,0.01,0,1,citeulike,RBP_90,0.4277
rr,0.01,0,1,citeulike,RBP_95,0.321
rr,0.01,0,1,citeulike,RR,0.7449
ap,0.001,0,2,citeulike,AP,0.8029
ap,0.001,0,2,citeulike,NDCG,0.9198
ap,0.001,0,2,citeulike,RBP_80,0.7175
ap,0.001,0,2,citeulike,RBP_90,0.5524
ap,0.001,0,2,citeulike,RBP_95,0.3794
ap,0.001,0,2,citeulike,RR,0.9481
dcg,0.001,0,2,citeulike,AP,0.8205
dcg,0.001,0,2,citeulike,NDCG,0.9276
dcg,0.001,0,2,citeulike,RBP_80,0.7305
dcg,0.001,0,2,citeulike,RBP_90,0.5617
dcg,0.001,0,2,citeulike,RBP_95,0.3844
dcg,0.001,0,2,citeulike,RR,0.952
rbp_80,0.001,0,2,citeulike,AP,0.7536
rbp_80,0.001,0,2,citeulike,NDCG,0.9008
rbp_80,0.001,0,2,citeulike,RBP_80,0.6897
rbp_80,0.001,0,2,citeulike,RBP_90,0.5271
rbp_80,0.01,0,2,citeulike,RBP_95,0.3633
rbp_80,0.001,0,2,citeulike,RR,0.9398
rbp_90,0.001,0,2,citeulike,AP,0.8088
rbp_90,0.001,0,2,citeulike,NDCG,0.9257
rbp_90,0.001,0,2,citeulike,RBP_80,0.7282
rbp_90,0.001,0,2,citeulike,RBP_90,0.556
rbp_90,0.001,0,2,citeulike,RBP_95,0.3794
rbp_90,0.001,0,2,citeulike,RR,0.9611
rbp_95,0.001,0,2,citeulike,AP,0.8412
rbp_95,0.001,0,2,citeulike,NDCG,0.9393
rbp_95,0.001,0,2,citeulike,RBP_80,0.7499
rbp_95,0.001,0,2,citeulike,RBP_90,0.5716
rbp_95,0.001,0,2,citeulike,RBP_95,0.3884
rbp_95,0.001,0,2,citeulike,RR,0.9677
rr,0.001,0,2,citeulike,AP,0.4245
rr,0.001,0,2,citeulike,NDCG,0.6968
rr,0.001,0,2,citeulike,RBP_80,0.3607
rr,0.001,0,2,citeulike,RBP_90,0.3222
rr,0.001,0,2,citeulike,RBP_95,0.2589
rr,0.001,0,2,citeulike,RR,0.6352
ap,0.001,0,5,citeulike,AP,0.7307
ap,0.001,0,5,citeulike,NDCG,0.8862
ap,0.001,0,5,citeulike,RBP_80,0.6703
ap,0.001,0,5,citeulike,RBP_90,0.5147
ap,0.001,0,5,citeulike,RBP_95,0.3561
ap,0.001,0,5,citeulike,RR,0.9223
dcg,0.001,0,5,citeulike,AP,0.752
dcg,0.001,0,5,citeulike,NDCG,0.8977
dcg,0.001,0,5,citeulike,RBP_80,0.6853
dcg,0.001,0,5,citeulike,RBP_90,0.5254
dcg,0.001,0,5,citeulike,RBP_95,0.362
dcg,0.001,0,5,citeulike,RR,0.9352
rbp_80,0.001,0,5,citeulike,AP,0.591
rbp_80,0.001,0,5,citeulike,NDCG,0.8182
