metric_optim,lr,fold,NSR,dataset,metric_eval,y
ap,3,0,1,citeulike,AP,0.8546
ap,10,0,1,citeulike,NDCG,0.9416
ap,3,0,1,citeulike,RBP_80,0.7522
ap,3,0,1,citeulike,RBP_90,0.5806
ap,3,0,1,citeulike,RBP_95,0.3962
ap,10,0,1,citeulike,RR,0.9639
dcg,3,0,1,citeulike,AP,0.8556
dcg,3,0,1,citeulike,NDCG,0.9432
dcg,3,0,1,citeulike,RBP_80,0.7536
dcg,3,0,1,citeulike,RBP_90,0.5801
dcg,1,0,1,citeulike,RBP_95,0.3956
dcg,3,0,1,citeulike,RR,0.9674
rbp_80,0.1,0,1,citeulike,AP,0.9122
rbp_80,0.1,0,1,citeulike,NDCG,0.9659
rbp_80,0.1,0,1,citeulike,RBP_80,0.794
rbp_80,0.1,0,1,citeulike,RBP_90,0.6064
rbp_80,0.1,0,1,citeulike,RBP_95,0.4085
rbp_80,0.1,0,1,citeulike,RR,0.9784
rbp_90,0.1,0,1,citeulike,AP,0.9122
rbp_90,0.1,0,1,citeulike,NDCG,0.9659
rbp_90,0.1,0,1,citeulike,RBP_80,0.794
rbp_90,0.1,0,1,citeulike,RBP_90,0.6064
rbp_90,0.1,0,1,citeulike,RBP_95,0.4085
rbp_90,0.1,0,1,citeulike,RR,0.9784
rbp_95,0.1,0,1,citeulike,AP,0.9122
rbp_95,0.1,0,1,citeulike,NDCG,0.9659
rbp_95,0.1,0,1,citeulike,RBP_80,0.794
rbp_95,0.1,0,1,citeulike,RBP_90,0.6064
rbp_95,0.1,0,1,citeulike,RBP_95,0.4085
rbp_95,0.1,0,1,citeulike,RR,0.9784
rr,3,0,1,citeulike,AP,0.5961
rr,3,0,1,citeulike,NDCG,0.8049
rr,3,0,1,citeulike,RBP_80,0.5194
rr,3,0,1,citeulike,RBP_90,0.4333
rr,3,0,1,citeulike,RBP_95,0.3216
rr,1,0,1,citeulike,RR,0.7933
ap,3,0,2,citeulike,AP,0.81
ap,3,0,2,citeulike,NDCG,0.923
ap,3,0,2,citeulike,RBP_80,0.7209
ap,3,0,2,citeulike,RBP_90,0.5576
ap,1,0,2,citeulike,RBP_95,0.3834
ap,3,0,2,citeulike,RR,0.9512
dcg,3,0,2,citeulike,AP,0.8127
dcg,1,0,2,citeulike,NDCG,0.9248
dcg,3,0,2,citeulike,RBP_80,0.7225
dcg,3,0,2,citeulike,RBP_90,0.5576
dcg,1,0,2,citeulike,RBP_95,0.3831
dcg,10,0,2,citeulike,RR,0.9558
rbp_80,0.1,0,2,citeulike,AP,0.8678
rbp_80,0.1,0,2,citeulike,NDCG,0.9481
rbp_80,0.1,0,2,citeulike,RBP_80,0.765
