loss_type,lr,threshold,reg,fold,frac,emb_size,NDCG@5,NDCG,RR,AP,RBP_80,RBP_90,RBP_95
lambda_dcg,0.1,0,0,0,1.0,32,0.6953,0.8529,0.8889,0.6629999999999999,0.6134,0.4958,0.3602
lambda_dcg,0.01,0,0,0,1.0,32,0.9324,0.9658,0.9847,0.9049,0.8114,0.6282,0.4285
lambda_rr,0.1,0,0,0,2.0,32,0.3658,0.6917,0.6046,0.4152,0.3515,0.3211,0.2644
lambda_ap,0.1,0,0,0,1.0,32,0.6817,0.8465,0.8849,0.6488,0.6002,0.4855,0.3542
lambda_ap,0.001,0,0,0,1.0,32,0.9383,0.9683,0.9857,0.9114,0.8162,0.6316,0.4303
lambda_rr,0.001,0,0,0,1.0,32,0.5911,0.8121,0.823,0.5988,0.5375,0.4507,0.3385
lambda_rr,0.01,0,0,0,1.0,32,0.581,0.8081,0.8181,0.5925,0.5296,0.4461,0.3364
lambda_ap,0.01,0,0,0,1.0,32,0.9274,0.9636,0.9831,0.8993,0.8075,0.6254,0.42700000000000005
lambda_rr,0.1,0,0,0,1.0,32,0.513,0.784,0.7186,0.5719,0.4935,0.4324,0.3322
lambda_dcg,0.001,0,0,0,1.0,32,0.9379,0.9681,0.9849,0.9112,0.816,0.6313,0.4302
lambda_dcg,0.001,0,0,0,2.0,32,0.9148,0.9526,0.9773,0.8716,0.7925,0.612,0.4183
lambda_dcg,0.01,0,0,0,2.0,32,0.9047,0.9475,0.9728,0.8604,0.7839,0.6063,0.4155
lambda_dcg,0.1,0,0,0,2.0,32,0.6052,0.7895,0.8374,0.5398,0.5228,0.4215,0.3136
lambda_ap,0.1,0,0,0,2.0,32,0.5812,0.7758,0.8236,0.5144,0.4969,0.401,0.301
lambda_rr,0.01,0,0,0,2.0,32,0.469,0.7285,0.7490000000000001,0.4467,0.4121,0.3478,0.2742
lambda_rr,0.001,0,0,0,2.0,32,0.4898,0.7375,0.7659999999999999,0.4587,0.4272,0.3568,0.2788
lambda_ap,0.01,0,0,0,2.0,32,0.9007,0.9449,0.9721,0.8540000000000001,0.7794,0.6031,0.4137
lambda_ap,0.001,0,0,0,2.0,32,0.915,0.9520000000000001,0.9751,0.871,0.792,0.6116,0.4181
lambda_dcg,0.1,0,0,0,5.0,32,0.5453,0.7213,0.7875,0.425,0.4522,0.3501,0.2582
lambda_dcg,0.01,0,0,0,5.0,32,0.8483,0.9103,0.9490000000000001,0.7769,0.7305,0.5638,0.3887
lambda_dcg,0.001,0,0,0,5.0,32,0.8645,0.9198,0.9595,0.7965,0.7452,0.5743,0.3944
lambda_ap,0.1,0,0,0,5.0,32,0.5083,0.6991,0.7717,0.3856,0.4154,0.3189,0.2372
lambda_ap,0.01,0,0,0,5.0,32,0.8408,0.9061,0.9436,0.7687,0.7242,0.5594,0.3862
lambda_rr,0.001,0,0,0,5.0,32,0.4733,0.6755,0.7603,0.3457,0.3756,0.2825,0.2122
lambda_ap,0.001,0,0,0,5.0,32,0.8662,0.9204,0.9586,0.7981,0.747,0.5755,0.3951
lambda_rbp_80,0.001,0,0,0,1.0,32,0.9333,0.965,0.9863,0.9006,0.8109,0.6268,0.4273
lambda_rbp_90,0.001,0,0,0,1.0,32,0.9401,0.9686,0.9874,0.9106,0.8168,0.6312,0.4298
lambda_rbp_95,0.001,0,0,0,1.0,32,0.9461,0.9718,0.9889,0.9188,0.8223,0.6351,0.4319
lambda_rbp_90,0.01,0,0,0,1.0,32,0.9334,0.9654,0.9837,0.9031,0.8116,0.6278,0.4281
lambda_rbp_80,0.01,0,0,0,1.0,32,0.9212,0.9594,0.9803,0.8882,0.8013,0.6205,0.424
lambda_rr,0.01,0,0,0,5.0,32,0.3743,0.6282,0.6709999999999999,0.2904,0.3016,0.2365,0.1878
lambda_rr,0.1,0,0,0,5.0,32,0.1954,0.5589,0.4153,0.23199999999999998,0.1877,0.1781,0.1617
lambda_rbp_95,0.01,0,0,0,1.0,32,0.938,0.9681,0.9844,0.9114,0.8162,0.6316,0.4303
lambda_rbp_80,0.1,0,0,0,1.0,32,0.653,0.8361,0.8808,0.6283,0.5767,0.47,0.3463
lambda_rbp_90,0.1,0,0,0,1.0,32,0.6857,0.8475,0.8921,0.6479,0.6003,0.4837,0.3525
lambda_rbp_95,0.1,0,0,0,1.0,32,0.7104,0.8581,0.8971,0.6694,0.623,0.4996,0.3608
lambda_rbp_80,0.001,0,0,0,2.0,32,0.8993,0.9408,0.9745,0.8389,0.7742,0.5969,0.4091
lambda_rbp_90,0.001,0,0,0,2.0,32,0.9109,0.9476,0.977,0.8572,0.7855,0.6055,0.414
lambda_rbp_95,0.001,0,0,0,2.0,32,0.9197,0.9536,0.9817,0.8721,0.7946,0.6126,0.4182
lambda_rbp_80,0.01,0,0,0,2.0,32,0.8827,0.9324,0.9644,0.8218,0.7597,0.5870000000000001,0.4038
lambda_rbp_90,0.01,0,0,0,2.0,32,0.8986,0.9424,0.9709,0.8458,0.7761,0.5994,0.41100000000000003
lambda_rbp_95,0.01,0,0,0,2.0,32,0.9077,0.9477,0.9732,0.8602,0.785,0.6067,0.4154
lambda_rbp_80,0.1,0,0,0,2.0,32,0.5263,0.7516,0.7896,0.4771,0.4537,0.3722,0.2856
lambda_rbp_90,0.1,0,0,0,2.0,32,0.5783,0.7746,0.8286,0.5094,0.4934,0.3963,0.2975
lambda_rbp_95,0.1,0,0,0,2.0,32,0.628,0.7967,0.8593,0.5445,0.5327,0.4224,0.3113
