NDCG@5,NDCG,AP,RR,RBP_80,RBP_90,RBP_95
0.6164,0.8404,0.6635,1.0,0.5195,0.3821,0.2375
1.0,0.9969,0.9866,1.0,0.9581,0.7865,0.5329
1.0,0.98,0.9247,1.0,0.8707,0.6484,0.4137
1.0,0.964,0.8644,1.0,0.9012,0.7455,0.5321
0.8688,0.953,0.8479,1.0,0.7826,0.5809,0.3726
1.0,1.0,1.0,1.0,0.8926,0.6513,0.4013
1.0,0.9532,0.8395,1.0,0.8156,0.6293,0.4211
1.0,1.0,1.0,1.0,0.7379,0.4686,0.2649
1.0,0.9944,0.9738,1.0,0.9928,0.936,0.7596
1.0,1.0,1.0,1.0,0.7379,0.4686,0.2649
0.6992,0.9083,0.7611,1.0,0.5379,0.3538,0.2085
1.0,0.9979,0.9889,1.0,0.9994,0.9734,0.8358
1.0,0.9997,0.9983,1.0,0.995,0.9193,0.7072
1.0,1.0,1.0,1.0,0.7903,0.5217,0.3017
1.0,1.0,1.0,1.0,0.8926,0.6513,0.4013
1.0,1.0,1.0,1.0,0.7379,0.4686,0.2649
0.6399,0.8802,0.7409,1.0,0.644,0.5167,0.3379
0.8539,0.9348,0.8093,1.0,0.6207,0.411,0.245
1.0,1.0,1.0,1.0,0.7379,0.4686,0.2649
1.0,0.9976,0.9891,1.0,0.9676,0.8085,0.5564
1.0,1.0,1.0,1.0,0.7379,0.4686,0.2649
1.0,1.0,1.0,1.0,0.9885,0.8784,0.6415
1.0,0.9932,0.9718,1.0,0.9568,0.7784,0.5262
0.8688,0.9673,0.8965,1.0,0.6774,0.4378,0.2541
1.0,0.988,0.9545,1.0,0.8945,0.6623,0.4183
1.0,1.0,1.0,1.0,0.945,0.7458,0.4867
1.0,1.0,1.0,1.0,0.6723,0.4095,0.2262
0.8539,0.952,0.86,1.0,0.5968,0.3754,0.2149
1.0,0.9991,0.9958,1.0,0.9631,0.7918,0.5355
1.0,0.9707,0.8892,1.0,0.8917,0.6831,0.452
1.0,0.9963,0.9861,1.0,0.8238,0.5647,0.3348
