NDCG@5,NDCG,AP,RR,RBP_80,RBP_90,RBP_95
0.3392,0.6074,0.2725,1.0,0.2019,0.1239,0.1058
0.5087,0.7107,0.3342,1.0,0.3875,0.3114,0.2524
0.4852,0.734,0.4019,1.0,0.4089,0.3354,0.2588
0.3008,0.6143,0.2694,0.3333,0.2871,0.2886,0.2518
0.3601,0.6112,0.2842,0.5,0.3085,0.2542,0.2026
0.6164,0.7439,0.4192,1.0,0.426,0.3355,0.2508
0.0,0.4997,0.2014,0.125,0.0525,0.1165,0.1632
0.1461,0.5035,0.2372,0.25,0.1524,0.1821,0.1575
0.1461,0.5731,0.1819,0.25,0.1558,0.1749,0.1679
0.0,0.4883,0.2339,0.1429,0.1296,0.1792,0.1577
0.1312,0.4677,0.2003,0.2,0.1415,0.1514,0.1267
0.1696,0.616,0.2109,0.3333,0.2063,0.2047,0.2105
0.0,0.4881,0.129,0.0625,0.0078,0.0323,0.0644
0.0,0.4727,0.2063,0.1429,0.0817,0.144,0.153
0.0,0.4655,0.1574,0.1429,0.0684,0.1056,0.127
0.214,0.5566,0.2568,0.5,0.2205,0.19,0.1502
0.1461,0.5579,0.2686,0.25,0.2247,0.2407,0.2025
0.3452,0.5887,0.2989,0.5,0.2673,0.2198,0.1652
0.1696,0.4641,0.1701,0.3333,0.1317,0.1131,0.109
0.3008,0.5694,0.2148,0.3333,0.2226,0.1975,0.186
0.3392,0.6696,0.3414,1.0,0.2636,0.1986,0.1525
0.5087,0.7312,0.3458,1.0,0.4498,0.3648,0.298
0.0,0.5223,0.185,0.1429,0.1165,0.1701,0.1675
0.1461,0.5025,0.2253,0.25,0.1673,0.1804,0.1512
0.1312,0.5378,0.2411,0.2,0.1339,0.1912,0.2009
0.0,0.4811,0.1693,0.0769,0.0243,0.085,0.1347
0.1696,0.4591,0.1763,0.3333,0.1326,0.1145,0.1042
0.0,0.4768,0.2275,0.1667,0.1363,0.1701,0.1409
0.0,0.5122,0.1772,0.1429,0.0905,0.1302,0.1523
0.0,0.496,0.1786,0.0909,0.056,0.1222,0.1525
0.0,0.4756,0.1813,0.1429,0.1118,0.1496,0.143
0.5531,0.7439,0.3717,1.0,0.4637,0.3393,0.2525
0.1461,0.5348,0.3097,0.25,0.2064,0.2226,0.1663
0.3392,0.6492,0.2746,1.0,0.2389,0.2008,0.1999
0.6399,0.71,0.3333,1.0,0.4163,0.2918,0.2289
0.1696,0.5163,0.2472,0.3333,0.1868,0.1809,0.1423
0.5087,0.6817,0.264,1.0,0.3825,0.2619,0.2154
0.3392,0.6363,0.2964,1.0,0.2181,0.167,0.1467
0.0,0.4818,0.1519,0.1,0.0454,0.1,0.1273
0.1312,0.532,0.2875,0.2,0.2065,0.2246,0.1753
0.3836,0.6155,0.2463,0.5,0.3574,0.2676,0.1967
0.0,0.4596,0.1761,0.1,0.0585,0.1201,0.1396
0.0,0.3951,0.1404,0.0833,0.0312,0.0811,0.0981
0.0,0.5063,0.1517,0.0667,0.0136,0.0591,0.1094
0.5087,0.6813,0.2631,1.0,0.3731,0.2719,0.2232
0.1696,0.5606,0.2107,0.3333,0.2309,0.2183,0.1854
0.0,0.4709,0.2013,0.125,0.0825,0.1466,0.1516
0.4704,0.6808,0.3659,1.0,0.2837,0.1841,0.1291
0.4704,0.6829,0.3469,1.0,0.3011,0.2262,0.1711
0.5531,0.7118,0.3125,1.0,0.4253,0.2939,0.2264
0.1696,0.5873,0.1711,0.3333,0.1574,0.1559,0.1557
0.0,0.5208,0.1619,0.1,0.0541,0.1082,0.1397
0.4852,0.7347,0.4228,1.0,0.3909,0.2822,0.1957
0.3156,0.5624,0.23,0.3333,0.2478,0.2107,0.1796
0.0,0.4015,0.1519,0.0769,0.0311,0.0876,0.1042
0.3392,0.6682,0.2261,1.0,0.2951,0.2457,0.2242
0.3601,0.6218,0.3501,0.5,0.3092,0.2519,0.1819
0.0,0.4249,0.1684,0.125,0.0643,0.1142,0.1159
0.0,0.4904,0.2103,0.1429,0.1039,0.1675,0.1646
0.6548,0.7772,0.4996,1.0,0.4357,0.2803,0.1811
0.214,0.5138,0.2104,0.5,0.1673,0.1329,0.1209
0.214,0.5784,0.2914,0.5,0.2393,0.2139,0.1671
0.0,0.4368,0.1216,0.0385,0.0014,0.0188,0.0619
0.4852,0.7324,0.401,1.0,0.4066,0.3212,0.2429
0.3392,0.66,0.2878,1.0,0.2691,0.2379,0.2104
0.1461,0.5419,0.194,0.25,0.179,0.178,0.17
0.1312,0.4693,0.1928,0.2,0.1163,0.1482,0.1376
0.3601,0.6402,0.2354,0.5,0.3236,0.2811,0.2414
0.3452,0.6536,0.3722,0.5,0.377,0.3205,0.2371
0.1461,0.5373,0.2555,0.25,0.1806,0.2092,0.1886
0.3601,0.5987,0.31,0.5,0.2888,0.225,0.1637
0.3836,0.601,0.2738,0.5,0.301,0.221,0.1747
0.0,0.5205,0.172,0.1429,0.0658,0.1063,0.1414
0.0,0.4787,0.155,0.0833,0.0265,0.0832,0.1252
0.214,0.5446,0.2015,0.5,0.1824,0.1627,0.1541
0.3452,0.631,0.2487,0.5,0.2845,0.2751,0.2492
0.1312,0.537,0.2091,0.2,0.1575,0.1862,0.1838
0.0,0.471,0.1488,0.1111,0.057,0.1071,0.126
0.0,0.4228,0.1344,0.1111,0.0359,0.0701,0.1
0.0,0.4241,0.17,0.1111,0.0606,0.1144,0.1167
0.1312,0.512,0.1934,0.2,0.1399,0.1585,0.1616
0.2773,0.6029,0.1766,0.25,0.2184,0.1934,0.1656
0.1461,0.5258,0.1734,0.25,0.117,0.1318,0.1467
0.0,0.4398,0.1714,0.1667,0.1095,0.1268,0.1134
0.0,0.4574,0.1453,0.125,0.0683,0.1074,0.1192
0.0,0.4583,0.1448,0.1667,0.0763,0.0995,0.1143
0.1312,0.5268,0.2414,0.2,0.1813,0.2035,0.1794
0.0,0.4694,0.1465,0.05,0.0075,0.05,0.1024
0.1461,0.6015,0.2599,0.25,0.2386,0.2699,0.2476
0.1696,0.5632,0.2334,0.3333,0.2116,0.2183,0.1993
0.3392,0.6371,0.2227,1.0,0.2747,0.2049,0.1773
0.1312,0.616,0.2022,0.2,0.1965,0.2362,0.2248
0.1461,0.5071,0.2222,0.25,0.1572,0.1829,0.161
0.1461,0.5416,0.1555,0.25,0.1292,0.1416,0.1412
0.1461,0.4733,0.2002,0.25,0.1435,0.1501,0.1267
0.0,0.4374,0.1634,0.1429,0.0717,0.116,0.1214
0.3392,0.7166,0.3998,1.0,0.3606,0.3106,0.2321
0.0,0.5281,0.1876,0.125,0.0681,0.1251,0.1629
0.3392,0.6564,0.3063,1.0,0.2706,0.2077,0.1674
0.0,0.4406,0.1924,0.1429,0.0775,0.1301,0.1262
0.0,0.6131,0.1693,0.125,0.0773,0.1155,0.1474
0.214,0.5943,0.219,0.5,0.2527,0.2281,0.1974
0.3008,0.5752,0.282,0.3333,0.2806,0.2459,0.1892
0.1461,0.4915,0.1522,0.25,0.1051,0.098,0.1129
0.6548,0.7223,0.3362,1.0,0.4906,0.3394,0.2415
0.0,0.4787,0.1823,0.0909,0.0576,0.1249,0.1502
0.3452,0.5722,0.2735,0.5,0.2546,0.1989,0.1514
0.0,0.4943,0.1997,0.1667,0.1466,0.1738,0.1542
0.5087,0.7528,0.4551,1.0,0.3945,0.269,0.1778
0.214,0.566,0.2485,0.5,0.2262,0.1993,0.1695
0.1312,0.5136,0.1927,0.2,0.1424,0.1739,0.1663
0.1461,0.5001,0.2429,0.25,0.1653,0.1802,0.1455
0.0,0.4605,0.1412,0.1429,0.0545,0.0766,0.1049
0.3392,0.6405,0.3122,1.0,0.2156,0.1618,0.137
0.0,0.4869,0.1798,0.125,0.0632,0.1239,0.152
0.5531,0.7389,0.4064,1.0,0.3773,0.2515,0.1871
0.3392,0.6305,0.2809,1.0,0.2431,0.1655,0.1322
0.0,0.5165,0.1699,0.0769,0.0202,0.0718,0.1268
0.0,0.4698,0.2032,0.1111,0.0777,0.1447,0.1519
0.1461,0.4823,0.2,0.25,0.1407,0.1576,0.1384
0.3392,0.6358,0.2407,1.0,0.2319,0.1937,0.1872
0.0,0.426,0.1458,0.1111,0.0418,0.0885,0.1119
0.0,0.4088,0.1304,0.0909,0.0254,0.0667,0.0969
0.3156,0.5857,0.2471,0.3333,0.2729,0.2405,0.2055
0.6992,0.7828,0.4627,1.0,0.4838,0.3221,0.2223
0.0,0.4722,0.1622,0.125,0.0523,0.102,0.1334
0.0,0.5314,0.1969,0.1667,0.1264,0.1613,0.1719
0.1461,0.5431,0.2289,0.25,0.1496,0.1834,0.1937
0.2773,0.5845,0.2531,0.25,0.2614,0.2521,0.2192
0.1312,0.5948,0.2213,0.2,0.1748,0.2175,0.2272
0.3392,0.6404,0.2453,1.0,0.2832,0.2114,0.1773
0.0,0.4972,0.1722,0.1667,0.079,0.1193,0.1446
0.3836,0.6008,0.3107,0.5,0.2944,0.2065,0.1515
0.3392,0.6438,0.297,1.0,0.223,0.1877,0.1755
0.3836,0.6623,0.2043,0.5,0.332,0.2744,0.239
0.3452,0.6088,0.324,0.5,0.2804,0.2497,0.1945
0.1312,0.4968,0.2085,0.2,0.1208,0.1629,0.1623
0.1461,0.5339,0.1941,0.25,0.169,0.1679,0.1627
0.0,0.4509,0.1534,0.125,0.05,0.0939,0.122
0.0,0.5372,0.1646,0.0714,0.0177,0.0663,0.1159
0.0,0.4374,0.1446,0.0769,0.0258,0.0761,0.1117
0.0,0.4476,0.2123,0.1,0.0779,0.1429,0.1341
0.0,0.5648,0.168,0.1667,0.1141,0.14,0.1383
0.1696,0.6071,0.2374,0.3333,0.2311,0.2447,0.2332
0.3392,0.5825,0.2185,1.0,0.201,0.1157,0.1016
0.1461,0.4974,0.1738,0.25,0.1533,0.1547,0.1396
0.3452,0.6494,0.3922,0.5,0.3741,0.3035,0.21
0.0,0.4414,0.1567,0.125,0.0695,0.1122,0.1213
0.3836,0.6138,0.2722,0.5,0.3015,0.2335,0.2008
0.0,0.4432,0.1499,0.1429,0.061,0.0969,0.117
0.3392,0.6743,0.3277,1.0,0.2839,0.2397,0.198
0.3392,0.6451,0.3015,1.0,0.2378,0.1826,0.1512
0.214,0.5181,0.1922,0.5,0.1694,0.1354,0.1276
0.3156,0.5774,0.1835,0.3333,0.296,0.2176,0.1577
0.1461,0.473,0.1868,0.25,0.1339,0.1427,0.1302
0.1312,0.4686,0.1453,0.2,0.09,0.1027,0.1143
0.1461,0.501,0.2455,0.25,0.1655,0.1814,0.1464
0.0,0.4148,0.1553,0.0769,0.0271,0.0866,0.1119
