loss_type: lambda_dcg, lr: 0.001, frac: 1.0, th: 0, emb_size: 32, fold: 2, NDCG = 0.9682, AP = 0.9116, RR = 0.9856, RBP_80 = 0.8161, RBP_90 = 0.6317, RBP_95 = 0.4305, 
loss_type: lambda_dcg, lr: 0.01, frac: 1.0, th: 0, emb_size: 32, fold: 2, NDCG = 0.9658, AP = 0.9056, RR = 0.9845, RBP_80 = 0.8116, RBP_90 = 0.6285, RBP_95 = 0.4288, 
loss_type: lambda_ap, lr: 0.001, frac: 1.0, th: 0, emb_size: 32, fold: 2, NDCG = 0.9675, AP = 0.9106, RR = 0.9841, RBP_80 = 0.8155, RBP_90 = 0.6313, RBP_95 = 0.4302, 
loss_type: lambda_ap, lr: 0.01, frac: 1.0, th: 0, emb_size: 32, fold: 2, NDCG = 0.9636, AP = 0.9001, RR = 0.9825, RBP_80 = 0.808, RBP_90 = 0.6259, RBP_95 = 0.4273, 
loss_type: lambda_rr, lr: 0.001, frac: 1.0, th: 0, emb_size: 32, fold: 2, NDCG = 0.8197, AP = 0.6085, RR = 0.843, RBP_80 = 0.5517, RBP_90 = 0.4583, RBP_95 = 0.3419, 
loss_type: lambda_rr, lr: 0.01, frac: 1.0, th: 0, emb_size: 32, fold: 2, NDCG = 0.8105, AP = 0.5961, RR = 0.8247, RBP_80 = 0.5347, RBP_90 = 0.449, RBP_95 = 0.3378, 
loss_type: lambda_rbp_80, lr: 0.001, frac: 1.0, th: 0, emb_size: 32, fold: 2, NDCG = 0.9655, AP = 0.9019, RR = 0.9863, RBP_80 = 0.8118, RBP_90 = 0.6275, RBP_95 = 0.4277, 
loss_type: lambda_rbp_80, lr: 0.01, frac: 1.0, th: 0, emb_size: 32, fold: 2, NDCG = 0.9598, AP = 0.8899, RR = 0.98, RBP_80 = 0.8022, RBP_90 = 0.6215, RBP_95 = 0.4247, 
loss_type: lambda_rbp_90, lr: 0.001, frac: 1.0, th: 0, emb_size: 32, fold: 2, NDCG = 0.9688, AP = 0.9113, RR = 0.9869, RBP_80 = 0.818, RBP_90 = 0.6318, RBP_95 = 0.4299, 
loss_type: lambda_rbp_90, lr: 0.01, frac: 1.0, th: 0, emb_size: 32, fold: 2, NDCG = 0.9646, AP = 0.9018, RR = 0.9841, RBP_80 = 0.8104, RBP_90 = 0.6275, RBP_95 = 0.428, 
loss_type: lambda_rbp_95, lr: 0.001, frac: 1.0, th: 0, emb_size: 32, fold: 2, NDCG = 0.9716, AP = 0.9192, RR = 0.9886, RBP_80 = 0.8229, RBP_90 = 0.6355, RBP_95 = 0.432, 
loss_type: lambda_rbp_95, lr: 0.01, frac: 1.0, th: 0, emb_size: 32, fold: 2, NDCG = 0.9672, AP = 0.9101, RR = 0.9829, RBP_80 = 0.816, RBP_90 = 0.6315, RBP_95 = 0.4303, 
loss_type: lambda_dcg, lr: 0.001, frac: 2.0, th: 0, emb_size: 32, fold: 2, NDCG = 0.9527, AP = 0.8723, RR = 0.9796, RBP_80 = 0.7925, RBP_90 = 0.6124, RBP_95 = 0.4187, 
loss_type: lambda_dcg, lr: 0.01, frac: 2.0, th: 0, emb_size: 32, fold: 2, NDCG = 0.948, AP = 0.8614, RR = 0.9743, RBP_80 = 0.7841, RBP_90 = 0.6069, RBP_95 = 0.4158, 
loss_type: lambda_ap, lr: 0.001, frac: 2.0, th: 0, emb_size: 32, fold: 2, NDCG = 0.9521, AP = 0.8713, RR = 0.9773, RBP_80 = 0.792, RBP_90 = 0.6121, RBP_95 = 0.4185, 
loss_type: lambda_ap, lr: 0.01, frac: 2.0, th: 0, emb_size: 32, fold: 2, NDCG = 0.9452, AP = 0.8548, RR = 0.9731, RBP_80 = 0.7796, RBP_90 = 0.6035, RBP_95 = 0.414, 
