loss_type,lr,threshold,reg,fold,frac,emb_size,NDCG@5,NDCG,RR,AP,RBP_80,RBP_90,RBP_95
lambda_rbp_80,0.01,4,0,0,1.0,32,0.6267,0.8364,0.8535,0.6669,0.5414,0.4089,0.2684
lambda_rbp_80,0.01,4,0,0,5.0,32,0.4205,0.6742,0.7017,0.3982,0.3402,0.2598,0.1891
lambda_dcg,0.001,4,0,0,1.0,32,0.6986,0.8707,0.8998,0.7242,0.5871,0.4308,0.2768
lambda_dcg,0.01,4,0,0,1.0,32,0.6613,0.8526,0.8774,0.6926,0.5632,0.4193,0.2724
lambda_ap,0.01,4,0,0,1.0,32,0.6569,0.851,0.8773,0.6893,0.5604,0.4179,0.2719
lambda_ap,0.001,4,0,0,1.0,32,0.6942,0.8691,0.8969,0.7218,0.5852,0.4301,0.2766
lambda_dcg,0.1,4,0,0,1.0,32,0.5436,0.7949,0.7718,0.61,0.4918,0.3869,0.2603
lambda_ap,0.1,4,0,0,1.0,32,0.5442,0.7955,0.7744,0.6106,0.4923,0.3871,0.2604
lambda_rr,0.001,4,0,0,1.0,32,0.5311,0.7889,0.7574,0.6029,0.4847,0.3838,0.2592
lambda_rbp_90,0.001,4,0,0,1.0,32,0.6992,0.8714,0.9019,0.7247,0.5874,0.4307,0.2767
lambda_rbp_80,0.001,4,0,0,1.0,32,0.6628,0.8539,0.8759,0.6965,0.5654,0.4207,0.273
lambda_rr,0.1,4,0,0,1.0,32,0.5105,0.7778,0.7184,0.5929,0.4753,0.3812,0.2586
lambda_rbp_90,0.01,4,0,0,1.0,32,0.6585,0.8516,0.8794,0.69,0.5609,0.418,0.2719
lambda_rr,0.01,4,0,0,1.0,32,0.5257,0.7867,0.7534,0.6002,0.4821,0.38299999999999995,0.259
lambda_rbp_90,0.1,4,0,0,1.0,32,0.5498,0.7987,0.7827,0.6141,0.495,0.38799999999999996,0.2606
lambda_rbp_80,0.1,4,0,0,1.0,32,0.5431,0.7954,0.775,0.61,0.4914,0.3865,0.2601
lambda_rbp_80,0.001,4,0,0,2.0,32,0.578,0.7959,0.8324,0.5871,0.4827,0.3661,0.2479
lambda_rbp_95,0.1,4,0,0,1.0,32,0.5497,0.7977,0.7764,0.6139,0.4957,0.3887,0.261
lambda_rbp_95,0.01,4,0,0,1.0,32,0.6786,0.8613,0.8939,0.7054,0.5732,0.4236,0.27399999999999997
lambda_rbp_95,0.001,4,0,0,1.0,32,0.716,0.879,0.9109999999999999,0.7379,0.5975,0.4353,0.2784
lambda_rbp_90,0.001,4,0,0,2.0,32,0.6144,0.8140000000000001,0.8599,0.6146,0.5057,0.3774,0.2523
lambda_rbp_80,0.01,4,0,0,2.0,32,0.5286,0.7696,0.7948,0.5463,0.4485,0.3479,0.2402
lambda_rbp_80,0.1,4,0,0,2.0,32,0.3866,0.6947,0.6487,0.4486,0.3552,0.3013,0.2213
lambda_rbp_90,0.01,4,0,0,2.0,32,0.5674,0.7893,0.8267,0.5752,0.4736,0.3604,0.2453
lambda_rbp_80,0.001,4,0,0,5.0,32,0.4869,0.7123,0.7648,0.4503,0.3865,0.2855,0.2006
lambda_rbp_90,0.001,4,0,0,5.0,32,0.5422,0.7425,0.8066,0.494,0.4253,0.3068,0.2098
lambda_rbp_90,0.1,4,0,0,2.0,32,0.3945,0.6989,0.6583,0.4534,0.3599,0.3033,0.222
