NDCG@5,NDCG,AP,RR,RBP_80,RBP_90,RBP_95
0.4704,0.7506,0.4629,1.0,0.4084,0.3115,0.2138
0.1461,0.4883,0.1838,0.25,0.1343,0.1472,0.1425
0.0,0.4872,0.2024,0.1429,0.1052,0.1614,0.1598
0.0,0.3952,0.1362,0.1,0.0358,0.0813,0.0966
0.0,0.4389,0.157,0.1111,0.0575,0.1082,0.1224
0.3392,0.6542,0.331,1.0,0.2257,0.1792,0.1487
0.6164,0.7816,0.5298,1.0,0.4064,0.2798,0.1767
0.1461,0.481,0.1888,0.25,0.1243,0.1447,0.1402
0.1696,0.5408,0.228,0.3333,0.1992,0.2011,0.1764
0.0,0.5007,0.2655,0.1667,0.1699,0.1955,0.1524
0.0,0.4184,0.1495,0.1111,0.0436,0.0924,0.1106
0.3008,0.5435,0.2258,0.3333,0.2282,0.1964,0.1659
0.5531,0.7596,0.4332,1.0,0.437,0.2844,0.1931
0.3392,0.5859,0.2128,1.0,0.2014,0.1181,0.1091
0.0,0.4248,0.1534,0.1111,0.0619,0.1024,0.1118
0.0,0.5491,0.1962,0.125,0.0665,0.1372,0.1758
0.0,0.4642,0.1446,0.1667,0.0667,0.079,0.1047
0.0,0.4596,0.2182,0.125,0.0999,0.1547,0.1381
0.214,0.5583,0.2472,0.5,0.2231,0.1949,0.1581
0.3392,0.6325,0.3139,1.0,0.2061,0.1375,0.1123
0.5087,0.7322,0.4112,1.0,0.3782,0.2652,0.1868
0.0,0.4705,0.2233,0.1667,0.1194,0.1622,0.1403
0.1696,0.5357,0.2528,0.3333,0.1599,0.1876,0.1816
0.3392,0.6747,0.3503,1.0,0.2709,0.2066,0.1563
0.3392,0.6407,0.2945,1.0,0.2393,0.1777,0.1457
0.1312,0.4315,0.1604,0.2,0.0923,0.1116,0.1084
0.0,0.3998,0.141,0.1111,0.0415,0.0854,0.099
0.1696,0.5941,0.3881,0.3333,0.2905,0.2658,0.1818
0.1312,0.4745,0.2084,0.2,0.1543,0.1562,0.1278
0.0,0.4249,0.1726,0.125,0.0604,0.113,0.117
0.6992,0.7389,0.3118,1.0,0.5063,0.3821,0.3055
0.0,0.423,0.1526,0.1,0.0517,0.1022,0.1134
0.1696,0.539,0.2622,0.3333,0.2115,0.206,0.1636
0.3392,0.7091,0.4191,1.0,0.282,0.2249,0.1613
0.214,0.5911,0.3256,0.5,0.256,0.22,0.1599
0.1696,0.5224,0.25,0.3333,0.2048,0.1821,0.14
0.4852,0.6562,0.2422,1.0,0.3297,0.2257,0.1861
0.6399,0.7034,0.22,1.0,0.4683,0.3798,0.3049
0.0,0.4654,0.1724,0.1667,0.0829,0.1242,0.137
0.3392,0.6497,0.2878,1.0,0.2687,0.2086,0.1703
0.3601,0.6391,0.3795,0.5,0.3504,0.2731,0.1865
0.0,0.4511,0.1924,0.1429,0.1095,0.143,0.1258
0.1461,0.4886,0.1676,0.25,0.12,0.1332,0.1368
0.5531,0.7374,0.4156,1.0,0.3667,0.2293,0.1663
0.4704,0.6916,0.3233,1.0,0.3906,0.2888,0.2135
0.3601,0.6203,0.2889,0.5,0.3252,0.266,0.2138
0.0,0.4954,0.2661,0.1667,0.1519,0.1924,0.1542
0.3392,0.6106,0.2083,1.0,0.236,0.171,0.1465
0.1312,0.4691,0.216,0.2,0.1185,0.1555,0.1366
0.3392,0.6512,0.3186,1.0,0.2377,0.1799,0.142
0.3904,0.7436,0.4821,1.0,0.3191,0.2211,0.1408
0.0,0.4842,0.2239,0.1667,0.1257,0.1729,0.1536
0.0,0.4256,0.1593,0.1111,0.0472,0.101,0.1172
0.1696,0.4779,0.1697,0.3333,0.1306,0.111,0.1171
0.1312,0.4861,0.2047,0.2,0.1214,0.1592,0.1526
0.0,0.4312,0.1522,0.1667,0.0755,0.105,0.112
0.1461,0.5213,0.2521,0.25,0.1912,0.1984,0.1617
0.1696,0.5525,0.3036,0.3333,0.2357,0.2196,0.1604
0.3601,0.5838,0.2883,0.5,0.2718,0.2034,0.1526
0.3392,0.6515,0.329,1.0,0.222,0.1753,0.1469
0.5531,0.7328,0.3615,1.0,0.4337,0.2942,0.2274
0.1696,0.5135,0.2314,0.3333,0.1688,0.1748,0.1506
0.214,0.5566,0.2054,0.5,0.2362,0.1899,0.1571
0.3392,0.6612,0.2453,1.0,0.2748,0.239,0.222
0.1696,0.5511,0.3014,0.3333,0.233,0.2176,0.1598
0.0,0.4665,0.215,0.1667,0.1178,0.1586,0.1372
0.0,0.4433,0.1588,0.1429,0.0754,0.1099,0.1205
0.1312,0.5204,0.1752,0.2,0.1388,0.1491,0.1506
0.4704,0.6773,0.2231,1.0,0.3792,0.3026,0.2498
0.3156,0.5757,0.2726,0.3333,0.2539,0.2333,0.1964
0.1461,0.5171,0.2608,0.25,0.1646,0.1986,0.1683
0.214,0.5862,0.2869,0.5,0.2722,0.2323,0.1747
0.0,0.4217,0.1364,0.125,0.0515,0.0857,0.1036
0.0,0.4075,0.1538,0.0909,0.0411,0.0951,0.1069
0.3392,0.6803,0.3534,1.0,0.2885,0.2106,0.1548
0.3836,0.623,0.3467,0.5,0.3065,0.2329,0.1716
0.3392,0.5891,0.2047,1.0,0.2018,0.1231,0.1163
0.3392,0.6217,0.2504,1.0,0.2097,0.1595,0.1619
0.1461,0.489,0.1966,0.25,0.1376,0.1566,0.1455
0.3392,0.6256,0.2921,1.0,0.2083,0.1441,0.1233
