loss_type: lambda_dcg, lr: 0.001, frac: 1.0, th: 0, emb_size: 32, fold: 0, NDCG = nan, AP = nan, RR = nan, RBP_80 = nan, RBP_90 = nan, RBP_95 = nan, 
loss_type: lambda_dcg, lr: 0.01, frac: 1.0, th: 0, emb_size: 32, fold: 0, NDCG = nan, AP = nan, RR = nan, RBP_80 = nan, RBP_90 = nan, RBP_95 = nan, 
loss_type: lambda_ap, lr: 0.001, frac: 1.0, th: 0, emb_size: 32, fold: 0, NDCG = nan, AP = nan, RR = nan, RBP_80 = nan, RBP_90 = nan, RBP_95 = nan, 
loss_type: lambda_ap, lr: 0.01, frac: 1.0, th: 0, emb_size: 32, fold: 0, NDCG = nan, AP = nan, RR = nan, RBP_80 = nan, RBP_90 = nan, RBP_95 = nan, 
loss_type: lambda_rbp_80, lr: 0.001, frac: 1.0, th: 0, emb_size: 32, fold: 0, NDCG = nan, AP = nan, RR = nan, RBP_80 = nan, RBP_90 = nan, RBP_95 = nan, 
loss_type: lambda_rbp_80, lr: 0.01, frac: 1.0, th: 0, emb_size: 32, fold: 0, NDCG = nan, AP = nan, RR = nan, RBP_80 = nan, RBP_90 = nan, RBP_95 = nan, 
loss_type: lambda_rbp_90, lr: 0.001, frac: 1.0, th: 0, emb_size: 32, fold: 0, NDCG = nan, AP = nan, RR = nan, RBP_80 = nan, RBP_90 = nan, RBP_95 = nan, 
loss_type: lambda_rbp_90, lr: 0.01, frac: 1.0, th: 0, emb_size: 32, fold: 0, NDCG = nan, AP = nan, RR = nan, RBP_80 = nan, RBP_90 = nan, RBP_95 = nan, 
loss_type: lambda_rbp_95, lr: 0.001, frac: 1.0, th: 0, emb_size: 32, fold: 0, NDCG = nan, AP = nan, RR = nan, RBP_80 = nan, RBP_90 = nan, RBP_95 = nan, 
loss_type: lambda_rbp_95, lr: 0.01, frac: 1.0, th: 0, emb_size: 32, fold: 0, NDCG = nan, AP = nan, RR = nan, RBP_80 = nan, RBP_90 = nan, RBP_95 = nan, 
loss_type: lambda_dcg, lr: 0.001, frac: 2.0, th: 0, emb_size: 32, fold: 0, NDCG = nan, AP = nan, RR = nan, RBP_80 = nan, RBP_90 = nan, RBP_95 = nan, 
loss_type: lambda_dcg, lr: 0.01, frac: 2.0, th: 0, emb_size: 32, fold: 0, NDCG = nan, AP = nan, RR = nan, RBP_80 = nan, RBP_90 = nan, RBP_95 = nan, 
