loss_type: lambda_dcg, lr: 0.001, frac: 1.0, th: 4, emb_size: 32, fold: 1, NDCG = 0.8674, AP = 0.7197, RR = 0.8925, RBP_80 = 0.5836, RBP_90 = 0.4294, RBP_95 = 0.2764, 
loss_type: lambda_dcg, lr: 0.01, frac: 1.0, th: 4, emb_size: 32, fold: 1, NDCG = 0.8513, AP = 0.6906, RR = 0.8759, RBP_80 = 0.5615, RBP_90 = 0.4187, RBP_95 = 0.2723, 
loss_type: lambda_ap, lr: 0.001, frac: 1.0, th: 4, emb_size: 32, fold: 1, NDCG = 0.8651, AP = 0.7153, RR = 0.8912, RBP_80 = 0.5803, RBP_90 = 0.428, RBP_95 = 0.2758, 
loss_type: lambda_ap, lr: 0.01, frac: 1.0, th: 4, emb_size: 32, fold: 1, NDCG = 0.8479, AP = 0.6846, RR = 0.8718, RBP_80 = 0.5567, RBP_90 = 0.4164, RBP_95 = 0.2714, 
loss_type: lambda_rr, lr: 0.001, frac: 1.0, th: 4, emb_size: 32, fold: 1, NDCG = 0.7871, AP = 0.6004, RR = 0.7542, RBP_80 = 0.4829, RBP_90 = 0.3833, RBP_95 = 0.2591, 
loss_type: lambda_rr, lr: 0.01, frac: 1.0, th: 4, emb_size: 32, fold: 1, NDCG = 0.7866, AP = 0.6001, RR = 0.7518, RBP_80 = 0.4822, RBP_90 = 0.383, RBP_95 = 0.259, 
loss_type: lambda_rbp_80, lr: 0.001, frac: 1.0, th: 4, emb_size: 32, fold: 1, NDCG = 0.8524, AP = 0.6936, RR = 0.8752, RBP_80 = 0.563, RBP_90 = 0.4197, RBP_95 = 0.2727, 
loss_type: lambda_rbp_80, lr: 0.01, frac: 1.0, th: 4, emb_size: 32, fold: 1, NDCG = 0.8362, AP = 0.666, RR = 0.8551, RBP_80 = 0.5408, RBP_90 = 0.4088, RBP_95 = 0.2684, 
loss_type: lambda_rbp_90, lr: 0.001, frac: 1.0, th: 4, emb_size: 32, fold: 1, NDCG = 0.8684, AP = 0.72, RR = 0.8971, RBP_80 = 0.5841, RBP_90 = 0.4294, RBP_95 = 0.2763, 
loss_type: lambda_rbp_90, lr: 0.01, frac: 1.0, th: 4, emb_size: 32, fold: 1, NDCG = 0.8498, AP = 0.6868, RR = 0.8777, RBP_80 = 0.5582, RBP_90 = 0.4169, RBP_95 = 0.2716, 
loss_type: lambda_rbp_95, lr: 0.001, frac: 1.0, th: 4, emb_size: 32, fold: 1, NDCG = 0.8787, AP = 0.7376, RR = 0.9091, RBP_80 = 0.5974, RBP_90 = 0.4355, RBP_95 = 0.2785, 
loss_type: lambda_rbp_95, lr: 0.01, frac: 1.0, th: 4, emb_size: 32, fold: 1, NDCG = 0.8595, AP = 0.7026, RR = 0.8904, RBP_80 = 0.5708, RBP_90 = 0.4227, RBP_95 = 0.2737, 
loss_type: lambda_dcg, lr: 0.001, frac: 2.0, th: 4, emb_size: 32, fold: 1, NDCG = 0.8184, AP = 0.6233, RR = 0.8608, RBP_80 = 0.5127, RBP_90 = 0.3813, RBP_95 = 0.254, 
loss_type: lambda_dcg, lr: 0.01, frac: 2.0, th: 4, emb_size: 32, fold: 1, NDCG = 0.7975, AP = 0.5877, RR = 0.8402, RBP_80 = 0.4841, RBP_90 = 0.366, RBP_95 = 0.2477, 
loss_type: lambda_ap, lr: 0.001, frac: 2.0, th: 4, emb_size: 32, fold: 1, NDCG = 0.8134, AP = 0.6153, RR = 0.8541, RBP_80 = 0.5063, RBP_90 = 0.3783, RBP_95 = 0.2528, 
loss_type: lambda_ap, lr: 0.01, frac: 2.0, th: 4, emb_size: 32, fold: 1, NDCG = 0.7926, AP = 0.5804, RR = 0.8315, RBP_80 = 0.4782, RBP_90 = 0.3631, RBP_95 = 0.2466, 
loss_type: lambda_rr, lr: 0.001, frac: 2.0, th: 4, emb_size: 32, fold: 1, NDCG = 0.6869, AP = 0.4398, RR = 0.6296, RBP_80 = 0.3457, RBP_90 = 0.2971, RBP_95 = 0.2198, 
loss_type: lambda_rr, lr: 0.01, frac: 2.0, th: 4, emb_size: 32, fold: 1, NDCG = 0.6862, AP = 0.4391, RR = 0.6273, RBP_80 = 0.3451, RBP_90 = 0.2968, RBP_95 = 0.2197, 
loss_type: lambda_rbp_80, lr: 0.001, frac: 2.0, th: 4, emb_size: 32, fold: 1, NDCG = 0.7928, AP = 0.5827, RR = 0.8264, RBP_80 = 0.4792, RBP_90 = 0.3644, RBP_95 = 0.2472, 
loss_type: lambda_rbp_80, lr: 0.01, frac: 2.0, th: 4, emb_size: 32, fold: 1, NDCG = 0.768, AP = 0.544, RR = 0.7928, RBP_80 = 0.4466, RBP_90 = 0.3472, RBP_95 = 0.2401, 
loss_type: lambda_rbp_90, lr: 0.001, frac: 2.0, th: 4, emb_size: 32, fold: 1, NDCG = 0.8127, AP = 0.6131, RR = 0.8555, RBP_80 = 0.5049, RBP_90 = 0.3772, RBP_95 = 0.2523, 
loss_type: lambda_rbp_90, lr: 0.01, frac: 2.0, th: 4, emb_size: 32, fold: 1, NDCG = 0.7876, AP = 0.5722, RR = 0.8256, RBP_80 = 0.4716, RBP_90 = 0.3597, RBP_95 = 0.2452, 
loss_type: lambda_rbp_95, lr: 0.001, frac: 2.0, th: 4, emb_size: 32, fold: 1, NDCG = 0.8271, AP = 0.637, RR = 0.8734, RBP_80 = 0.5234, RBP_90 = 0.3862, RBP_95 = 0.2557, 
loss_type: lambda_rbp_95, lr: 0.01, frac: 2.0, th: 4, emb_size: 32, fold: 1, NDCG = 0.7984, AP = 0.5881, RR = 0.8428, RBP_80 = 0.4847, RBP_90 = 0.3661, RBP_95 = 0.2477, 
loss_type: lambda_dcg, lr: 0.001, frac: 5.0, th: 4, emb_size: 32, fold: 1, NDCG = 0.7653, AP = 0.5304, RR = 0.8291, RBP_80 = 0.4567, RBP_90 = 0.3268, RBP_95 = 0.2193, 
loss_type: lambda_dcg, lr: 0.01, frac: 5.0, th: 4, emb_size: 32, fold: 1, NDCG = 0.7073, AP = 0.4425, RR = 0.7586, RBP_80 = 0.3805, RBP_90 = 0.2825, RBP_95 = 0.1996, 
loss_type: lambda_ap, lr: 0.001, frac: 5.0, th: 4, emb_size: 32, fold: 1, NDCG = 0.7529, AP = 0.5117, RR = 0.8144, RBP_80 = 0.4402, RBP_90 = 0.3173, RBP_95 = 0.2152, 
loss_type: lambda_ap, lr: 0.01, frac: 5.0, th: 4, emb_size: 32, fold: 1, NDCG = 0.7047, AP = 0.439, RR = 0.7537, RBP_80 = 0.3777, RBP_90 = 0.2808, RBP_95 = 0.1989, 
loss_type: lambda_rr, lr: 0.001, frac: 5.0, th: 4, emb_size: 32, fold: 1, NDCG = 0.5541, AP = 0.258, RR = 0.4645, RBP_80 = 0.1948, RBP_90 = 0.1751, RBP_95 = 0.1486, 
loss_type: lambda_rr, lr: 0.01, frac: 5.0, th: 4, emb_size: 32, fold: 1, NDCG = 0.5519, AP = 0.256, RR = 0.4572, RBP_80 = 0.1927, RBP_90 = 0.1738, RBP_95 = 0.1479, 
loss_type: lambda_rbp_80, lr: 0.001, frac: 5.0, th: 4, emb_size: 32, fold: 1, NDCG = 0.7074, AP = 0.4421, RR = 0.761, RBP_80 = 0.3791, RBP_90 = 0.2811, RBP_95 = 0.1986, 
loss_type: lambda_rbp_80, lr: 0.01, frac: 5.0, th: 4, emb_size: 32, fold: 1, NDCG = 0.6705, AP = 0.3937, RR = 0.6955, RBP_80 = 0.3349, RBP_90 = 0.257, RBP_95 = 0.1879, 
loss_type: lambda_rbp_90, lr: 0.001, frac: 5.0, th: 4, emb_size: 32, fold: 1, NDCG = 0.7359, AP = 0.4838, RR = 0.7993, RBP_80 = 0.4158, RBP_90 = 0.3022, RBP_95 = 0.208, 
loss_type: lambda_rbp_90, lr: 0.01, frac: 5.0, th: 4, emb_size: 32, fold: 1, NDCG = 0.6912, AP = 0.42, RR = 0.7332, RBP_80 = 0.3608, RBP_90 = 0.2714, RBP_95 = 0.1946, 
loss_type: lambda_rbp_95, lr: 0.001, frac: 5.0, th: 4, emb_size: 32, fold: 1, NDCG = 0.7641, AP = 0.5273, RR = 0.831, RBP_80 = 0.4541, RBP_90 = 0.3246, RBP_95 = 0.2183, 
loss_type: lambda_rbp_95, lr: 0.01, frac: 5.0, th: 4, emb_size: 32, fold: 1, NDCG = 0.7042, AP = 0.4375, RR = 0.7556, RBP_80 = 0.3766, RBP_90 = 0.2804, RBP_95 = 0.1988, 
