loss_type,lr,threshold,reg,fold,frac,emb_size,NDCG@5,NDCG,RR,AP,RBP_80,RBP_90,RBP_95
lambda_rbp_80,0.01,4,0,0,1.0,32,0.6281,0.8390000000000001,0.8585,0.6719,0.5408,0.4061,0.2647
lambda_rbp_80,0.001,4,0,0,1.0,32,0.6537,0.851,0.8748,0.6913,0.5562,0.413,0.2671
lambda_rbp_90,0.001,4,0,0,1.0,32,0.6849,0.8657,0.8988,0.7139,0.5748,0.4213,0.2702
lambda_rbp_90,0.1,4,0,0,1.0,32,0.5421,0.7943,0.7644,0.6125,0.4917,0.3857,0.2577
lambda_rbp_80,0.1,4,0,0,1.0,32,0.5392,0.7921,0.7585,0.61,0.4896,0.3846,0.2572
lambda_rbp_90,0.01,4,0,0,1.0,32,0.6567,0.8524,0.8809,0.6920000000000001,0.5579,0.4137,0.2674
lambda_rbp_80,0.001,4,0,0,2.0,32,0.5615,0.7886,0.8241,0.5758,0.4682,0.3555,0.2409
lambda_rbp_90,0.001,4,0,0,2.0,32,0.5949,0.8052,0.8505,0.6004,0.4892,0.3656,0.2449
lambda_rbp_80,0.01,4,0,0,2.0,32,0.5336,0.775,0.8074,0.5542,0.4493,0.3459,0.2372
lambda_rbp_90,0.01,4,0,0,2.0,32,0.5710000000000001,0.7929999999999999,0.8362,0.5804,0.4733,0.3575,0.2417
lambda_rbp_90,0.1,4,0,0,2.0,32,0.3862,0.6951,0.6415,0.4527,0.3572,0.3026,0.2206
lambda_rbp_80,0.1,4,0,0,2.0,32,0.3785,0.6914,0.6308,0.4489,0.3531,0.3009,0.22
lambda_dcg,0.001,4,0,0,1.0,32,0.6797,0.8628,0.8926,0.7105,0.5721,0.4203,0.2698
lambda_dcg,0.01,4,0,0,1.0,32,0.6547,0.8513,0.879,0.6904,0.5571,0.4133,0.2673
lambda_dcg,0.1,4,0,0,1.0,32,0.5363,0.7911,0.7584,0.6084,0.4881,0.3842,0.2572
lambda_ap,0.001,4,0,0,1.0,32,0.6749,0.8604,0.8891,0.7064,0.5691,0.4189,0.2693
lambda_ap,0.01,4,0,0,1.0,32,0.6518,0.8496,0.8764,0.6878,0.5549,0.4124,0.267
lambda_ap,0.1,4,0,0,1.0,32,0.536,0.7912,0.7597,0.6081,0.4879,0.3841,0.2571
lambda_rr,0.001,4,0,0,1.0,32,0.52,0.7826,0.7395,0.5977,0.478,0.3797,0.2555
lambda_rr,0.01,4,0,0,1.0,32,0.5228,0.7841,0.7413,0.5998,0.4798,0.3805,0.2558
lambda_rr,0.1,4,0,0,1.0,32,0.508,0.777,0.7201,0.5925,0.4725,0.3781,0.2551
lambda_dcg,0.001,4,0,0,2.0,32,0.6051,0.8098,0.8542,0.6083,0.4962,0.3694,0.2464
lambda_dcg,0.01,4,0,0,2.0,32,0.5765,0.7964,0.841,0.5854,0.4776,0.3599,0.2427
lambda_ap,0.01,4,0,0,2.0,32,0.568,0.7918,0.8356,0.5783,0.4716,0.3567,0.2414
lambda_ap,0.1,4,0,0,2.0,32,0.3821,0.6931,0.6359,0.4507,0.3551,0.3018,0.2204
lambda_dcg,0.1,4,0,0,2.0,32,0.3808,0.6918,0.631,0.4496,0.3544,0.3017,0.2204
lambda_ap,0.001,4,0,0,2.0,32,0.597,0.8061,0.8524,0.6014,0.4902,0.3662,0.2452
lambda_rr,0.001,4,0,0,2.0,32,0.3608,0.6812,0.6097,0.4365,0.3416,0.2953,0.2178
lambda_rr,0.01,4,0,0,2.0,32,0.3634,0.6829,0.6156,0.4383,0.3419,0.295,0.2177
lambda_rr,0.1,4,0,0,2.0,32,0.3402,0.6703,0.5702,0.4275,0.3308,0.2917,0.2169
lambda_rbp_80,0.001,4,0,0,5.0,32,0.4691,0.7032,0.7592,0.4355,0.3689,0.2721,0.1925
lambda_rbp_90,0.001,4,0,0,5.0,32,0.4991,0.7204,0.7842,0.4607,0.391,0.2847,0.198
lambda_rbp_90,0.01,4,0,0,5.0,32,0.4693,0.7028,0.7641,0.4337,0.3684,0.2716,0.1925
lambda_rbp_80,0.01,4,0,0,5.0,32,0.4432,0.6884,0.7418,0.4143,0.3499,0.261,0.1876
lambda_rbp_80,0.1,4,0,0,5.0,32,0.2015,0.5463,0.4331,0.2537,0.1881,0.1734,0.1481
lambda_rbp_90,0.1,4,0,0,5.0,32,0.218,0.5554,0.4566,0.2624,0.1986,0.1787,0.1502
lambda_dcg,0.01,4,0,0,5.0,32,0.4931,0.7164,0.7851,0.4525,0.3853,0.281,0.1966
lambda_dcg,0.001,4,0,0,5.0,32,0.5339,0.7377,0.8041,0.4874,0.4154,0.2982,0.2039
lambda_dcg,0.1,4,0,0,5.0,32,0.2093,0.5508,0.4398,0.2586,0.1938,0.177,0.1499
lambda_ap,0.001,4,0,0,5.0,32,0.5179,0.73,0.7983,0.4738,0.4034,0.2918,0.2015
lambda_ap,0.01,4,0,0,5.0,32,0.4868,0.7125,0.7811,0.4462,0.38,0.2778,0.1952
lambda_ap,0.1,4,0,0,5.0,32,0.2093,0.551,0.444,0.2584,0.1934,0.1763,0.1493
lambda_rr,0.001,4,0,0,5.0,32,0.2114,0.5511,0.4509,0.2576,0.1918,0.1741,0.1481
lambda_rr,0.01,4,0,0,5.0,32,0.2036,0.5467,0.4402,0.2532,0.1871,0.1716,0.1468
lambda_rr,0.1,4,0,0,5.0,32,0.1761,0.5318,0.3826,0.2417,0.1728,0.1666,0.1456
lambda_rbp_95,0.1,4,0,0,1.0,32,0.5398,0.7932,0.7592,0.6119,0.4909,0.3856,0.2577
lambda_rbp_95,0.01,4,0,0,2.0,32,0.5854,0.8008,0.8506,0.5916,0.4824,0.3618,0.2434
lambda_rbp_95,0.01,4,0,0,1.0,32,0.6737,0.8598,0.8911,0.7038,0.5678,0.418,0.26899999999999996
lambda_rbp_95,0.1,4,0,0,2.0,32,0.3889,0.6962,0.6375,0.4555,0.3599,0.3044,0.2215
lambda_rbp_95,0.001,4,0,0,2.0,32,0.6191,0.8170000000000001,0.8669,0.6188,0.5047,0.3732,0.2478
lambda_rbp_95,0.001,4,0,0,1.0,32,0.6994,0.8723,0.9044,0.7262,0.5842,0.4258,0.2718
lambda_rbp_95,0.001,4,0,0,5.0,32,0.5385,0.7406,0.8105,0.4913,0.418,0.2992,0.204
lambda_rbp_95,0.01,4,0,0,5.0,32,0.4871,0.7126,0.7797,0.4472,0.3805,0.2782,0.1954
lambda_rbp_95,0.1,4,0,0,5.0,32,0.2267,0.5609,0.4697,0.2679,0.2048,0.1822,0.1518
lambda_dcg,0.001,4,0,1,1.0,32,0.6804,0.8628,0.8879,0.7115,0.5722,0.4202,0.2697
lambda_dcg,0.01,4,0,1,1.0,32,0.6566,0.8517,0.877,0.6920000000000001,0.5574,0.4133,0.2672
lambda_dcg,0.1,4,0,1,1.0,32,0.5353,0.7911,0.7589,0.6082,0.4871,0.3834,0.2567
lambda_ap,0.001,4,0,1,1.0,32,0.6749,0.86,0.8846,0.7073,0.5693,0.419,0.2693
lambda_ap,0.01,4,0,1,1.0,32,0.6547,0.851,0.877,0.6905,0.5565,0.4129,0.267
lambda_ap,0.1,4,0,1,1.0,32,0.5363,0.7917,0.7602,0.609,0.4877,0.3837,0.2569
lambda_rr,0.001,4,0,1,1.0,32,0.5223,0.7845,0.7464,0.5995,0.4794,0.3801,0.2555
lambda_rr,0.01,4,0,1,1.0,32,0.5163,0.7815,0.7394,0.596,0.4762,0.3789,0.2551
lambda_rr,0.1,4,0,1,1.0,32,0.5103,0.7767,0.7142,0.5935,0.4745,0.3791,0.2554
lambda_dcg,0.001,4,0,1,2.0,32,0.6053,0.81,0.8540000000000001,0.609,0.4967,0.3695,0.2463
lambda_dcg,0.01,4,0,1,2.0,32,0.5776,0.7963,0.8405,0.5857,0.4777,0.3597,0.2425
lambda_dcg,0.1,4,0,1,2.0,32,0.3759,0.6892,0.6241,0.4465,0.3513,0.3,0.2197
lambda_ap,0.001,4,0,1,2.0,32,0.6007,0.8073,0.8501,0.6045,0.4931,0.3676,0.2456
lambda_ap,0.01,4,0,1,2.0,32,0.5726,0.7934,0.8367,0.5809,0.4738,0.3575,0.2417
lambda_ap,0.1,4,0,1,2.0,32,0.3772,0.6908,0.63,0.4479,0.3518,0.3001,0.2197
lambda_rr,0.001,4,0,1,2.0,32,0.3616,0.6823,0.6158,0.4371,0.3409,0.2946,0.2174
lambda_rr,0.01,4,0,1,2.0,32,0.3608,0.6818,0.6141,0.4368,0.3403,0.2942,0.2173
lambda_rr,0.1,4,0,1,2.0,32,0.3368,0.669,0.5670000000000001,0.4261,0.3291,0.29100000000000004,0.2166
lambda_rbp_80,0.001,4,0,1,1.0,32,0.6535,0.8507,0.8731,0.6916,0.5563,0.4128,0.267
lambda_rbp_90,0.001,4,0,1,1.0,32,0.6806,0.8637,0.8905,0.713,0.5734,0.4208,0.27
lambda_rbp_95,0.001,4,0,1,1.0,32,0.7007,0.8727,0.9041,0.7271,0.5847,0.4257,0.2717
lambda_rbp_80,0.01,4,0,1,1.0,32,0.6319,0.8405,0.8603,0.6746,0.5429,0.4069,0.2649
lambda_rbp_90,0.01,4,0,1,1.0,32,0.6602,0.8531,0.8787,0.6942,0.5591,0.4139,0.2674
lambda_rbp_95,0.01,4,0,1,1.0,32,0.6739,0.8604,0.8904,0.7053,0.5681,0.4179,0.2688
lambda_rbp_80,0.1,4,0,1,1.0,32,0.5375,0.7931,0.7648,0.6102,0.4884,0.3838,0.2568
lambda_rbp_90,0.1,4,0,1,1.0,32,0.5407,0.795,0.7669,0.6131,0.4906,0.3847,0.2572
lambda_rbp_95,0.1,4,0,1,1.0,32,0.5416,0.7937,0.7603,0.6126,0.4912,0.3855,0.2575
lambda_rbp_80,0.001,4,0,1,2.0,32,0.5656,0.7904,0.8252,0.5788,0.4705,0.3565,0.2413
lambda_rbp_90,0.001,4,0,1,2.0,32,0.5991,0.8071,0.85,0.6042,0.4920000000000001,0.3671,0.2455
lambda_rbp_95,0.001,4,0,1,2.0,32,0.6212,0.818,0.8654,0.6211,0.5063,0.374,0.2481
lambda_rbp_80,0.01,4,0,1,2.0,32,0.537,0.7763,0.8091,0.5559,0.4515,0.3468,0.2374
lambda_rbp_90,0.01,4,0,1,2.0,32,0.5716,0.7935,0.8373,0.5808,0.4735,0.3575,0.2416
lambda_rbp_95,0.01,4,0,1,2.0,32,0.5872,0.8009999999999999,0.8499,0.5918,0.483,0.3619,0.2433
lambda_rbp_80,0.1,4,0,1,2.0,32,0.3744,0.6887,0.625,0.4455,0.3495,0.2989,0.2191
lambda_rbp_90,0.1,4,0,1,2.0,32,0.3813,0.6929,0.6349,0.4502,0.3547,0.3014,0.2201
lambda_rbp_95,0.1,4,0,1,2.0,32,0.3851,0.6935,0.6331,0.4517,0.3564,0.3024,0.2206
lambda_dcg,0.001,4,0,1,5.0,32,0.5376,0.7385,0.8001,0.4902,0.4177,0.2993,0.2042
lambda_dcg,0.01,4,0,1,5.0,32,0.4932,0.7157,0.7828,0.4527,0.3848,0.2807,0.1965
lambda_dcg,0.1,4,0,1,5.0,32,0.2114,0.5525,0.4441,0.2606,0.1951,0.1777,0.1502
lambda_ap,0.001,4,0,1,5.0,32,0.5189,0.7291,0.7903,0.4757,0.4046,0.2922,0.2012
lambda_ap,0.01,4,0,1,5.0,32,0.4841,0.7103,0.7743,0.4446,0.37799999999999995,0.2767,0.1947
lambda_ap,0.1,4,0,1,5.0,32,0.2114,0.5527,0.4478,0.2604,0.1942,0.1766,0.1494
lambda_rr,0.001,4,0,1,5.0,32,0.2084,0.5498,0.44799999999999995,0.2567,0.1905,0.1737,0.1479
lambda_rr,0.01,4,0,1,5.0,32,0.207,0.5489,0.4463,0.2553,0.1896,0.1728,0.1473
lambda_rr,0.1,4,0,1,5.0,32,0.174,0.5301,0.3767,0.2403,0.1703,0.1646,0.1445
lambda_rbp_80,0.001,4,0,1,5.0,32,0.4669,0.7019,0.7564,0.4344,0.3676,0.2716,0.1924
lambda_rbp_90,0.001,4,0,1,5.0,32,0.5017,0.7207,0.7799,0.4624,0.3924,0.2852,0.1981
lambda_rbp_95,0.001,4,0,1,5.0,32,0.5421,0.7418,0.8089,0.4935,0.4204,0.3004,0.2045
lambda_rbp_80,0.01,4,0,1,5.0,32,0.4415,0.6876,0.7364,0.4149,0.3498,0.2616,0.1881
lambda_rbp_90,0.01,4,0,1,5.0,32,0.4719,0.7039,0.7662,0.4354,0.369,0.2716,0.1924
lambda_rbp_95,0.01,4,0,1,5.0,32,0.4912,0.7140000000000001,0.7821,0.4495,0.3823,0.2787,0.1955
lambda_rbp_80,0.1,4,0,1,5.0,32,0.2047,0.5479999999999999,0.4362,0.2556,0.1891,0.1735,0.1478
lambda_rbp_95,0.1,4,0,1,5.0,32,0.2262,0.5606,0.4681,0.268,0.2039,0.1816,0.1516
lambda_rbp_90,0.1,4,0,1,5.0,32,0.2183,0.5558,0.4559,0.2633,0.198,0.1781,0.1499
lambda_dcg,0.001,4,0,2,1.0,32,0.6728,0.8594,0.8861,0.7053,0.5685,0.4188,0.2693
lambda_dcg,0.01,4,0,2,1.0,32,0.6558,0.8512,0.8787,0.6901,0.5574,0.4135,0.2673
lambda_dcg,0.1,4,0,2,1.0,32,0.5371,0.7909999999999999,0.7547,0.609,0.4883,0.3841,0.2571
lambda_ap,0.001,4,0,2,1.0,32,0.6701,0.8578,0.8837,0.7027,0.5664,0.4178,0.2689
lambda_ap,0.1,4,0,2,1.0,32,0.5378,0.7914,0.7558,0.6095,0.4887,0.3843,0.2571
lambda_ap,0.01,4,0,2,1.0,32,0.6524,0.8490000000000001,0.8731,0.6872,0.5552,0.4126,0.267
lambda_rr,0.001,4,0,2,1.0,32,0.5199,0.7828,0.7401,0.5975,0.4778,0.3796,0.2554
lambda_rr,0.01,4,0,2,1.0,32,0.5214,0.7842,0.7432,0.5997,0.4791,0.3801,0.2556
lambda_rr,0.1,4,0,2,1.0,32,0.5103,0.777,0.7163,0.5936,0.4745,0.3792,0.2555
lambda_dcg,0.001,4,0,2,2.0,32,0.6023,0.8089,0.8546,0.6064,0.4947,0.3685,0.2461
lambda_dcg,0.01,4,0,2,2.0,32,0.5746,0.7942,0.8398,0.5815,0.475,0.3582,0.242
lambda_dcg,0.1,4,0,2,2.0,32,0.3758,0.6891,0.6245,0.4465,0.3508,0.2998,0.2196
lambda_ap,0.001,4,0,2,2.0,32,0.5956,0.8056,0.8502,0.6015,0.4904,0.3665,0.2453
lambda_ap,0.01,4,0,2,2.0,32,0.5675,0.7909,0.8353,0.5764,0.4702,0.3557,0.24100000000000002
lambda_ap,0.1,4,0,2,2.0,32,0.3769,0.6898,0.6277,0.4468,0.3511,0.2997,0.2195
lambda_rr,0.001,4,0,2,2.0,32,0.3611,0.6823,0.6151,0.4373,0.3413,0.295,0.2177
lambda_rr,0.01,4,0,2,2.0,32,0.3622,0.6831,0.6177,0.4379,0.3415,0.295,0.2177
lambda_rr,0.1,4,0,2,2.0,32,0.3398,0.6701,0.5662,0.4281,0.3308,0.2918,0.2169
lambda_rbp_80,0.001,4,0,2,1.0,32,0.6465,0.8475,0.8701,0.6863,0.5522,0.4112,0.2665
lambda_rbp_90,0.001,4,0,2,1.0,32,0.6801,0.8633,0.892,0.7113,0.5724,0.4204,0.2698
lambda_rbp_95,0.001,4,0,2,1.0,32,0.6995,0.8721,0.9038,0.7259,0.5841,0.4256,0.2717
lambda_rbp_80,0.01,4,0,2,1.0,32,0.6328,0.8405,0.8597,0.6744,0.5434,0.4072,0.265
lambda_rbp_90,0.01,4,0,2,1.0,32,0.6565,0.8519,0.8805,0.6912,0.5577,0.4136,0.2674
lambda_rbp_95,0.01,4,0,2,1.0,32,0.6764,0.861,0.8944,0.705,0.5692,0.4186,0.2691
lambda_rbp_80,0.1,4,0,2,1.0,32,0.5373,0.7922,0.762,0.6092,0.4881,0.3837,0.2568
lambda_rbp_90,0.1,4,0,2,1.0,32,0.5415,0.7938,0.7616,0.6123,0.4908,0.3851,0.2574
lambda_rbp_95,0.1,4,0,2,1.0,32,0.5429,0.7943,0.7623,0.6129,0.4919,0.3856,0.2575
lambda_rbp_80,0.001,4,0,2,2.0,32,0.5557,0.7859999999999999,0.8225,0.5710000000000001,0.4638,0.3532,0.24
lambda_rbp_90,0.001,4,0,2,2.0,32,0.5925,0.8044,0.8482,0.5996,0.4887,0.3655,0.2449
lambda_rbp_80,0.01,4,0,2,2.0,32,0.5318,0.7733,0.8042,0.5517,0.4482,0.3453,0.2369
lambda_rbp_95,0.001,4,0,2,2.0,32,0.615,0.815,0.8622,0.6166,0.5031,0.3726,0.2476
lambda_rbp_90,0.01,4,0,2,2.0,32,0.5671,0.7911,0.8354,0.5770000000000001,0.4705,0.3558,0.24100000000000002
lambda_rbp_95,0.01,4,0,2,2.0,32,0.5854,0.8002,0.8514,0.5898,0.4818,0.3613,0.2431
lambda_rbp_80,0.1,4,0,2,2.0,32,0.376,0.6886,0.6237,0.4458,0.3497,0.2988,0.21899999999999997
lambda_rbp_90,0.1,4,0,2,2.0,32,0.3809,0.6922,0.6317,0.4501,0.3536,0.3009,0.2199
lambda_rbp_95,0.1,4,0,2,2.0,32,0.3819,0.6927,0.6289,0.4515,0.3557,0.3024,0.2206
lambda_dcg,0.001,4,0,2,5.0,32,0.5332,0.7375,0.8045,0.48700000000000004,0.4149,0.2977,0.2036
lambda_dcg,0.01,4,0,2,5.0,32,0.4917,0.7152,0.7853,0.4506,0.3839,0.28,0.1962
lambda_dcg,0.1,4,0,2,5.0,32,0.2088,0.5505,0.4389,0.2586,0.1939,0.1769,0.1498
lambda_ap,0.001,4,0,2,5.0,32,0.5169,0.7297,0.7997,0.4732,0.4033,0.2917,0.2014
lambda_ap,0.01,4,0,2,5.0,32,0.4825,0.7090000000000001,0.7735,0.4427,0.3775,0.2767,0.1947
lambda_ap,0.1,4,0,2,5.0,32,0.2087,0.5502,0.4382,0.2582,0.1931,0.1763,0.1494
lambda_rr,0.001,4,0,2,5.0,32,0.2115,0.5515,0.4547,0.2576,0.192,0.1739,0.1478
lambda_rr,0.01,4,0,2,5.0,32,0.2047,0.5478,0.4438,0.2542,0.1884,0.1723,0.1471
lambda_rr,0.1,4,0,2,5.0,32,0.1738,0.5303,0.3787,0.2401,0.171,0.1652,0.1449
lambda_rbp_80,0.001,4,0,2,5.0,32,0.4617,0.7,0.7555,0.4311,0.3649,0.2705,0.1921
lambda_rbp_90,0.001,4,0,2,5.0,32,0.4986,0.7199,0.784,0.46,0.3907,0.2844,0.198
lambda_rbp_95,0.001,4,0,2,5.0,32,0.5351,0.7388,0.8095,0.4882,0.4153,0.2979,0.2037
lambda_rbp_80,0.01,4,0,2,5.0,32,0.4415,0.6866,0.7359,0.4127,0.3488,0.2607,0.1876
lambda_rbp_90,0.01,4,0,2,5.0,32,0.4703,0.7029,0.7625,0.4343,0.3696,0.2722,0.1927
lambda_rbp_95,0.01,4,0,2,5.0,32,0.4901,0.7133,0.782,0.4479,0.3814,0.2781,0.1952
lambda_rbp_80,0.1,4,0,2,5.0,32,0.205,0.5479,0.4371,0.2552,0.1896,0.1738,0.1481
lambda_rbp_90,0.1,4,0,2,5.0,32,0.2159,0.5544,0.4541,0.2615,0.1967,0.1776,0.1498
lambda_rbp_95,0.1,4,0,2,5.0,32,0.2271,0.5608,0.4662,0.2682,0.2048,0.1824,0.152
