loss_type,lr,threshold,reg,fold,frac,emb_size,NDCG@5,NDCG,RR,AP,RBP_80,RBP_90,RBP_95
lambda_rbp_95,0.1,0,0,0,1.0,32,0.6198,0.8282,0.8087,0.6441,0.5652,0.4669,0.3404
lambda_dcg,0.1,0,0,0,1.0,32,0.6007,0.8202,0.7929999999999999,0.6337,0.5542,0.4617,0.3386
lambda_rr,0.1,0,0,0,1.0,32,0.5084,0.7816,0.7102,0.5754,0.4865,0.4209,0.3181
lambda_dcg,0.1,0,0,0,2.0,32,0.4721,0.7391,0.6965,0.4904,0.4326,0.3716,0.2868
lambda_dcg,0.1,0,0,0,5.0,32,0.3188,0.6219,0.5503,0.3161,0.2876,0.2488,0.2036
lambda_rr,0.1,0,0,0,5.0,32,0.1752,0.5447,0.3767,0.2253,0.1726,0.1687,0.1551
lambda_rr,0.01,0,0,0,5.0,32,0.237,0.5727,0.4799,0.2489,0.2131,0.1907,0.1659
lambda_rr,0.01,0,0,0,1.0,32,0.53,0.7901,0.7449,0.5832,0.5003,0.4277,0.321
lambda_dcg,0.01,0,0,0,1.0,32,0.8598,0.9351,0.955,0.8393,0.7421,0.5724,0.3913
lambda_dcg,0.001,0,0,0,1.0,32,0.8739,0.9417,0.9627,0.8531,0.7528,0.5786,0.3942
lambda_ap,0.001,0,0,0,1.0,32,0.8532,0.9318,0.9486,0.8340000000000001,0.7379,0.5694,0.3897
lambda_ap,0.01,0,0,0,1.0,32,0.8499,0.9302,0.9488,0.8292,0.7341,0.5674,0.3889
lambda_rr,0.001,0,0,0,1.0,32,0.5255,0.7891,0.7399,0.5824,0.4984,0.4263,0.3201
lambda_ap,0.1,0,0,0,1.0,32,0.5987,0.8186,0.7866,0.6308,0.5504,0.4584,0.3365
lambda_rbp_90,0.001,0,0,0,2.0,32,0.8575,0.9257,0.9611,0.8088,0.7282,0.556,0.3794
lambda_rbp_95,0.001,0,0,0,2.0,32,0.8816,0.9393,0.9677,0.8412,0.7499,0.5716,0.3884
lambda_rbp_90,0.01,0,0,0,2.0,32,0.8268,0.9131,0.9391,0.7867,0.7078,0.5447,0.3745
lambda_rbp_95,0.01,0,0,0,2.0,32,0.8504,0.924,0.9515,0.8094,0.7249,0.5557,0.3803
lambda_rbp_90,0.1,0,0,0,2.0,32,0.4655,0.7369,0.698,0.4837,0.4238,0.3626,0.2803
lambda_rbp_95,0.1,0,0,0,2.0,32,0.4884,0.7475,0.7166,0.4997,0.4432,0.3759,0.2875
lambda_ap,0.001,0,0,0,2.0,32,0.8372,0.9198,0.9481,0.8029,0.7175,0.5524,0.3794
lambda_ap,0.1,0,0,0,2.0,32,0.4646,0.7364,0.6976,0.4842,0.4245,0.3652,0.2828
lambda_ap,0.01,0,0,0,2.0,32,0.8212,0.9109999999999999,0.9358,0.7843,0.7044,0.5433,0.3741
lambda_rr,0.001,0,0,0,2.0,32,0.3831,0.6968,0.6352,0.4245,0.3607,0.3222,0.2589
lambda_rr,0.01,0,0,0,2.0,32,0.3706,0.6921,0.6162,0.4209,0.354,0.3194,0.2578
lambda_rr,0.1,0,0,0,2.0,32,0.3497,0.6823,0.5819,0.4111,0.3394,0.311,0.2538
lambda_ap,0.1,0,0,0,5.0,32,0.2954,0.6084,0.5275,0.2985,0.2672,0.2337,0.1938
lambda_ap,0.001,0,0,0,5.0,32,0.7881,0.8862,0.9223,0.7307,0.6703,0.5147,0.3561
lambda_ap,0.01,0,0,0,5.0,32,0.7509,0.8658,0.9036,0.691,0.6392,0.4936,0.3444
lambda_rr,0.001,0,0,0,5.0,32,0.2708,0.5898,0.5194,0.2663,0.2386,0.20600000000000002,0.1733
lambda_rbp_90,0.001,0,0,0,1.0,32,0.9085,0.9564,0.9787,0.8826,0.7775,0.5927,0.4003
lambda_rbp_95,0.001,0,0,0,1.0,32,0.924,0.9643,0.9826,0.9023,0.7909,0.6016,0.4051
lambda_rbp_80,0.1,0,0,0,5.0,32,0.2559,0.5886,0.4848,0.27399999999999997,0.2355,0.2113,0.1803
lambda_dcg,0.001,0,0,0,2.0,32,0.8517,0.9276,0.9520000000000001,0.8205,0.7305,0.5617,0.3844
lambda_dcg,0.01,0,0,0,2.0,32,0.8307,0.9158,0.9407,0.7946,0.7128,0.5493,0.3776
lambda_dcg,0.001,0,0,0,5.0,32,0.8049,0.8977,0.9352,0.752,0.6853,0.5254,0.36200000000000004
lambda_dcg,0.01,0,0,0,5.0,32,0.7731,0.8794,0.9193,0.7156,0.657,0.5053,0.3507
lambda_rbp_80,0.001,0,0,0,1.0,32,0.8747,0.9393,0.9681,0.841,0.7486,0.5719,0.3885
lambda_rbp_80,0.01,0,0,0,1.0,32,0.8681,0.9374,0.9561,0.8418,0.7483,0.5739,0.3903
lambda_rbp_90,0.01,0,0,0,1.0,32,0.8898,0.9495,0.9671,0.8699,0.7658,0.5865,0.3978
lambda_rbp_95,0.01,0,0,0,1.0,32,0.9067,0.9563,0.9755,0.8844,0.7761,0.5926,0.4009
lambda_rbp_80,0.1,0,0,0,1.0,32,0.5886,0.8148,0.7829,0.6226,0.5415,0.4516,0.3324
lambda_rbp_90,0.1,0,0,0,1.0,32,0.6058,0.8217,0.7951,0.6339,0.5546,0.4596,0.3365
lambda_rbp_80,0.001,0,0,0,2.0,32,0.8137,0.9008,0.9398,0.7536,0.6897,0.5271,0.3622
lambda_rbp_80,0.01,0,0,0,2.0,32,0.7977,0.8952,0.9223,0.7486,0.6823,0.5262,0.3633
lambda_rbp_80,0.1,0,0,0,2.0,32,0.4247,0.7204,0.6598,0.4629,0.3973,0.3481,0.2735
lambda_rbp_80,0.001,0,0,0,5.0,32,0.6940000000000001,0.8182,0.8767,0.591,0.5753,0.4353,0.3035
lambda_rbp_90,0.001,0,0,0,5.0,32,0.7593,0.8622,0.9109,0.6762,0.6381,0.4856,0.3355
lambda_rbp_95,0.001,0,0,0,5.0,32,0.7884,0.8829,0.9245,0.7193,0.667,0.5088,0.3504
lambda_rbp_90,0.01,0,0,0,5.0,32,0.7203,0.8444,0.8804,0.6492,0.6108,0.4711,0.3293
lambda_rbp_80,0.01,0,0,0,5.0,32,0.6679999999999999,0.8115,0.8415,0.5897,0.5670000000000001,0.438,0.3086
lambda_rbp_95,0.01,0,0,0,5.0,32,0.748,0.8618,0.8987,0.6817,0.6354,0.4883,0.3396
lambda_rbp_90,0.1,0,0,0,5.0,32,0.2751,0.5993,0.5035,0.2865,0.2518,0.2224,0.1862
lambda_rbp_95,0.1,0,0,0,5.0,32,0.3055,0.6143,0.5343,0.3046,0.2745,0.2374,0.1949
lambda_ap,0.1,0,0,1,1.0,32,0.5931,0.8157,0.7791,0.6273,0.5492,0.4594,0.3372
lambda_dcg,0.01,0,0,1,1.0,32,0.8565,0.9342,0.9532,0.838,0.7408,0.5722,0.3914
lambda_dcg,0.1,0,0,1,1.0,32,0.6003,0.8187,0.7833,0.6329,0.5549,0.4633,0.3396
lambda_ap,0.001,0,0,1,1.0,32,0.8553,0.9337,0.9517,0.836,0.7395,0.5704,0.3902
