NDCG@5,NDCG,AP,RR,RBP_80,RBP_90,RBP_95
0.5087,0.7799,0.4693,1.0,0.4933,0.4165,0.3276
0.3452,0.6898,0.4676,0.5,0.4129,0.3667,0.2618
0.2773,0.5981,0.3927,0.25,0.3017,0.2901,0.2059
1.0,0.9535,0.8524,1.0,0.6983,0.4638,0.279
0.5087,0.8268,0.619,1.0,0.4492,0.3207,0.1983
0.3156,0.6304,0.4008,0.3333,0.3333,0.3103,0.2271
0.0,0.5629,0.3031,0.1429,0.1114,0.2202,0.2458
0.3008,0.6207,0.3073,0.3333,0.2581,0.2549,0.257
0.8688,0.8786,0.6044,1.0,0.7632,0.6113,0.4757
0.5087,0.7964,0.5111,1.0,0.4924,0.4535,0.3692
0.6548,0.8025,0.5019,1.0,0.5469,0.4398,0.3399
0.6548,0.821,0.49,1.0,0.6258,0.5834,0.4839
0.3452,0.6483,0.4077,0.5,0.3268,0.3074,0.2271
0.4704,0.7568,0.4819,1.0,0.3895,0.3228,0.2293
0.6548,0.8394,0.624,1.0,0.5303,0.3932,0.2549
0.4704,0.7663,0.5123,1.0,0.3877,0.3142,0.2131
0.1312,0.581,0.3022,0.2,0.1569,0.2379,0.2527
0.3008,0.6462,0.442,0.3333,0.368,0.3371,0.2381
0.5531,0.8481,0.6207,1.0,0.5072,0.3794,0.2509
0.1461,0.5327,0.2911,0.25,0.1834,0.22,0.1793
0.3601,0.6972,0.4712,0.5,0.4269,0.3686,0.2614
0.3156,0.6354,0.3152,0.3333,0.2849,0.2788,0.27
0.6992,0.8361,0.5849,1.0,0.4935,0.3461,0.2326
1.0,0.8638,0.562,1.0,0.7856,0.5846,0.4247
0.3008,0.6322,0.4344,0.3333,0.3468,0.3129,0.2149
1.0,0.8562,0.4944,1.0,0.8034,0.6758,0.5596
0.3601,0.7483,0.4208,0.5,0.4179,0.4261,0.4139
0.1312,0.5828,0.3687,0.2,0.2568,0.2887,0.2218
0.3008,0.6058,0.364,0.3333,0.2898,0.2878,0.2183
0.4704,0.7416,0.453,1.0,0.3644,0.3024,0.2199
1.0,0.8657,0.5842,1.0,0.7189,0.5293,0.3914
0.6844,0.8911,0.7093,1.0,0.6772,0.5771,0.4151
0.3156,0.6407,0.4272,0.3333,0.3486,0.327,0.2351
0.4704,0.7809,0.5433,1.0,0.3915,0.2948,0.1894
0.3392,0.7235,0.4455,1.0,0.311,0.2703,0.1965
0.3452,0.6656,0.3529,0.5,0.3233,0.3152,0.2951
0.1461,0.5723,0.3215,0.25,0.219,0.2616,0.2216
1.0,0.9943,0.9711,1.0,0.9987,0.9672,0.8254
0.3601,0.6612,0.4304,0.5,0.3583,0.3029,0.2087
0.1696,0.5402,0.2939,0.3333,0.2056,0.21,0.1596
