NDCG@5,NDCG,AP,RR,RBP_80,RBP_90,RBP_95
0.8539,0.9377,0.8061,1.0,0.7974,0.6562,0.4599
0.8539,0.9672,0.9068,1.0,0.7634,0.5397,0.3269
0.8688,0.9838,0.9484,1.0,0.7084,0.4561,0.2609
1.0,1.0,1.0,1.0,0.7903,0.5217,0.3017
0.7227,0.9505,0.8583,1.0,0.5955,0.3779,0.2162
1.0,0.9743,0.9137,1.0,0.7385,0.4909,0.29
1.0,0.955,0.8392,1.0,0.8443,0.6268,0.4124
1.0,0.9602,0.8488,1.0,0.9008,0.7207,0.5031
0.8688,0.9447,0.8117,1.0,0.85,0.7646,0.6052
1.0,0.9824,0.928,1.0,0.9312,0.7511,0.5133
1.0,0.9968,0.986,1.0,0.9493,0.7636,0.5085
0.786,0.921,0.7778,1.0,0.7958,0.7901,0.7038
0.786,0.9133,0.826,1.0,0.6722,0.4795,0.2891
1.0,0.9951,0.9821,1.0,0.7798,0.5164,0.2998
0.8539,0.9461,0.8385,1.0,0.6838,0.4693,0.2835
0.7227,0.9489,0.8552,1.0,0.6479,0.431,0.253
1.0,0.9379,0.7847,1.0,0.8245,0.62,0.4174
0.5296,0.781,0.6663,0.5,0.5688,0.4379,0.2756
0.7227,0.8939,0.703,1.0,0.5865,0.4049,0.2573
0.3452,0.6694,0.4599,0.5,0.3769,0.3202,0.2162
1.0,0.9603,0.8686,1.0,0.7514,0.5154,0.3142
1.0,0.9963,0.9832,1.0,0.9723,0.8236,0.5757
0.8688,0.963,0.881,1.0,0.7151,0.4822,0.2875
1.0,0.9604,0.8439,1.0,0.9426,0.8096,0.6001
0.6548,0.8543,0.662,1.0,0.534,0.3727,0.2308
1.0,0.9383,0.7273,1.0,0.9827,0.9212,0.8031
1.0,0.9723,0.8894,1.0,0.9458,0.9096,0.7892
1.0,0.9827,0.9405,1.0,0.755,0.4999,0.2933
0.6992,0.8659,0.6478,1.0,0.5432,0.3888,0.2521
0.6399,0.8407,0.6381,1.0,0.5278,0.4047,0.2625
1.0,0.939,0.777,1.0,0.8932,0.6962,0.4837
1.0,0.9879,0.9514,1.0,0.9168,0.7192,0.4743
0.8688,0.9764,0.924,1.0,0.7419,0.4991,0.2941
0.8688,0.9818,0.9429,1.0,0.6428,0.397,0.2222
0.6844,0.8912,0.7204,1.0,0.5582,0.3891,0.2385
0.8304,0.8761,0.6338,1.0,0.7017,0.5644,0.4223
1.0,1.0,1.0,1.0,0.8322,0.5695,0.3366
1.0,1.0,1.0,1.0,0.9997,0.9775,0.8422
0.8304,0.9174,0.7774,1.0,0.6055,0.4045,0.2422
0.8304,0.9325,0.8211,1.0,0.5779,0.3716,0.2143
1.0,0.9635,0.868,1.0,0.8461,0.6437,0.4261
1.0,0.9919,0.9653,1.0,0.9493,0.774,0.5259
1.0,1.0,1.0,1.0,0.9976,0.9419,0.7497
1.0,0.9938,0.9675,1.0,0.9997,0.9846,0.8825
0.6844,0.8598,0.641,1.0,0.5504,0.422,0.2825
1.0,0.9487,0.8257,1.0,0.781,0.5624,0.3618
0.786,0.9093,0.8121,1.0,0.6638,0.4747,0.2873
0.8688,0.9668,0.9,1.0,0.6172,0.3826,0.217
1.0,0.9817,0.9215,1.0,0.9684,0.8319,0.6059
1.0,0.9521,0.8409,1.0,0.7727,0.537,0.335
1.0,1.0,1.0,1.0,0.6723,0.4095,0.2262
0.8688,0.9896,0.9667,1.0,0.6559,0.4029,0.2242
1.0,0.9877,0.9583,1.0,0.7143,0.4573,0.2611
0.8304,0.9126,0.7559,1.0,0.6849,0.5104,0.3302
0.8304,0.9371,0.8333,1.0,0.6786,0.4741,0.2862
0.8304,0.9496,0.8734,1.0,0.6623,0.4407,0.2565
0.8539,0.9418,0.8284,1.0,0.6333,0.4193,0.2482
1.0,0.9788,0.9276,1.0,0.7462,0.4975,0.2929
0.8304,0.8796,0.6281,1.0,0.7392,0.6347,0.5013
1.0,0.9818,0.9333,1.0,0.8259,0.5833,0.3576
1.0,0.938,0.7706,1.0,0.8787,0.7171,0.5343
1.0,0.9148,0.732,1.0,0.7243,0.5051,0.3311
1.0,0.9546,0.8386,1.0,0.8691,0.6981,0.4827
1.0,0.9628,0.8724,1.0,0.7819,0.5545,0.3462
0.6608,0.8762,0.6842,0.5,0.7274,0.7425,0.6985
0.8539,0.9383,0.8113,1.0,0.7317,0.5329,0.3384
0.8539,0.9495,0.8374,1.0,0.8767,0.7771,0.5746
0.8688,0.9673,0.8965,1.0,0.6774,0.4378,0.2541
0.8688,0.9569,0.8423,1.0,0.9076,0.839,0.6762
0.8688,0.9172,0.7556,1.0,0.6351,0.422,0.261
0.7227,0.9456,0.8444,1.0,0.5871,0.3731,0.2145
1.0,0.9877,0.9446,1.0,0.9871,0.8825,0.6645
1.0,0.9911,0.9683,1.0,0.7714,0.5116,0.2981
0.7227,0.9286,0.7994,1.0,0.6092,0.4107,0.2458
0.8539,0.9571,0.8722,1.0,0.6623,0.4344,0.2536
1.0,0.9663,0.8642,1.0,0.941,0.7806,0.562
0.786,0.8948,0.7482,1.0,0.7141,0.5699,0.3825
