NDCG@5,NDCG,AP,RR,RBP_80,RBP_90,RBP_95
0.8304,0.8718,0.6413,1.0,0.7377,0.578,0.3828
0.7227,0.8737,0.6539,1.0,0.5928,0.4193,0.2693
0.3836,0.706,0.5066,0.5,0.4249,0.3373,0.2217
0.6399,0.7545,0.4469,1.0,0.4229,0.2877,0.1943
0.8539,0.9609,0.885,1.0,0.6119,0.3844,0.2183
0.0,0.4291,0.1553,0.0769,0.0338,0.0934,0.1183
0.5531,0.6914,0.3096,1.0,0.3664,0.2299,0.1778
0.8304,0.8125,0.4936,1.0,0.7122,0.5174,0.3256
0.8539,0.7652,0.3628,1.0,0.651,0.4582,0.3098
0.6399,0.7323,0.3586,1.0,0.4975,0.363,0.2595
0.0,0.482,0.1389,0.1667,0.112,0.1255,0.1142
1.0,0.8594,0.5233,1.0,0.9141,0.7323,0.5284
0.3156,0.6253,0.3833,0.3333,0.3446,0.3025,0.2163
0.3452,0.5951,0.295,0.5,0.2963,0.2305,0.1721
0.1461,0.5636,0.3043,0.25,0.2524,0.2506,0.194
0.3836,0.6336,0.3598,0.5,0.3553,0.2458,0.1655
0.3392,0.6284,0.2351,1.0,0.2759,0.2002,0.1617
0.214,0.522,0.211,0.5,0.1683,0.1388,0.132
0.1696,0.4837,0.1783,0.3333,0.1465,0.1324,0.1242
0.1461,0.5221,0.2542,0.25,0.1951,0.2019,0.1626
0.3008,0.5857,0.3067,0.3333,0.2776,0.2686,0.2058
0.7227,0.7444,0.3559,1.0,0.5034,0.3274,0.2438
0.6844,0.8163,0.5461,1.0,0.5086,0.3276,0.2078
1.0,0.8177,0.4606,1.0,0.7586,0.5311,0.3616
0.3008,0.5412,0.2582,0.3333,0.2299,0.202,0.1561
0.5296,0.6659,0.1949,0.5,0.4441,0.3124,0.2242
0.0,0.5501,0.156,0.0667,0.0148,0.0529,0.0992
0.1312,0.4785,0.1872,0.2,0.1379,0.148,0.1373
0.0,0.4598,0.1768,0.1667,0.0864,0.1292,0.1352
0.1696,0.5385,0.2459,0.3333,0.2095,0.1981,0.1664
0.1312,0.548,0.2039,0.2,0.1308,0.1756,0.1881
0.0,0.4916,0.1607,0.1429,0.0857,0.1315,0.1407
0.3836,0.6307,0.3406,0.5,0.3345,0.2576,0.1859
0.1312,0.4405,0.1703,0.2,0.0998,0.1226,0.1148
0.3392,0.661,0.3304,1.0,0.2573,0.1863,0.145
0.0,0.5592,0.2196,0.1667,0.1841,0.2326,0.2104
0.5148,0.6698,0.3926,0.5,0.3979,0.3063,0.2212
0.0,0.5567,0.161,0.1429,0.0577,0.0879,0.1187
0.6844,0.8235,0.5665,1.0,0.4704,0.3076,0.1956
0.0,0.3994,0.1437,0.0909,0.0353,0.0864,0.1009
0.1461,0.5129,0.1846,0.25,0.1269,0.1459,0.1565
0.3156,0.5979,0.2486,0.3333,0.3029,0.2658,0.2154
0.5531,0.7058,0.2718,1.0,0.474,0.3305,0.2416
0.1461,0.5664,0.1481,0.25,0.1083,0.0992,0.1001
0.0,0.4636,0.1764,0.1111,0.076,0.1318,0.1399
0.0,0.423,0.1225,0.0833,0.0183,0.0482,0.0838
0.0,0.4019,0.132,0.0556,0.0097,0.0532,0.0931
0.1696,0.5307,0.2676,0.3333,0.2035,0.1951,0.15
0.214,0.5743,0.1906,0.5,0.2151,0.1723,0.1613
0.3392,0.6946,0.3506,1.0,0.344,0.2736,0.2059
0.3836,0.6505,0.4104,0.5,0.3331,0.2547,0.1721
0.4852,0.7167,0.4141,1.0,0.3206,0.2162,0.1465
0.0,0.4081,0.1333,0.125,0.0484,0.0818,0.0978
0.3392,0.6789,0.3368,1.0,0.2872,0.2475,0.2041
0.0,0.4359,0.1431,0.1667,0.0874,0.1054,0.1076
0.0,0.4589,0.2086,0.1111,0.0729,0.1427,0.1451
0.0,0.4045,0.1486,0.0625,0.0164,0.0717,0.104
0.5087,0.7751,0.4877,1.0,0.4328,0.318,0.2181
0.2773,0.6126,0.2455,0.25,0.2787,0.2663,0.2389
0.5531,0.7417,0.3973,1.0,0.4122,0.2769,0.1988
0.3452,0.6145,0.232,0.5,0.2946,0.2619,0.2215
0.1461,0.5107,0.1942,0.25,0.1409,0.1654,0.1614
0.8304,0.7956,0.4531,1.0,0.5992,0.4106,0.2938
0.3452,0.5699,0.2379,0.5,0.2524,0.2002,0.1651
0.0,0.5974,0.1726,0.1429,0.0867,0.1131,0.1384
0.3836,0.6544,0.3537,0.5,0.3812,0.2999,0.2207
0.1312,0.5141,0.1517,0.2,0.1036,0.1096,0.1151
0.6548,0.82,0.5857,1.0,0.4976,0.3281,0.2052
0.6548,0.7003,0.2662,1.0,0.5136,0.364,0.2529
0.1696,0.5601,0.2936,0.3333,0.2116,0.2318,0.1935
0.0,0.4199,0.1711,0.0909,0.0502,0.1098,0.116
0.1312,0.5871,0.2211,0.2,0.1835,0.2367,0.2273
0.3392,0.6303,0.2874,1.0,0.2167,0.16,0.1401
0.4852,0.7457,0.4531,1.0,0.395,0.2766,0.181
0.1461,0.5122,0.2355,0.25,0.1873,0.1879,0.1533
0.4852,0.7069,0.3135,1.0,0.4152,0.3436,0.2733
0.0,0.4397,0.1431,0.0476,0.005,0.0432,0.0978
0.214,0.5979,0.2967,0.5,0.2425,0.2461,0.2109
0.7227,0.8319,0.5522,1.0,0.566,0.3818,0.2519
0.1461,0.5731,0.2413,0.25,0.2252,0.2405,0.2138
0.1461,0.5636,0.2919,0.25,0.2333,0.2429,0.2033
0.3392,0.6456,0.2036,1.0,0.2865,0.2211,0.1843
0.0,0.459,0.1635,0.1429,0.0604,0.1,0.128
0.3392,0.6063,0.2159,1.0,0.2083,0.1426,0.1386
0.1696,0.4809,0.1852,0.3333,0.1475,0.1354,0.1222
0.214,0.5693,0.2296,0.5,0.2228,0.1982,0.178
0.214,0.5875,0.1903,0.5,0.2002,0.1744,0.1675
0.0,0.5424,0.1553,0.0769,0.0258,0.0739,0.1124
0.3836,0.6437,0.3482,0.5,0.3755,0.2771,0.1977
0.0,0.4323,0.1533,0.1429,0.0869,0.1121,0.1111
0.214,0.5601,0.2554,0.5,0.2123,0.1896,0.1627
0.3392,0.6136,0.2387,1.0,0.2149,0.1565,0.1469
0.6164,0.7088,0.3719,1.0,0.3875,0.2606,0.1827
0.1461,0.4993,0.2319,0.25,0.1447,0.1753,0.1552
0.6844,0.7038,0.2692,1.0,0.4709,0.3248,0.2352
0.0,0.545,0.1589,0.0833,0.0246,0.064,0.1045
0.3392,0.6269,0.1947,1.0,0.2599,0.1928,0.1617
0.3392,0.6534,0.3338,1.0,0.227,0.1634,0.126
0.0,0.5613,0.2407,0.1429,0.1533,0.2257,0.2226
0.1461,0.5063,0.2339,0.25,0.1677,0.1803,0.1542
0.1461,0.5106,0.25,0.25,0.198,0.1889,0.1432
0.0,0.3931,0.1324,0.1111,0.039,0.0783,0.0934
0.5531,0.7488,0.4173,1.0,0.4274,0.2677,0.1821
0.0,0.4924,0.1654,0.1667,0.1096,0.131,0.1387
0.0,0.4237,0.1619,0.0909,0.0386,0.0993,0.118
0.3601,0.6334,0.3215,0.5,0.3313,0.2878,0.2275
0.3392,0.6728,0.3571,1.0,0.2564,0.186,0.1351
0.0,0.4689,0.184,0.1667,0.104,0.1444,0.1408
0.3392,0.6304,0.299,1.0,0.2103,0.1489,0.1278
