loss_type: lambda_dcg, lr: 0.001, frac: 1.0, th: 0, emb_size: 32, fold: 0, NDCG = 0.9417, AP = 0.8531, RR = 0.9627, RBP_80 = 0.7528, RBP_90 = 0.5786, RBP_95 = 0.3942, 
loss_type: lambda_dcg, lr: 0.01, frac: 1.0, th: 0, emb_size: 32, fold: 0, NDCG = 0.9351, AP = 0.8393, RR = 0.955, RBP_80 = 0.7421, RBP_90 = 0.5724, RBP_95 = 0.3913, 
loss_type: lambda_ap, lr: 0.001, frac: 1.0, th: 0, emb_size: 32, fold: 0, NDCG = 0.9318, AP = 0.834, RR = 0.9486, RBP_80 = 0.7379, RBP_90 = 0.5694, RBP_95 = 0.3897, 
loss_type: lambda_ap, lr: 0.01, frac: 1.0, th: 0, emb_size: 32, fold: 0, NDCG = 0.9302, AP = 0.8292, RR = 0.9488, RBP_80 = 0.7341, RBP_90 = 0.5674, RBP_95 = 0.3889, 
loss_type: lambda_rr, lr: 0.001, frac: 1.0, th: 0, emb_size: 32, fold: 0, NDCG = 0.7891, AP = 0.5824, RR = 0.7399, RBP_80 = 0.4984, RBP_90 = 0.4263, RBP_95 = 0.3201, 
loss_type: lambda_rr, lr: 0.01, frac: 1.0, th: 0, emb_size: 32, fold: 0, NDCG = 0.7901, AP = 0.5832, RR = 0.7449, RBP_80 = 0.5003, RBP_90 = 0.4277, RBP_95 = 0.321, 
loss_type: lambda_rbp_80, lr: 0.001, frac: 1.0, th: 0, emb_size: 32, fold: 0, NDCG = 0.9393, AP = 0.841, RR = 0.9681, RBP_80 = 0.7486, RBP_90 = 0.5719, RBP_95 = 0.3885, 
loss_type: lambda_rbp_80, lr: 0.01, frac: 1.0, th: 0, emb_size: 32, fold: 0, NDCG = 0.9374, AP = 0.8418, RR = 0.9561, RBP_80 = 0.7483, RBP_90 = 0.5739, RBP_95 = 0.3903, 
loss_type: lambda_rbp_90, lr: 0.001, frac: 1.0, th: 0, emb_size: 32, fold: 0, NDCG = 0.9564, AP = 0.8826, RR = 0.9787, RBP_80 = 0.7775, RBP_90 = 0.5927, RBP_95 = 0.4003, 
loss_type: lambda_rbp_90, lr: 0.01, frac: 1.0, th: 0, emb_size: 32, fold: 0, NDCG = 0.9495, AP = 0.8699, RR = 0.9671, RBP_80 = 0.7658, RBP_90 = 0.5865, RBP_95 = 0.3978, 
loss_type: lambda_rbp_95, lr: 0.001, frac: 1.0, th: 0, emb_size: 32, fold: 0, NDCG = 0.9643, AP = 0.9023, RR = 0.9826, RBP_80 = 0.7909, RBP_90 = 0.6016, RBP_95 = 0.4051, 
loss_type: lambda_rbp_95, lr: 0.01, frac: 1.0, th: 0, emb_size: 32, fold: 0, NDCG = 0.9563, AP = 0.8844, RR = 0.9755, RBP_80 = 0.7761, RBP_90 = 0.5926, RBP_95 = 0.4009, 
loss_type: lambda_dcg, lr: 0.001, frac: 2.0, th: 0, emb_size: 32, fold: 0, NDCG = 0.9276, AP = 0.8205, RR = 0.952, RBP_80 = 0.7305, RBP_90 = 0.5617, RBP_95 = 0.3844, 
loss_type: lambda_dcg, lr: 0.01, frac: 2.0, th: 0, emb_size: 32, fold: 0, NDCG = 0.9158, AP = 0.7946, RR = 0.9407, RBP_80 = 0.7128, RBP_90 = 0.5493, RBP_95 = 0.3776, 
loss_type: lambda_ap, lr: 0.001, frac: 2.0, th: 0, emb_size: 32, fold: 0, NDCG = 0.9198, AP = 0.8029, RR = 0.9481, RBP_80 = 0.7175, RBP_90 = 0.5524, RBP_95 = 0.3794, 
loss_type: lambda_ap, lr: 0.01, frac: 2.0, th: 0, emb_size: 32, fold: 0, NDCG = 0.911, AP = 0.7843, RR = 0.9358, RBP_80 = 0.7044, RBP_90 = 0.5433, RBP_95 = 0.3741, 
loss_type: lambda_rr, lr: 0.001, frac: 2.0, th: 0, emb_size: 32, fold: 0, NDCG = 0.6968, AP = 0.4245, RR = 0.6352, RBP_80 = 0.3607, RBP_90 = 0.3222, RBP_95 = 0.2589, 
loss_type: lambda_rr, lr: 0.01, frac: 2.0, th: 0, emb_size: 32, fold: 0, NDCG = 0.6921, AP = 0.4209, RR = 0.6162, RBP_80 = 0.354, RBP_90 = 0.3194, RBP_95 = 0.2578, 
loss_type: lambda_rbp_80, lr: 0.001, frac: 2.0, th: 0, emb_size: 32, fold: 0, NDCG = 0.9008, AP = 0.7536, RR = 0.9398, RBP_80 = 0.6897, RBP_90 = 0.5271, RBP_95 = 0.3622, 
loss_type: lambda_rbp_80, lr: 0.01, frac: 2.0, th: 0, emb_size: 32, fold: 0, NDCG = 0.8952, AP = 0.7486, RR = 0.9223, RBP_80 = 0.6823, RBP_90 = 0.5262, RBP_95 = 0.3633, 
loss_type: lambda_rbp_90, lr: 0.001, frac: 2.0, th: 0, emb_size: 32, fold: 0, NDCG = 0.9257, AP = 0.8088, RR = 0.9611, RBP_80 = 0.7282, RBP_90 = 0.556, RBP_95 = 0.3794, 
loss_type: lambda_rbp_90, lr: 0.01, frac: 2.0, th: 0, emb_size: 32, fold: 0, NDCG = 0.9131, AP = 0.7867, RR = 0.9391, RBP_80 = 0.7078, RBP_90 = 0.5447, RBP_95 = 0.3745, 
