loss_type,lr,threshold,reg,fold,frac,emb_size,NDCG@5,NDCG,RR,AP,RBP_80,RBP_90,RBP_95
rbp,0.5,0,0,0,2.0,8,0.7751,0.8973,0.8524,0.7823,0.7012,0.5647,0.3978
rbp,0.5,0,0,0,2.0,32,0.7698,0.8925,0.8544,0.7709,0.6962,0.5607,0.3954
rbp,0.001,0,0,0,2.0,8,0.8866,0.9391,0.961,0.8452,0.7722,0.6008,0.4134
dcg,0.5,0,0,0,2.0,32,0.9102,0.9498,0.9753,0.8645,0.7879,0.6089,0.4168
dcg,0.5,0,0,0,2.0,8,0.9065,0.9479,0.9733,0.8602,0.7848,0.6069,0.4158
rbp,0.001,0,0,0,2.0,32,0.8882,0.9398,0.9616,0.8469,0.7735,0.6016,0.4139
dcg,0.5,0,0,0,2.0,128,0.9138,0.9515,0.9781,0.8682,0.7907,0.6107,0.4178
dcg,0.01,0,0,0,2.0,8,0.3902,0.6998,0.6372,0.4218,0.3662,0.3279,0.267
rbp,0.001,0,0,0,2.0,128,0.8927,0.9421,0.9644,0.8517,0.7772,0.6039,0.415
dcg,0.01,0,0,0,2.0,32,0.4101,0.7098,0.6588,0.4346,0.3815,0.3373,0.2715
dcg,0.01,0,0,0,2.0,128,0.445,0.7256,0.6974,0.4537,0.4045,0.3503,0.278
rbp,0.5,0,0,0,2.0,128,0.7986,0.9025,0.8655,0.7923,0.7184,0.5748,0.4023
ap,0.01,0,0,0,2.0,8,0.8397,0.9151,0.9373,0.7964,0.7315,0.5738,0.3999
ap,0.01,0,0,0,2.0,32,0.8672,0.9301,0.9527,0.8253,0.7549,0.5892,0.4076
ap,0.01,0,0,0,2.0,128,0.8472,0.9192,0.9427,0.8045,0.7390000000000001,0.5793,0.4029
ap,0.5,0,0,0,2.0,8,0.8939,0.941,0.9699,0.8434,0.7729,0.5984,0.4112
ap,0.5,0,0,0,2.0,32,0.9074,0.9481,0.9741,0.8606,0.7852,0.6072,0.4159
ap,0.5,0,0,0,2.0,128,0.9027,0.9457,0.9729,0.8543,0.7809,0.604,0.4142
rr,0.01,0,0,0,2.0,8,0.3365,0.6789,0.5556,0.4033,0.3333,0.3126,0.261
rr,0.01,0,0,0,2.0,32,0.3328,0.6775,0.5499,0.4019,0.3312,0.3117,0.2605
rr,0.01,0,0,0,2.0,128,0.4383,0.7129,0.7285,0.4251,0.3859,0.3299,0.2643
rr,0.5,0,0,0,2.0,32,0.5603,0.7581,0.8371,0.4738,0.4647,0.3681,0.27899999999999997
rr,0.5,0,0,0,2.0,8,0.5942,0.7691,0.851,0.4899,0.4909,0.384,0.2864
rr,0.5,0,0,0,2.0,128,0.5167,0.7417,0.809,0.45399999999999996,0.4352,0.3524,0.2724
dcg,0.1,0,0,0,1.0,32,0.9197,0.9593,0.9794,0.889,0.8001,0.6205,0.4246
dcg,0.5,0,0,0,1.0,32,0.93,0.9643,0.9831,0.9009999999999999,0.8091,0.6266,0.4277
dcg,0.3,0,0,0,1.0,32,0.9247,0.9618,0.9819,0.8945,0.8044,0.6231,0.4258
dcg,1.0,0,0,0,1.0,32,0.9342,0.9667,0.9859,0.907,0.8131,0.6295,0.4294
ap,0.1,0,0,0,1.0,32,0.9183,0.9589,0.9777,0.8891,0.7998,0.6207,0.4249
ap,0.3,0,0,0,1.0,32,0.9204,0.9595,0.9787,0.8897,0.8012,0.6213,0.4251
ap,0.5,0,0,0,1.0,32,0.924,0.9615,0.9808,0.8943,0.8046,0.6237,0.4263
rbp,0.0001,0,0,0,1.0,32,0.9182,0.9590000000000001,0.9737,0.8922,0.8009,0.6222,0.4259
ap,1.0,0,0,0,1.0,32,0.9294,0.9643,0.9828,0.9014,0.8095,0.6272,0.4282
rbp,0.001,0,0,0,1.0,32,0.9174,0.9590000000000001,0.9749,0.8922,0.8009,0.6228,0.4265
rbp,0.01,0,0,0,1.0,32,0.9335,0.9658,0.982,0.9072,0.8128,0.6295,0.4292
rbp,0.1,0,0,0,1.0,32,0.9367,0.9678,0.9835,0.9113,0.8158,0.6312,0.43
dcg,0.3,0,0,0,2.0,32,0.9032,0.9459,0.9724,0.855,0.7813,0.604,0.414
dcg,0.1,0,0,0,2.0,32,0.8808,0.935,0.9648,0.8293,0.7617,0.5906,0.40700000000000003
dcg,1.0,0,0,0,2.0,32,0.9126,0.9511,0.9775,0.8669,0.7897,0.61,0.4174
rbp,0.0001,0,0,0,2.0,32,0.8718,0.9324,0.9548,0.8299,0.7591,0.5913,0.4083
ap,0.1,0,0,0,2.0,32,0.8834,0.9358,0.9651,0.8313,0.7636,0.5918,0.4077
ap,0.3,0,0,0,2.0,32,0.9007,0.9445,0.9702,0.8524,0.7795,0.6032,0.4138
ap,1.0,0,0,0,2.0,32,0.9089,0.9490000000000001,0.9757,0.8623,0.7865,0.608,0.4162
rbp,0.01,0,0,0,2.0,32,0.9139,0.9516,0.9772,0.8695,0.7912,0.6108,0.4172
rbp,0.1,0,0,0,2.0,32,0.9164,0.9529,0.9786,0.8722,0.7929999999999999,0.612,0.4181
dcg,0.1,0,0,0,5.0,32,0.8093,0.8894,0.932,0.7306,0.6968,0.5398,0.3751
dcg,0.3,0,0,0,5.0,32,0.8601,0.9167,0.9569,0.7887,0.7408,0.5711,0.3926
dcg,0.5,0,0,0,5.0,32,0.8643,0.9182,0.9594,0.7918,0.7432,0.5726,0.3936
dcg,1.0,0,0,0,5.0,32,0.8640000000000001,0.9182,0.9589,0.7921,0.7433,0.5727,0.3936
rbp,0.0001,0,0,0,5.0,32,0.7758,0.8765,0.9062,0.7133,0.6757,0.5298,0.3717
rbp,0.001,0,0,0,5.0,32,0.8545,0.9148,0.9511,0.7892,0.7404,0.5729,0.3937
rr,0.1,0,0,0,1.0,32,0.5219,0.787,0.7463,0.5705,0.4929,0.4283,0.3289
rr,0.3,0,0,0,1.0,32,0.6761,0.8385,0.8956,0.6246,0.5853,0.4693,0.3437
ap,0.1,0,0,0,5.0,32,0.8588,0.9151,0.9559,0.7848,0.7388,0.5693,0.3915
ap,0.3,0,0,0,5.0,32,0.8597,0.9152,0.9554,0.7852,0.7392,0.5696,0.3916
rr,0.5,0,0,0,1.0,32,0.6915,0.8433,0.9058,0.6302,0.5948,0.4741,0.3456
rr,1.0,0,0,0,1.0,32,0.713,0.8494,0.9179,0.6373,0.6067,0.4789,0.34700000000000003
ap,0.5,0,0,0,5.0,32,0.8603,0.9153,0.9567,0.7855,0.7397,0.5699,0.3918
ap,1.0,0,0,0,5.0,32,0.8604,0.9159,0.9577,0.7863,0.7399,0.5701,0.3919
rbp,0.01,0,0,0,5.0,32,0.8690000000000001,0.9215,0.9599,0.8005,0.7494,0.5767,0.3948
rbp,0.1,0,0,0,5.0,32,0.8193,0.8994,0.9167,0.7625,0.7135,0.5555,0.3847
rr,0.1,0,0,0,2.0,32,0.4899,0.7336,0.7817,0.4472,0.4201,0.3471,0.2713
rr,0.3,0,0,0,2.0,32,0.5536,0.7557,0.8295,0.4713,0.4611,0.3671,0.2792
rr,1.0,0,0,0,2.0,32,0.5894,0.7683,0.8488,0.4877,0.4874,0.3817,0.2852
rr,0.5,0,0,0,5.0,32,0.39799999999999996,0.6317,0.7002,0.2897,0.3134,0.2372,0.1836
rr,0.3,0,0,0,5.0,32,0.3867,0.6271,0.6884,0.2855,0.3064,0.2335,0.1817
rr,1.0,0,0,0,5.0,32,0.4116,0.6383,0.7108,0.2977,0.3253,0.2454,0.1879
rr,0.1,0,0,0,5.0,32,0.385,0.6264,0.6932,0.2838,0.3038,0.2321,0.1815
dcg,0.001,0,0,0,1.0,32,0.4998,0.7797,0.6994,0.5689,0.4868,0.43,0.3313
ndcg_5,0.001,0,0,0,1.0,32,0.5,0.7796,0.7001,0.5688,0.4866,0.4299,0.3313
