NDCG@5,NDCG,AP,RR,RBP_80,RBP_90,RBP_95
0.8539,0.9608,0.8833,1.0,0.669,0.4387,0.2552
1.0,0.9872,0.9479,1.0,0.9354,0.7629,0.5212
1.0,0.9741,0.9096,1.0,0.8477,0.6427,0.4138
1.0,0.9741,0.9101,1.0,0.9036,0.7726,0.5538
1.0,0.9457,0.8188,1.0,0.7695,0.5614,0.363
1.0,1.0,1.0,1.0,0.8926,0.6513,0.4013
1.0,1.0,1.0,1.0,0.9313,0.7176,0.4596
1.0,0.9931,0.9762,1.0,0.7247,0.4627,0.263
1.0,0.9958,0.9792,1.0,0.9958,0.9412,0.7627
1.0,1.0,1.0,1.0,0.7379,0.4686,0.2649
0.786,0.8881,0.7544,1.0,0.5459,0.3626,0.2119
1.0,0.9895,0.9523,1.0,0.9883,0.9475,0.8122
1.0,0.9993,0.9966,1.0,0.9947,0.9184,0.7064
1.0,1.0,1.0,1.0,0.7903,0.5217,0.3017
1.0,0.9959,0.9833,1.0,0.883,0.644,0.3982
1.0,0.9931,0.9762,1.0,0.7247,0.4627,0.263
0.8304,0.9452,0.8593,1.0,0.7525,0.5621,0.3529
1.0,0.9833,0.9444,1.0,0.7059,0.4526,0.2594
1.0,1.0,1.0,1.0,0.7379,0.4686,0.2649
1.0,0.9819,0.9263,1.0,0.9499,0.7726,0.5306
0.7227,0.9353,0.8135,1.0,0.6231,0.4146,0.2465
1.0,0.9995,0.9976,1.0,0.9879,0.8771,0.6406
1.0,0.9918,0.9667,1.0,0.9563,0.7759,0.5236
1.0,0.9931,0.9762,1.0,0.7247,0.4627,0.263
1.0,0.9866,0.9484,1.0,0.8896,0.6596,0.4176
1.0,0.9988,0.9945,1.0,0.9423,0.743,0.4853
1.0,1.0,1.0,1.0,0.6723,0.4095,0.2262
0.5531,0.8753,0.6968,1.0,0.4879,0.334,0.2023
1.0,0.9926,0.9685,1.0,0.9535,0.7763,0.526
0.8688,0.9572,0.8553,1.0,0.8435,0.6646,0.4488
1.0,0.9918,0.9705,1.0,0.8134,0.5594,0.333
1.0,0.9762,0.9105,1.0,0.8979,0.7185,0.4873
0.7227,0.9229,0.7889,1.0,0.5484,0.3528,0.2073
0.8688,0.9757,0.9268,1.0,0.8899,0.7491,0.5191
1.0,1.0,1.0,1.0,0.956,0.7712,0.5123
0.8688,0.9818,0.9429,1.0,0.6428,0.397,0.2222
1.0,0.9183,0.7263,1.0,0.7968,0.6881,0.564
1.0,0.9878,0.9571,1.0,0.7647,0.5073,0.2964
1.0,1.0,1.0,1.0,0.956,0.7712,0.5123
0.8304,0.9442,0.8556,1.0,0.6518,0.4354,0.2547
1.0,0.9838,0.9344,1.0,0.9334,0.7557,0.5154
1.0,1.0,1.0,1.0,0.8322,0.5695,0.3366
0.8539,0.9747,0.9267,1.0,0.6355,0.3957,0.222
1.0,0.9942,0.9727,1.0,0.9879,0.8862,0.6638
1.0,0.9912,0.9601,1.0,0.9868,0.8895,0.6732
1.0,0.989,0.9546,1.0,0.9323,0.7454,0.4994
1.0,1.0,1.0,1.0,0.7903,0.5217,0.3017
1.0,1.0,1.0,1.0,0.6723,0.4095,0.2262
1.0,0.9743,0.9137,1.0,0.7385,0.4909,0.29
1.0,0.9712,0.8842,1.0,0.9328,0.7616,0.536
1.0,0.9698,0.862,1.0,0.9965,0.9414,0.7803
1.0,0.9916,0.9661,1.0,0.9708,0.8656,0.6457
1.0,0.9911,0.9683,1.0,0.7714,0.5116,0.2981
1.0,0.991,0.9646,1.0,0.8971,0.668,0.4222
1.0,1.0,1.0,1.0,0.6723,0.4095,0.2262
1.0,0.9923,0.9613,1.0,0.9986,0.9702,0.8416
0.1696,0.6203,0.4233,0.3333,0.3235,0.3064,0.2137
0.7227,0.9505,0.8583,1.0,0.5955,0.3779,0.2162
0.5531,0.8237,0.5715,1.0,0.4745,0.3751,0.2644
0.3156,0.6595,0.4841,0.3333,0.3924,0.3362,0.2234
1.0,0.9877,0.9583,1.0,0.7143,0.4573,0.2611
1.0,1.0,1.0,1.0,0.7379,0.4686,0.2649
0.786,0.9321,0.8701,1.0,0.8048,0.7041,0.4892
0.786,0.8352,0.5996,1.0,0.5613,0.4471,0.3188
1.0,0.9938,0.9752,1.0,0.9292,0.7325,0.4808
1.0,0.9924,0.9676,1.0,0.9525,0.7757,0.5259
0.8688,0.9838,0.9484,1.0,0.7084,0.4561,0.2609
1.0,0.9986,0.993,1.0,0.9979,0.9494,0.7703
0.786,0.8809,0.7155,1.0,0.6502,0.4986,0.327
1.0,0.9613,0.8709,1.0,0.7495,0.5163,0.3157
1.0,0.9931,0.9762,1.0,0.7247,0.4627,0.263
1.0,0.9896,0.9627,1.0,0.8402,0.5982,0.3645
1.0,0.9865,0.9411,1.0,0.9669,0.828,0.5982
1.0,0.9793,0.9217,1.0,0.9031,0.7251,0.4914
1.0,0.9774,0.9179,1.0,0.864,0.6452,0.4124
1.0,0.9886,0.9526,1.0,0.9713,0.8771,0.6711
