NDCG@5,NDCG,AP,RR,RBP_80,RBP_90,RBP_95
0.8688,0.9784,0.9306,1.0,0.6979,0.4508,0.2591
1.0,0.9968,0.986,1.0,0.9596,0.7862,0.5322
0.8304,0.9443,0.8536,1.0,0.7852,0.6207,0.4074
1.0,0.9823,0.9326,1.0,0.931,0.7885,0.56
1.0,0.962,0.8667,1.0,0.8089,0.5859,0.3726
1.0,1.0,1.0,1.0,0.8926,0.6513,0.4013
1.0,0.9985,0.9936,1.0,0.9278,0.7144,0.4582
1.0,0.9931,0.9762,1.0,0.7247,0.4627,0.263
1.0,0.9976,0.9884,1.0,0.9969,0.9462,0.7678
1.0,1.0,1.0,1.0,0.7379,0.4686,0.2649
0.6548,0.8777,0.7278,1.0,0.5295,0.356,0.2099
1.0,0.992,0.9604,1.0,0.9974,0.9608,0.8184
1.0,0.9993,0.9966,1.0,0.9947,0.9184,0.7064
1.0,1.0,1.0,1.0,0.7903,0.5217,0.3017
1.0,1.0,1.0,1.0,0.8926,0.6513,0.4013
1.0,0.974,0.9167,1.0,0.6895,0.4409,0.2547
0.8304,0.948,0.8692,1.0,0.7593,0.5664,0.3546
1.0,0.9833,0.9444,1.0,0.7059,0.4526,0.2594
1.0,0.9931,0.9762,1.0,0.7247,0.4627,0.263
1.0,0.9783,0.9132,1.0,0.9467,0.7637,0.5244
1.0,0.974,0.9167,1.0,0.6895,0.4409,0.2547
1.0,1.0,1.0,1.0,0.9885,0.8784,0.6415
1.0,0.9918,0.9667,1.0,0.9563,0.7759,0.5236
0.8688,0.9784,0.9306,1.0,0.6979,0.4508,0.2591
1.0,0.9887,0.9567,1.0,0.8949,0.6635,0.4192
1.0,0.9988,0.9945,1.0,0.9423,0.743,0.4853
1.0,1.0,1.0,1.0,0.6723,0.4095,0.2262
0.5087,0.8268,0.619,1.0,0.4492,0.3207,0.1983
1.0,0.9946,0.9768,1.0,0.9575,0.7811,0.5285
1.0,0.973,0.8964,1.0,0.8913,0.6865,0.4561
1.0,0.986,0.9526,1.0,0.8002,0.5535,0.3311
0.8539,0.9548,0.8609,1.0,0.8365,0.6908,0.478
0.7227,0.9338,0.8143,1.0,0.5673,0.3629,0.2109
0.8539,0.9683,0.9135,1.0,0.8695,0.7418,0.517
1.0,0.9926,0.9689,1.0,0.9441,0.7539,0.5023
0.8688,0.9896,0.9667,1.0,0.6559,0.4029,0.2242
0.8688,0.9321,0.7603,1.0,0.8522,0.7429,0.5852
1.0,0.9911,0.9683,1.0,0.7714,0.5116,0.2981
1.0,0.9948,0.9787,1.0,0.9433,0.7592,0.5068
0.786,0.9099,0.8179,1.0,0.6303,0.4317,0.2542
1.0,0.9866,0.9453,1.0,0.9421,0.7628,0.5181
1.0,0.9933,0.975,1.0,0.8171,0.5604,0.3332
0.8539,0.9747,0.9267,1.0,0.6355,0.3957,0.222
1.0,0.997,0.9855,1.0,0.99,0.8934,0.6699
1.0,0.9862,0.9391,1.0,0.98,0.8759,0.663
1.0,0.9908,0.9615,1.0,0.9375,0.7495,0.5011
1.0,1.0,1.0,1.0,0.7903,0.5217,0.3017
1.0,1.0,1.0,1.0,0.6723,0.4095,0.2262
1.0,0.9621,0.8769,1.0,0.7129,0.4765,0.2847
1.0,0.9722,0.8879,1.0,0.9404,0.7646,0.5357
1.0,0.9686,0.8567,1.0,0.9954,0.936,0.7756
1.0,0.9988,0.994,1.0,0.9897,0.8873,0.6569
1.0,0.9827,0.9405,1.0,0.755,0.4999,0.2933
1.0,0.988,0.9535,1.0,0.8909,0.6625,0.4195
0.8539,0.967,0.9029,1.0,0.6223,0.3898,0.2201
1.0,0.9941,0.9697,1.0,0.9994,0.9751,0.8475
0.4913,0.7153,0.5444,0.5,0.4539,0.3577,0.2297
0.7227,0.9566,0.8762,1.0,0.606,0.3832,0.2181
0.5531,0.8256,0.5755,1.0,0.4779,0.3783,0.2658
0.3156,0.6595,0.4841,0.3333,0.3924,0.3362,0.2234
1.0,0.9877,0.9583,1.0,0.7143,0.4573,0.2611
1.0,1.0,1.0,1.0,0.7379,0.4686,0.2649
0.786,0.9321,0.8701,1.0,0.8048,0.7041,0.4892
0.7227,0.8808,0.6632,1.0,0.6206,0.4747,0.3289
1.0,0.9892,0.9577,1.0,0.9175,0.7228,0.4765
1.0,0.9931,0.9705,1.0,0.9539,0.7773,0.5269
1.0,1.0,1.0,1.0,0.7379,0.4686,0.2649
1.0,0.9984,0.9918,1.0,0.9978,0.9489,0.7697
0.786,0.8882,0.7412,1.0,0.662,0.5147,0.335
1.0,0.9729,0.9065,1.0,0.7731,0.5317,0.3219
1.0,0.9833,0.9444,1.0,0.7059,0.4526,0.2594
1.0,1.0,1.0,1.0,0.8658,0.6126,0.3698
1.0,0.99,0.9556,1.0,0.9713,0.8373,0.6047
1.0,0.9826,0.93,1.0,0.9183,0.7306,0.492
1.0,0.9887,0.9567,1.0,0.8949,0.6635,0.4192
1.0,0.9848,0.9398,1.0,0.9593,0.8671,0.6655
1.0,0.9679,0.8789,1.0,0.8883,0.6753,0.4478
0.8688,0.9547,0.8474,1.0,0.8268,0.636,0.4222
0.8688,0.9638,0.8821,1.0,0.7524,0.5262,0.3209
1.0,1.0,1.0,1.0,0.6723,0.4095,0.2262
1.0,0.9719,0.8968,1.0,0.8572,0.632,0.4051
1.0,0.9947,0.9728,1.0,0.9991,0.9818,0.8834
1.0,1.0,1.0,1.0,0.9775,0.8332,0.5819
0.7227,0.9505,0.8583,1.0,0.5955,0.3779,0.2162
0.8304,0.9472,0.8656,1.0,0.7764,0.5978,0.383
1.0,1.0,1.0,1.0,0.8926,0.6513,0.4013
1.0,0.965,0.8826,1.0,0.7566,0.5233,0.3187
1.0,0.9801,0.9343,1.0,0.9049,0.7536,0.52
1.0,0.997,0.9861,1.0,0.9787,0.8421,0.5972
1.0,0.9892,0.9583,1.0,0.9153,0.6951,0.4466
0.8539,0.9655,0.8991,1.0,0.8818,0.8123,0.6228
1.0,0.9688,0.8659,1.0,0.9615,0.9086,0.7934
1.0,1.0,1.0,1.0,0.7903,0.5217,0.3017
1.0,0.9944,0.9735,1.0,0.9911,0.9124,0.7094
0.8688,0.9896,0.9667,1.0,0.6559,0.4029,0.2242
0.8539,0.9705,0.9151,1.0,0.6879,0.4488,0.2588
1.0,0.9948,0.9798,1.0,0.8537,0.6044,0.3665
1.0,0.9905,0.9579,1.0,0.968,0.8243,0.5865
0.8688,0.9318,0.7905,1.0,0.6847,0.4821,0.3034
0.6992,0.9331,0.8262,1.0,0.5804,0.3751,0.2158
1.0,0.9758,0.8784,1.0,0.9988,0.9821,0.9132
1.0,0.9931,0.9696,1.0,0.9692,0.8309,0.5918
0.8304,0.9187,0.7792,1.0,0.669,0.4909,0.3094
0.8539,0.9483,0.8362,1.0,0.8334,0.6768,0.4669
0.8688,0.9594,0.8613,1.0,0.8687,0.7259,0.5163
0.6164,0.8128,0.5774,1.0,0.5158,0.4458,0.3221
0.8539,0.9705,0.9151,1.0,0.6879,0.4488,0.2588
1.0,0.9402,0.8119,1.0,0.7059,0.486,0.3033
0.8688,0.9604,0.8766,1.0,0.6643,0.4319,0.2522
0.6548,0.8686,0.692,1.0,0.6045,0.4603,0.298
0.8304,0.9422,0.8467,1.0,0.7879,0.6161,0.4031
0.6608,0.7817,0.71,0.5,0.5379,0.3686,0.2149
1.0,0.9444,0.8103,1.0,0.801,0.611,0.4109
1.0,1.0,1.0,1.0,0.7379,0.4686,0.2649
1.0,0.9827,0.9369,1.0,0.8705,0.6559,0.4188
1.0,0.9821,0.9375,1.0,0.7973,0.5423,0.3248
0.786,0.8969,0.7724,1.0,0.6413,0.4571,0.2798
1.0,0.987,0.9537,1.0,0.9507,0.8537,0.6415
1.0,0.9951,0.9821,1.0,0.7798,0.5164,0.2998
0.8304,0.9496,0.8734,1.0,0.6623,0.4407,0.2565
1.0,0.9775,0.9168,1.0,0.922,0.7797,0.5537
0.6992,0.8842,0.6943,1.0,0.5726,0.4144,0.2641
1.0,1.0,1.0,1.0,0.7903,0.5217,0.3017
1.0,0.9753,0.9086,1.0,0.8822,0.6941,0.4637
0.6548,0.8326,0.605,1.0,0.5376,0.4361,0.3037
1.0,0.9881,0.9543,1.0,0.8846,0.664,0.422
1.0,0.9871,0.9468,1.0,0.9478,0.7638,0.5171
1.0,0.9853,0.9421,1.0,0.8976,0.6868,0.4456
1.0,0.9819,0.9272,1.0,0.9199,0.7287,0.4902
1.0,0.9924,0.9647,1.0,0.9948,0.9204,0.7177
1.0,1.0,1.0,1.0,0.9648,0.7941,0.5367
1.0,0.9819,0.9283,1.0,0.9101,0.7053,0.4657
1.0,1.0,1.0,1.0,0.7379,0.4686,0.2649
1.0,1.0,1.0,1.0,0.8658,0.6126,0.3698
1.0,0.9961,0.9789,1.0,1.0,0.9969,0.9494
1.0,1.0,1.0,1.0,0.7903,0.5217,0.3017
1.0,0.9731,0.9082,1.0,0.7755,0.5334,0.3223
1.0,1.0,1.0,1.0,0.956,0.7712,0.5123
0.8539,0.9667,0.906,1.0,0.7902,0.5784,0.3584
1.0,0.9847,0.943,1.0,0.9558,0.9035,0.7433
0.8688,0.9588,0.8671,1.0,0.7693,0.558,0.3495
0.8539,0.9609,0.885,1.0,0.6119,0.3844,0.2183
1.0,0.9775,0.9029,1.0,0.9693,0.9095,0.7649
1.0,0.9797,0.9157,1.0,0.9617,0.8567,0.6525
0.8539,0.9373,0.81,1.0,0.7244,0.5329,0.3398
1.0,0.9856,0.9456,1.0,0.8636,0.625,0.389
1.0,0.9806,0.9341,1.0,0.7516,0.4968,0.2919
1.0,1.0,1.0,1.0,0.7903,0.5217,0.3017
1.0,1.0,1.0,1.0,0.9313,0.7176,0.4596
1.0,0.9754,0.9144,1.0,0.7784,0.5355,0.3234
1.0,0.9856,0.9477,1.0,0.8379,0.5881,0.3586
0.8304,0.9493,0.8736,1.0,0.7042,0.4885,0.2915
1.0,1.0,1.0,1.0,0.8322,0.5695,0.3366
1.0,0.9859,0.9367,1.0,0.9809,0.8808,0.6763
1.0,0.9877,0.9583,1.0,0.7143,0.4573,0.2611
1.0,0.968,0.8845,1.0,0.8397,0.6273,0.4053
1.0,1.0,1.0,1.0,0.6723,0.4095,0.2262
0.6608,0.7983,0.7345,0.5,0.5903,0.4217,0.2517
1.0,0.9878,0.9471,1.0,0.9723,0.8648,0.6527
0.8688,0.9469,0.823,1.0,0.8221,0.6645,0.4627
1.0,0.9613,0.8709,1.0,0.7495,0.5163,0.3157
1.0,0.9982,0.9917,1.0,0.9868,0.8738,0.638
1.0,1.0,1.0,1.0,0.7903,0.5217,0.3017
1.0,1.0,1.0,1.0,0.6723,0.4095,0.2262
1.0,0.9972,0.9889,1.0,0.8591,0.6083,0.3681
0.7227,0.9416,0.8333,1.0,0.5804,0.3688,0.2128
1.0,0.9881,0.9543,1.0,0.8846,0.664,0.422
1.0,0.9551,0.8571,1.0,0.7005,0.4663,0.2803
1.0,0.9995,0.9976,1.0,0.9879,0.8771,0.6406
1.0,1.0,1.0,1.0,0.9313,0.7176,0.4596
1.0,0.9754,0.9042,1.0,0.9302,0.7881,0.5665
1.0,0.9877,0.9495,1.0,0.9313,0.742,0.4973
1.0,0.9806,0.922,1.0,0.9596,0.8893,0.7298
1.0,0.986,0.9526,1.0,0.8002,0.5535,0.3311
1.0,1.0,1.0,1.0,0.6723,0.4095,0.2262
0.8304,0.9236,0.794,1.0,0.6139,0.413,0.2463
1.0,1.0,1.0,1.0,0.9141,0.6862,0.4312
1.0,0.9782,0.9139,1.0,0.922,0.7432,0.5083
1.0,0.9972,0.9889,1.0,0.8591,0.6083,0.3681
1.0,0.9739,0.9123,1.0,0.7357,0.4922,0.2911
1.0,1.0,1.0,1.0,0.7903,0.5217,0.3017
1.0,0.9882,0.9475,1.0,0.9805,0.8616,0.6349
