NDCG@5,NDCG,AP,RR,RBP_80,RBP_90,RBP_95
0.8688,0.9784,0.9306,1.0,0.6979,0.4508,0.2591
1.0,0.9963,0.9838,1.0,0.9577,0.7849,0.5318
0.8304,0.9443,0.8536,1.0,0.7852,0.6207,0.4074
1.0,0.9871,0.9494,1.0,0.9448,0.8002,0.5654
1.0,0.9645,0.8747,1.0,0.8129,0.5908,0.3751
1.0,1.0,1.0,1.0,0.8926,0.6513,0.4013
1.0,0.9985,0.9936,1.0,0.9278,0.7144,0.4582
0.8539,0.9705,0.9151,1.0,0.6879,0.4488,0.2588
1.0,0.995,0.9762,1.0,0.9938,0.9378,0.7609
1.0,1.0,1.0,1.0,0.7379,0.4686,0.2649
0.6548,0.8659,0.6976,1.0,0.5097,0.3458,0.2063
1.0,0.9885,0.9456,1.0,0.9932,0.9489,0.8082
1.0,0.9993,0.9966,1.0,0.9947,0.9184,0.7064
1.0,1.0,1.0,1.0,0.7903,0.5217,0.3017
1.0,0.9959,0.9833,1.0,0.883,0.644,0.3982
1.0,0.974,0.9167,1.0,0.6895,0.4409,0.2547
0.8304,0.9504,0.8783,1.0,0.7646,0.5703,0.3561
1.0,0.9833,0.9444,1.0,0.7059,0.4526,0.2594
1.0,1.0,1.0,1.0,0.7379,0.4686,0.2649
1.0,0.9769,0.9083,1.0,0.9461,0.7611,0.5218
1.0,0.974,0.9167,1.0,0.6895,0.4409,0.2547
1.0,1.0,1.0,1.0,0.9885,0.8784,0.6415
1.0,0.9918,0.9667,1.0,0.9563,0.7759,0.5236
1.0,0.9877,0.9583,1.0,0.7143,0.4573,0.2611
1.0,0.9887,0.9567,1.0,0.8949,0.6635,0.4192
1.0,1.0,1.0,1.0,0.945,0.7458,0.4867
1.0,1.0,1.0,1.0,0.6723,0.4095,0.2262
0.5087,0.8297,0.6222,1.0,0.4539,0.3218,0.1985
1.0,0.9951,0.9788,1.0,0.9579,0.7822,0.5294
1.0,0.9658,0.8722,1.0,0.8727,0.6725,0.4497
