NDCG@5,NDCG,AP,RR,RBP_80,RBP_90,RBP_95
0.6164,0.827,0.6278,1.0,0.4939,0.3677,0.2322
1.0,0.9972,0.9877,1.0,0.9595,0.7872,0.533
1.0,0.9655,0.8791,1.0,0.8364,0.625,0.4037
1.0,0.981,0.921,1.0,0.9486,0.7858,0.5513
0.8539,0.94,0.8216,1.0,0.7507,0.5709,0.3705
1.0,0.9978,0.9909,1.0,0.8873,0.6474,0.3997
1.0,0.9803,0.924,1.0,0.8912,0.677,0.4394
0.6164,0.8497,0.6913,1.0,0.5358,0.3937,0.2422
1.0,0.9963,0.9825,1.0,0.995,0.9417,0.7644
1.0,0.9931,0.9762,1.0,0.7247,0.4627,0.263
0.5296,0.7407,0.5976,0.5,0.4697,0.3358,0.2038
1.0,0.9982,0.9905,1.0,0.9993,0.9736,0.8366
1.0,1.0,1.0,1.0,0.9953,0.9202,0.708
1.0,1.0,1.0,1.0,0.7903,0.5217,0.3017
1.0,0.9978,0.9909,1.0,0.8873,0.6474,0.3997
1.0,1.0,1.0,1.0,0.7379,0.4686,0.2649
0.786,0.8994,0.7787,1.0,0.6843,0.5337,0.3435
0.8539,0.9391,0.8208,1.0,0.629,0.4158,0.2467
1.0,1.0,1.0,1.0,0.7379,0.4686,0.2649
1.0,0.9896,0.9557,1.0,0.9539,0.7884,0.5446
0.8688,0.9715,0.9107,1.0,0.6848,0.4449,0.2572
1.0,1.0,1.0,1.0,0.9885,0.8784,0.6415
1.0,0.9951,0.9788,1.0,0.9579,0.7822,0.5294
0.8688,0.9704,0.9056,1.0,0.6828,0.4417,0.2557
1.0,0.988,0.9545,1.0,0.8945,0.6623,0.4183
1.0,1.0,1.0,1.0,0.945,0.7458,0.4867
1.0,1.0,1.0,1.0,0.6723,0.4095,0.2262
0.8688,0.9668,0.9,1.0,0.6172,0.3826,0.217
1.0,0.9895,0.9574,1.0,0.9409,0.7689,0.5241
1.0,0.9612,0.8563,1.0,0.8704,0.6617,0.442
1.0,1.0,1.0,1.0,0.8322,0.5695,0.3366
1.0,0.9949,0.9779,1.0,0.9457,0.759,0.506
0.8539,0.952,0.86,1.0,0.5968,0.3754,0.2149
0.6608,0.8529,0.7808,0.5,0.7216,0.6745,0.4918
1.0,0.9882,0.9522,1.0,0.9389,0.7446,0.496
0.4704,0.7913,0.5689,1.0,0.4079,0.3064,0.1941
1.0,0.966,0.8596,1.0,0.9677,0.8433,0.6323
1.0,0.9911,0.9683,1.0,0.7714,0.5116,0.2981
1.0,0.9811,0.938,1.0,0.8993,0.7351,0.498
0.786,0.9099,0.8179,1.0,0.6303,0.4317,0.2542
0.8688,0.9728,0.9143,1.0,0.8858,0.742,0.5149
1.0,1.0,1.0,1.0,0.8322,0.5695,0.3366
0.8688,0.9818,0.9429,1.0,0.6428,0.397,0.2222
1.0,0.9908,0.9591,1.0,0.9881,0.8817,0.6561
1.0,0.9893,0.9514,1.0,0.9872,0.8862,0.6685
0.8688,0.9718,0.9099,1.0,0.8758,0.7193,0.4911
1.0,0.9951,0.9821,1.0,0.7798,0.5164,0.2998
1.0,1.0,1.0,1.0,0.6723,0.4095,0.2262
1.0,0.985,0.9481,1.0,0.7593,0.5034,0.2948
1.0,0.978,0.9101,1.0,0.9369,0.7762,0.5486
1.0,0.9514,0.791,1.0,0.987,0.9008,0.7276
1.0,0.9651,0.8695,1.0,0.9077,0.7929,0.6032
1.0,0.9743,0.9137,1.0,0.7385,0.4909,0.29
0.8304,0.9431,0.8494,1.0,0.7835,0.6184,0.4062
0.6844,0.8954,0.7343,1.0,0.5212,0.3475,0.2065
1.0,0.9891,0.947,1.0,0.998,0.9668,0.8343
0.3008,0.6391,0.4539,0.3333,0.3573,0.3223,0.2192
0.6992,0.8994,0.7389,1.0,0.5228,0.3447,0.2051
0.7227,0.8893,0.6903,1.0,0.6008,0.4361,0.2858
0.3008,0.6402,0.4605,0.3333,0.3593,0.3255,0.2206
0.8688,0.9635,0.8857,1.0,0.6697,0.4358,0.2538
1.0,1.0,1.0,1.0,0.7379,0.4686,0.2649
0.8688,0.9446,0.8186,1.0,0.8128,0.6613,0.4621
0.5148,0.7524,0.5529,0.5,0.5186,0.449,0.3228
1.0,0.9895,0.9586,1.0,0.9185,0.7234,0.4767
1.0,0.9924,0.9699,1.0,0.945,0.776,0.5284
