NDCG@5,NDCG,AP,RR,RBP_80,RBP_90,RBP_95
0.8539,0.9705,0.9151,1.0,0.6879,0.4488,0.2588
1.0,0.9903,0.9592,1.0,0.9445,0.7701,0.5243
1.0,0.9864,0.9473,1.0,0.885,0.6598,0.4189
0.8688,0.9607,0.8657,1.0,0.8753,0.7447,0.5375
0.6844,0.8855,0.6957,1.0,0.6438,0.5067,0.344
1.0,0.9951,0.9809,1.0,0.8805,0.6431,0.398
1.0,0.9602,0.8599,1.0,0.8373,0.6419,0.4254
1.0,1.0,1.0,1.0,0.7379,0.4686,0.2649
1.0,0.995,0.9758,1.0,0.9945,0.9384,0.7608
1.0,1.0,1.0,1.0,0.7379,0.4686,0.2649
0.6608,0.7817,0.71,0.5,0.5379,0.3686,0.2149
1.0,0.9874,0.945,1.0,0.9822,0.9415,0.8078
1.0,0.9966,0.9843,1.0,0.9906,0.9097,0.7006
1.0,1.0,1.0,1.0,0.7903,0.5217,0.3017
1.0,0.9978,0.9909,1.0,0.8873,0.6474,0.3997
0.8688,0.9635,0.8857,1.0,0.6697,0.4358,0.2538
0.786,0.9077,0.798,1.0,0.7079,0.5412,0.345
1.0,0.974,0.9167,1.0,0.6895,0.4409,0.2547
0.8688,0.9578,0.869,1.0,0.66,0.4284,0.2507
1.0,0.9861,0.9418,1.0,0.952,0.781,0.5383
1.0,0.9833,0.9444,1.0,0.7059,0.4526,0.2594
1.0,1.0,1.0,1.0,0.9885,0.8784,0.6415
1.0,0.9925,0.969,1.0,0.9565,0.777,0.5248
1.0,1.0,1.0,1.0,0.7379,0.4686,0.2649
1.0,0.9982,0.9924,1.0,0.9098,0.6827,0.4297
1.0,0.9988,0.9945,1.0,0.9423,0.743,0.4853
1.0,1.0,1.0,1.0,0.6723,0.4095,0.2262
0.5531,0.8753,0.6968,1.0,0.4879,0.334,0.2023
1.0,1.0,1.0,1.0,0.9648,0.7941,0.5367
0.8539,0.9371,0.8109,1.0,0.7807,0.6389,0.4418
1.0,0.9888,0.9594,1.0,0.8066,0.5551,0.3313
1.0,0.9874,0.949,1.0,0.9307,0.7423,0.497
0.7227,0.9278,0.8,1.0,0.5568,0.3576,0.2091
0.6608,0.8676,0.8264,0.5,0.7671,0.7063,0.5046
1.0,0.9977,0.9901,1.0,0.9511,0.7659,0.5097
0.8688,0.9758,0.925,1.0,0.6323,0.3917,0.2204
1.0,0.9402,0.769,1.0,0.9201,0.7619,0.5797
