NDCG@5,NDCG,AP,RR,RBP_80,RBP_90,RBP_95
0.1696,0.5259,0.2416,0.3333,0.1975,0.1892,0.1538
0.0,0.473,0.1418,0.1,0.0319,0.0682,0.1034
0.3601,0.6225,0.2971,0.5,0.3061,0.2704,0.2233
0.5531,0.6742,0.2605,1.0,0.383,0.2477,0.1819
0.3392,0.6217,0.2533,1.0,0.2219,0.1671,0.1528
0.0,0.426,0.1348,0.05,0.0048,0.0389,0.0896
0.5087,0.6748,0.2935,1.0,0.347,0.234,0.1843
0.1461,0.4833,0.2038,0.25,0.1351,0.1549,0.1409
0.5296,0.7155,0.3359,0.5,0.5741,0.4708,0.3448
0.1696,0.5149,0.2313,0.3333,0.1755,0.1767,0.15
0.1461,0.4727,0.2053,0.25,0.1321,0.1495,0.13
0.6992,0.6936,0.2371,1.0,0.4736,0.3137,0.2373
0.8539,0.7693,0.3693,1.0,0.5995,0.4192,0.3134
0.0,0.4535,0.1831,0.1111,0.0577,0.122,0.1389
0.7227,0.8156,0.5126,1.0,0.5463,0.3736,0.2581
0.3392,0.6526,0.3211,1.0,0.2402,0.1819,0.1428
0.214,0.5155,0.1847,0.5,0.1639,0.1236,0.1232
0.3392,0.6835,0.3647,1.0,0.2742,0.2193,0.165
0.3392,0.627,0.2919,1.0,0.2129,0.1474,0.1235
0.5531,0.6926,0.286,1.0,0.4294,0.2726,0.1926
0.3392,0.6228,0.2866,1.0,0.2093,0.1427,0.1202
0.8304,0.7963,0.4349,1.0,0.6714,0.5001,0.3466
0.7227,0.7305,0.3435,1.0,0.4914,0.2988,0.2121
0.1696,0.5074,0.2195,0.3333,0.1702,0.1697,0.1438
0.5531,0.7255,0.3628,1.0,0.3942,0.2728,0.2108
0.6844,0.7481,0.3805,1.0,0.5172,0.3597,0.2376
0.0,0.3891,0.1362,0.0714,0.0236,0.074,0.0946
0.3836,0.6468,0.4026,0.5,0.3317,0.2493,0.1687
0.3392,0.5868,0.1917,1.0,0.2048,0.1277,0.1136
0.3392,0.6663,0.2832,1.0,0.3349,0.2699,0.2061
0.5148,0.666,0.3847,0.5,0.4103,0.3087,0.2136
0.214,0.5462,0.1816,0.5,0.1902,0.1634,0.148
0.0,0.3884,0.1379,0.0714,0.021,0.0725,0.0947
0.1696,0.6231,0.3098,0.3333,0.2797,0.3116,0.2726
0.214,0.5738,0.216,0.5,0.2194,0.1941,0.1789
0.0,0.4559,0.2021,0.1429,0.1073,0.147,0.131
0.5087,0.6707,0.2496,1.0,0.3436,0.246,0.2089
0.3392,0.6118,0.2648,1.0,0.2063,0.1382,0.1219
0.0,0.4856,0.1636,0.0833,0.0335,0.0886,0.1319
0.1312,0.4833,0.2035,0.2,0.1617,0.1637,0.1361
0.5531,0.6992,0.3025,1.0,0.3894,0.2672,0.2085
0.1312,0.457,0.1529,0.2,0.0995,0.1166,0.1196
0.6992,0.8657,0.6633,1.0,0.4896,0.3064,0.1832
0.3392,0.6079,0.1905,1.0,0.2218,0.1578,0.139
0.214,0.5906,0.1985,0.5,0.2094,0.2068,0.1973
0.5296,0.6287,0.27,0.5,0.3976,0.2714,0.1947
0.1696,0.5894,0.3329,0.3333,0.2846,0.2714,0.203
0.5087,0.7764,0.5115,1.0,0.3782,0.2656,0.1736
0.0,0.4603,0.174,0.1429,0.0987,0.1377,0.134
0.3392,0.6602,0.2708,1.0,0.2702,0.2486,0.2258
0.3836,0.6231,0.1892,0.5,0.2962,0.2191,0.1906
0.1696,0.5962,0.2263,0.3333,0.2387,0.259,0.2289
0.1461,0.4764,0.1834,0.25,0.1202,0.1385,0.1361
0.7227,0.8433,0.5647,1.0,0.6452,0.4483,0.2905
0.1461,0.4852,0.2161,0.25,0.1576,0.1632,0.1335
0.8539,0.7887,0.3726,1.0,0.7102,0.5257,0.3943
