loss_type: ndcg_5, lr: 0.001, frac: 1.0, th: 0, emb_size: 32, fold: 1, NDCG = 0.7775, AP = 0.5661, RR = 0.694, RBP_80 = 0.4846, RBP_90 = 0.4288, RBP_95 = 0.3308, 
loss_type: ndcg_5, lr: 0.01, frac: 1.0, th: 0, emb_size: 32, fold: 1, NDCG = 0.7961, AP = 0.5858, RR = 0.7572, RBP_80 = 0.5141, RBP_90 = 0.4424, RBP_95 = 0.3361, 
loss_type: ndcg_5, lr: 0.1, frac: 1.0, th: 0, emb_size: 32, fold: 1, NDCG = 0.9607, AP = 0.8912, RR = 0.9818, RBP_80 = 0.8022, RBP_90 = 0.6214, RBP_95 = 0.4249, 
loss_type: ndcg_5, lr: 1.0, frac: 1.0, th: 0, emb_size: 32, fold: 1, NDCG = 0.9675, AP = 0.9092, RR = 0.9851, RBP_80 = 0.8154, RBP_90 = 0.6307, RBP_95 = 0.4298, 
loss_type: ndcg_5, lr: 3.0, frac: 1.0, th: 0, emb_size: 32, fold: 1, NDCG = 0.9681, AP = 0.9101, RR = 0.9859, RBP_80 = 0.8163, RBP_90 = 0.6311, RBP_95 = 0.4299, 
loss_type: ndcg_5, lr: 10.0, frac: 1.0, th: 0, emb_size: 32, fold: 1, NDCG = 0.9682, AP = 0.9099, RR = 0.9871, RBP_80 = 0.8162, RBP_90 = 0.6308, RBP_95 = 0.4296, 
loss_type: dcg, lr: 0.001, frac: 1.0, th: 0, emb_size: 32, fold: 1, NDCG = 0.7775, AP = 0.5661, RR = 0.6939, RBP_80 = 0.4846, RBP_90 = 0.4288, RBP_95 = 0.3308, 
loss_type: dcg, lr: 0.01, frac: 1.0, th: 0, emb_size: 32, fold: 1, NDCG = 0.7961, AP = 0.5858, RR = 0.7572, RBP_80 = 0.5141, RBP_90 = 0.4424, RBP_95 = 0.3361, 
loss_type: dcg, lr: 0.1, frac: 1.0, th: 0, emb_size: 32, fold: 1, NDCG = 0.9607, AP = 0.8912, RR = 0.9819, RBP_80 = 0.8022, RBP_90 = 0.6214, RBP_95 = 0.4249, 
loss_type: dcg, lr: 1.0, frac: 1.0, th: 0, emb_size: 32, fold: 1, NDCG = 0.9675, AP = 0.9092, RR = 0.9851, RBP_80 = 0.8154, RBP_90 = 0.6307, RBP_95 = 0.4298, 
loss_type: dcg, lr: 3.0, frac: 1.0, th: 0, emb_size: 32, fold: 1, NDCG = 0.9682, AP = 0.91, RR = 0.9861, RBP_80 = 0.8165, RBP_90 = 0.631, RBP_95 = 0.4297, 
loss_type: dcg, lr: 10.0, frac: 1.0, th: 0, emb_size: 32, fold: 1, NDCG = 0.9682, AP = 0.9099, RR = 0.9871, RBP_80 = 0.8162, RBP_90 = 0.6308, RBP_95 = 0.4296, 
loss_type: ap, lr: 0.001, frac: 1.0, th: 0, emb_size: 32, fold: 1, NDCG = 0.7778, AP = 0.5665, RR = 0.6925, RBP_80 = 0.4858, RBP_90 = 0.4296, RBP_95 = 0.3312, 
loss_type: ap, lr: 0.01, frac: 1.0, th: 0, emb_size: 32, fold: 1, NDCG = 0.9507, AP = 0.8744, RR = 0.9667, RBP_80 = 0.7873, RBP_90 = 0.6145, RBP_95 = 0.4225, 
loss_type: ap, lr: 0.1, frac: 1.0, th: 0, emb_size: 32, fold: 1, NDCG = 0.9602, AP = 0.8909, RR = 0.9807, RBP_80 = 0.8017, RBP_90 = 0.6216, RBP_95 = 0.4251, 
loss_type: ap, lr: 1.0, frac: 1.0, th: 0, emb_size: 32, fold: 1, NDCG = 0.9656, AP = 0.9041, RR = 0.9837, RBP_80 = 0.8117, RBP_90 = 0.6282, RBP_95 = 0.4285, 
