loss_type,lr,threshold,reg,fold,frac,emb_size,NDCG@5,NDCG,RR,AP,RBP_80,RBP_90,RBP_95
dcg,0.5,4,0,0,1.0,32,0.7998,0.9159,0.9567,0.7997,0.6451,0.4559,0.2855
rbp,0.001,4,0,0,1.0,32,0.8087,0.9165,0.9569,0.8014,0.6464,0.4556,0.2853
rbp,0.01,4,0,0,1.0,32,0.8091,0.9167,0.9571,0.8017,0.6466,0.4558,0.2854
dcg,1.0,4,0,0,1.0,32,0.7998,0.9159,0.9568,0.7998,0.6451,0.4559,0.2855
rbp,0.1,4,0,0,1.0,32,0.8089,0.9167,0.9581,0.8014,0.6467,0.4558,0.2854
dcg,0.5,4,0,0,2.0,32,0.7365,0.8713,0.9286,0.7078,0.5825,0.4138,0.2659
dcg,1.0,4,0,0,2.0,32,0.7366,0.8713,0.9284,0.7078,0.5826,0.4139,0.2659
rbp,0.001,4,0,0,2.0,32,0.7417,0.8709,0.9263,0.7090000000000001,0.5846,0.4137,0.2654
rbp,0.1,4,0,0,2.0,32,0.7435,0.8714,0.9267,0.71,0.5859,0.4144,0.2657
rbp,0.01,4,0,0,2.0,32,0.7431,0.8714,0.927,0.7099,0.5854,0.4142,0.2656
rbp,0.001,4,0,0,5.0,32,0.637,0.7951,0.8645,0.5760000000000001,0.5003,0.3513,0.2291
dcg,0.5,4,0,0,5.0,32,0.6402,0.7979999999999999,0.8734,0.5779,0.5003,0.3509,0.2294
dcg,1.0,4,0,0,5.0,32,0.6401,0.7979,0.873,0.5778,0.5003,0.3509,0.2294
rbp,0.01,4,0,0,5.0,32,0.6389,0.7963,0.8669,0.5777,0.5016,0.35200000000000004,0.2295
rbp,0.1,4,0,0,5.0,32,0.6205,0.7858,0.8418,0.5642,0.4903,0.3466,0.2273
dcg,0.001,4,0,0,1.0,32,0.5013,0.7725,0.6989,0.5887,0.4709,0.3798,0.2582
ndcg_5,0.001,4,0,0,1.0,32,0.5013,0.7725,0.6989,0.5887,0.4709,0.3798,0.2582
dcg,0.01,4,0,0,1.0,32,0.5209,0.7833,0.7322,0.5996,0.4806,0.3831,0.2592
ndcg_5,0.01,4,0,0,1.0,32,0.5209,0.7833,0.7322,0.5996,0.4806,0.3831,0.2592
dcg,0.1,4,0,0,1.0,32,0.7997,0.9159,0.9569,0.7997,0.6451,0.4559,0.2855
ndcg_5,0.1,4,0,0,1.0,32,0.7998,0.9158,0.9566,0.7996,0.645,0.4559,0.2855
ndcg_5,1.0,4,0,0,1.0,32,0.7999,0.9158,0.9565,0.7997,0.6451,0.4559,0.2855
dcg,3.0,4,0,0,1.0,32,0.7998,0.9158,0.9566,0.7996,0.645,0.4559,0.2855
ndcg_5,3.0,4,0,0,1.0,32,0.7998,0.9158,0.9566,0.7996,0.645,0.4559,0.2855
dcg,10.0,4,0,0,1.0,32,0.7979,0.9148,0.9566,0.7974,0.6435,0.4551,0.2853
ndcg_5,10.0,4,0,0,1.0,32,0.7979,0.9148,0.9566,0.7974,0.6435,0.4551,0.2853
rbp_80,0.001,4,0,0,1.0,32,0.8087,0.9165,0.9569,0.8014,0.6464,0.4556,0.2853
rbp_90,0.001,4,0,0,1.0,32,0.8087,0.9164,0.9568,0.8014,0.6463,0.4556,0.2853
rbp_95,0.001,4,0,0,1.0,32,0.8086,0.9164,0.9568,0.8013,0.6463,0.4556,0.2853
rbp_80,0.1,4,0,0,1.0,32,0.8089,0.9167,0.9581,0.8014,0.6467,0.4558,0.2854
rbp_90,0.1,4,0,0,1.0,32,0.8089,0.9167,0.9581,0.8014,0.6467,0.4558,0.2854
rbp_95,0.1,4,0,0,1.0,32,0.8089,0.9167,0.9581,0.8014,0.6467,0.4558,0.2854
rbp_80,0.01,4,0,0,1.0,32,0.8091,0.9167,0.9571,0.8017,0.6466,0.4558,0.2854
