NDCG@5,NDCG,AP,RR,RBP_80,RBP_90,RBP_95
0.3836,0.6051,0.3011,0.5,0.3045,0.2209,0.1649
0.0,0.4656,0.1772,0.1667,0.0781,0.1198,0.1382
0.1312,0.5466,0.277,0.2,0.2063,0.2387,0.1987
0.1696,0.4766,0.1939,0.3333,0.1446,0.1354,0.1174
0.0,0.4436,0.1643,0.1111,0.06,0.1116,0.1267
0.4852,0.7366,0.4387,1.0,0.3517,0.2652,0.1869
0.0,0.3647,0.1175,0.05,0.0068,0.0447,0.0762
0.1312,0.4783,0.1921,0.2,0.1209,0.1467,0.1431
0.214,0.6259,0.3327,0.5,0.3005,0.2789,0.2271
0.0,0.4357,0.1685,0.1667,0.0955,0.1223,0.1143
0.0,0.4626,0.1955,0.1667,0.0958,0.1431,0.1395
0.3392,0.6687,0.3306,1.0,0.2535,0.2284,0.2002
0.4913,0.6241,0.3222,0.5,0.3618,0.2677,0.1874
0.1461,0.5235,0.1952,0.25,0.1805,0.1912,0.1659
0.214,0.5934,0.3157,0.5,0.2571,0.2301,0.1762
0.0,0.5324,0.1823,0.0769,0.029,0.0967,0.1501
0.1312,0.5036,0.172,0.2,0.103,0.1351,0.1479
0.0,0.3799,0.1271,0.0667,0.017,0.0631,0.0877
0.0,0.4159,0.136,0.125,0.0438,0.0739,0.0987
0.1312,0.4711,0.2076,0.2,0.1373,0.1567,0.1321
0.1312,0.481,0.1784,0.2,0.1371,0.1448,0.1369
0.1312,0.4574,0.1937,0.2,0.1138,0.1431,0.1269
0.3156,0.5672,0.2652,0.3333,0.2685,0.2263,0.178
0.0,0.4179,0.1475,0.1,0.0442,0.0948,0.1102
0.214,0.522,0.2075,0.5,0.1731,0.1419,0.1307
0.1312,0.4521,0.1814,0.2,0.1202,0.1359,0.1195
0.0,0.3804,0.1225,0.0833,0.024,0.0657,0.0862
0.0,0.492,0.2488,0.1667,0.1597,0.1847,0.1471
0.0,0.3715,0.1322,0.0714,0.0241,0.0717,0.0851
0.3392,0.6544,0.3404,1.0,0.2191,0.1628,0.1293
0.3008,0.6483,0.2626,0.3333,0.2811,0.2932,0.2792
0.0,0.4408,0.1886,0.1,0.0497,0.1188,0.1329
0.0,0.4269,0.1648,0.125,0.0796,0.1171,0.1129
0.1312,0.4737,0.2154,0.2,0.1349,0.1586,0.1353
0.0,0.4247,0.1625,0.1667,0.0753,0.1077,0.1099
0.0,0.4237,0.1702,0.1,0.0635,0.1156,0.1156
0.0,0.5615,0.2052,0.1429,0.1078,0.1731,0.1909
0.3452,0.675,0.2168,0.5,0.3311,0.3152,0.2824
0.0,0.4558,0.1751,0.125,0.0527,0.1075,0.1354
0.0,0.4645,0.1528,0.1667,0.1199,0.1275,0.119
0.3392,0.7112,0.4102,1.0,0.3084,0.2514,0.1831
0.4704,0.6905,0.3806,1.0,0.2859,0.1934,0.1377
0.0,0.4601,0.1664,0.1111,0.0502,0.1074,0.1349
0.1312,0.4944,0.1953,0.2,0.1441,0.1679,0.1529
0.5087,0.6588,0.2767,1.0,0.3297,0.2049,0.1637
0.0,0.4258,0.1156,0.1111,0.0338,0.0515,0.074
0.3392,0.6743,0.3623,1.0,0.2464,0.1867,0.1399
0.1696,0.5832,0.2324,0.3333,0.2508,0.2402,0.2075
0.1461,0.4537,0.1771,0.25,0.1225,0.1279,0.1146
0.1461,0.5394,0.2844,0.25,0.2213,0.2257,0.173
0.5087,0.7886,0.5318,1.0,0.4028,0.277,0.1764
0.1461,0.502,0.2206,0.25,0.1804,0.1745,0.1443
0.0,0.442,0.1863,0.1429,0.0866,0.1337,0.1248
0.1312,0.5324,0.2465,0.2,0.2052,0.2173,0.1795
0.1312,0.4781,0.1861,0.2,0.1383,0.1482,0.1368
0.0,0.4312,0.1612,0.125,0.0582,0.1085,0.1196
0.0,0.4047,0.1354,0.0909,0.0336,0.0781,0.0993
0.0,0.4078,0.1436,0.1429,0.0595,0.0923,0.1001
0.0,0.4081,0.1347,0.1,0.0449,0.085,0.0997
0.1696,0.5355,0.2627,0.3333,0.2023,0.2051,0.1639
0.5087,0.7335,0.3794,1.0,0.4181,0.3234,0.2604
0.3156,0.5815,0.3271,0.3333,0.2651,0.2417,0.1827
0.4852,0.6584,0.2845,1.0,0.3185,0.2226,0.1682
0.1461,0.5571,0.1821,0.25,0.1076,0.1163,0.1515
0.0,0.4526,0.2049,0.1429,0.0926,0.145,0.1331
0.1461,0.4566,0.182,0.25,0.1208,0.1314,0.118
0.214,0.5068,0.1956,0.5,0.1624,0.1196,0.1157
0.3392,0.6218,0.2348,1.0,0.2229,0.1644,0.1589
0.0,0.6041,0.1941,0.1111,0.0828,0.1596,0.1986
0.3392,0.6259,0.2599,1.0,0.2351,0.1683,0.1527
0.214,0.5649,0.2687,0.5,0.2331,0.2005,0.1553
0.1696,0.4934,0.1854,0.3333,0.1392,0.1317,0.1342
0.1461,0.495,0.2098,0.25,0.1344,0.16,0.1532
0.1461,0.4451,0.1657,0.25,0.1208,0.12,0.107
0.1312,0.4694,0.1956,0.2,0.1121,0.1466,0.1389
0.2773,0.5498,0.2914,0.25,0.2493,0.2294,0.1705
0.1312,0.5135,0.1798,0.2,0.1275,0.1571,0.159
0.0,0.4694,0.1517,0.1429,0.0564,0.0856,0.1169
0.0,0.4264,0.1369,0.1667,0.0691,0.088,0.1017
0.1312,0.4482,0.1692,0.2,0.0946,0.119,0.1214
0.5087,0.7257,0.4146,1.0,0.3413,0.2324,0.1661
0.5087,0.6958,0.3188,1.0,0.3643,0.271,0.22
0.0,0.4806,0.1487,0.1667,0.0688,0.087,0.1122
0.214,0.5581,0.2463,0.5,0.2302,0.1937,0.1554
0.0,0.4049,0.1309,0.0769,0.017,0.0593,0.0947
0.2773,0.536,0.269,0.25,0.2319,0.2161,0.1623
0.4913,0.6198,0.3153,0.5,0.3495,0.2575,0.1854
0.1461,0.5441,0.1661,0.25,0.1456,0.1715,0.1624
0.0,0.4311,0.1724,0.1429,0.0753,0.1205,0.1178
0.3836,0.6713,0.2743,0.5,0.4179,0.3628,0.2893
0.0,0.4052,0.1502,0.0909,0.0399,0.0934,0.1051
0.1312,0.5096,0.2043,0.2,0.158,0.184,0.1647
0.4704,0.6642,0.28,1.0,0.3076,0.2384,0.2053
0.0,0.4413,0.1479,0.1667,0.0682,0.0897,0.1108
0.1312,0.4332,0.1617,0.2,0.0943,0.1136,0.1094
0.3392,0.6177,0.2278,1.0,0.2314,0.1714,0.1539
0.0,0.4702,0.1789,0.125,0.0608,0.118,0.1442
0.1461,0.4675,0.1829,0.25,0.1216,0.1351,0.1282
0.0,0.4578,0.1431,0.0625,0.012,0.0544,0.1023
0.6164,0.7947,0.5504,1.0,0.4553,0.3235,0.2092
0.2773,0.5205,0.2335,0.25,0.1934,0.1862,0.1596
0.0,0.489,0.2147,0.1667,0.1205,0.1649,0.1584
0.0,0.4453,0.1568,0.0769,0.0264,0.082,0.1212
0.3452,0.5929,0.3051,0.5,0.2748,0.2246,0.1673
0.0,0.5924,0.2035,0.1429,0.1506,0.2257,0.2267
0.1461,0.5025,0.1777,0.25,0.1622,0.1634,0.145
0.3392,0.599,0.1861,1.0,0.2008,0.1194,0.1188
0.3392,0.6108,0.2105,1.0,0.2089,0.1446,0.1449
0.0,0.3825,0.1328,0.0625,0.0162,0.0653,0.0904
0.1312,0.5374,0.2222,0.2,0.1873,0.2103,0.1869
0.214,0.5229,0.2278,0.5,0.184,0.147,0.1193
0.1696,0.5458,0.1483,0.3333,0.133,0.1142,0.1176
0.1461,0.5506,0.1765,0.25,0.1823,0.1715,0.1541
0.214,0.5633,0.254,0.5,0.2322,0.2008,0.161
0.6164,0.7702,0.4675,1.0,0.4761,0.3923,0.2896
0.1696,0.5014,0.2256,0.3333,0.1685,0.1645,0.1338
0.0,0.5011,0.1472,0.1,0.036,0.0791,0.1122
0.3601,0.6267,0.3566,0.5,0.3214,0.2577,0.1831
0.0,0.3926,0.1359,0.0909,0.0311,0.0781,0.0956
0.0,0.3912,0.132,0.0588,0.0109,0.0563,0.0914
0.1461,0.5075,0.1799,0.25,0.1439,0.1554,0.151
0.214,0.545,0.2581,0.5,0.1989,0.1718,0.1359
0.5087,0.7063,0.3715,1.0,0.362,0.2348,0.1619
0.0,0.4358,0.1553,0.1111,0.0517,0.1051,0.1207
0.3008,0.559,0.2862,0.3333,0.2577,0.2257,0.1665
0.0,0.4377,0.1731,0.1,0.0602,0.1188,0.1265
0.0,0.3783,0.1306,0.0588,0.0128,0.0596,0.0874
0.3392,0.6902,0.382,1.0,0.2722,0.2026,0.1461
0.1696,0.5207,0.2078,0.3333,0.198,0.1719,0.1491
0.1312,0.4627,0.1721,0.2,0.1044,0.1287,0.1302
0.1461,0.4878,0.2164,0.25,0.1733,0.1615,0.1289
0.1461,0.4785,0.1926,0.25,0.1417,0.1498,0.1336
0.0,0.4451,0.1688,0.1429,0.091,0.1263,0.1236
0.214,0.5538,0.2238,0.5,0.2103,0.1813,0.1605
0.0,0.4512,0.1602,0.1,0.0375,0.0909,0.1258
0.3392,0.6402,0.3061,1.0,0.2238,0.1654,0.1345
0.3452,0.5759,0.2953,0.5,0.2514,0.1956,0.1437
0.0,0.5222,0.1611,0.1111,0.0384,0.0837,0.1279
0.0,0.3919,0.1323,0.0667,0.0127,0.0574,0.0916
0.214,0.6113,0.2032,0.5,0.2599,0.2405,0.2077
0.0,0.3729,0.1219,0.0625,0.0121,0.0547,0.0825
0.0,0.4233,0.1494,0.125,0.0565,0.0999,0.1117
0.0,0.4362,0.1642,0.1,0.0391,0.0979,0.1243
0.5087,0.7089,0.3119,1.0,0.4174,0.3251,0.2609
0.214,0.5442,0.2556,0.5,0.2021,0.1705,0.134
0.0,0.5389,0.1827,0.125,0.0496,0.1031,0.1522
0.1696,0.6102,0.2483,0.3333,0.2274,0.2568,0.244
0.0,0.4585,0.171,0.0769,0.0208,0.0792,0.1297
0.0,0.6025,0.1698,0.0667,0.0231,0.0883,0.1457
0.1461,0.6164,0.179,0.25,0.2248,0.2289,0.2042
0.3836,0.6416,0.2986,0.5,0.3678,0.2851,0.2267
0.0,0.4854,0.174,0.0769,0.0187,0.072,0.13
0.1312,0.487,0.202,0.2,0.1306,0.1648,0.1513
0.1696,0.4993,0.2088,0.3333,0.1615,0.1567,0.1375
0.1312,0.518,0.2788,0.2,0.2013,0.2059,0.1546
0.3392,0.6596,0.3422,1.0,0.2334,0.1715,0.1301
0.1461,0.5064,0.2294,0.25,0.1778,0.185,0.1515
0.0,0.418,0.1529,0.1,0.0379,0.0917,0.1121
0.0,0.4624,0.198,0.125,0.1046,0.1494,0.1386
0.1312,0.512,0.2728,0.2,0.1888,0.2019,0.1542
0.3156,0.5688,0.3008,0.3333,0.2585,0.2243,0.1709
0.1312,0.4766,0.1856,0.2,0.1369,0.1455,0.1354
0.0,0.4391,0.1479,0.1,0.0513,0.0994,0.1169
0.5087,0.7128,0.3831,1.0,0.3444,0.2373,0.1747
0.3156,0.5407,0.2733,0.3333,0.237,0.1874,0.1389
0.4913,0.6872,0.4764,0.5,0.424,0.321,0.2087
0.0,0.5371,0.1359,0.0526,0.0053,0.0349,0.0753
0.0,0.3884,0.1273,0.1,0.0351,0.0751,0.0904
0.5087,0.7434,0.4332,1.0,0.3811,0.2809,0.1996
0.3904,0.6752,0.3788,1.0,0.2272,0.1604,0.1162
0.1461,0.4894,0.204,0.25,0.1623,0.1619,0.1378
0.5531,0.7382,0.3924,1.0,0.4193,0.2771,0.1925
0.214,0.6125,0.3702,0.5,0.2825,0.2478,0.1733
0.1461,0.5097,0.2525,0.25,0.1986,0.1892,0.1431
0.0,0.49,0.2154,0.1667,0.1216,0.17,0.1599
0.1461,0.5285,0.2662,0.25,0.1987,0.2098,0.1685
0.0,0.4071,0.143,0.125,0.0574,0.0949,0.1009
0.3392,0.6157,0.2778,1.0,0.208,0.1358,0.1131
