loss_type: ndcg_5, lr: 0.001, frac: 1.0, th: 4, emb_size: 32, fold: 2, NDCG = 0.7733, AP = 0.5888, RR = 0.7041, RBP_80 = 0.4715, RBP_90 = 0.3801, RBP_95 = 0.2583, 
loss_type: ndcg_5, lr: 0.01, frac: 1.0, th: 4, emb_size: 32, fold: 2, NDCG = 0.7834, AP = 0.5995, RR = 0.7335, RBP_80 = 0.4809, RBP_90 = 0.3834, RBP_95 = 0.2593, 
loss_type: ndcg_5, lr: 0.1, frac: 1.0, th: 4, emb_size: 32, fold: 2, NDCG = 0.916, AP = 0.7995, RR = 0.957, RBP_80 = 0.645, RBP_90 = 0.4557, RBP_95 = 0.2855, 
loss_type: ndcg_5, lr: 1.0, frac: 1.0, th: 4, emb_size: 32, fold: 2, NDCG = 0.916, AP = 0.7995, RR = 0.9569, RBP_80 = 0.645, RBP_90 = 0.4558, RBP_95 = 0.2855, 
loss_type: ndcg_5, lr: 3.0, frac: 1.0, th: 4, emb_size: 32, fold: 2, NDCG = 0.9159, AP = 0.7993, RR = 0.9571, RBP_80 = 0.6449, RBP_90 = 0.4557, RBP_95 = 0.2855, 
loss_type: ndcg_5, lr: 10.0, frac: 1.0, th: 4, emb_size: 32, fold: 2, NDCG = 0.915, AP = 0.7975, RR = 0.9565, RBP_80 = 0.6437, RBP_90 = 0.4551, RBP_95 = 0.2853, 
loss_type: dcg, lr: 0.001, frac: 1.0, th: 4, emb_size: 32, fold: 2, NDCG = 0.7733, AP = 0.5889, RR = 0.7041, RBP_80 = 0.4715, RBP_90 = 0.3801, RBP_95 = 0.2583, 
loss_type: dcg, lr: 0.01, frac: 1.0, th: 4, emb_size: 32, fold: 2, NDCG = 0.7834, AP = 0.5995, RR = 0.7335, RBP_80 = 0.4809, RBP_90 = 0.3834, RBP_95 = 0.2593, 
loss_type: dcg, lr: 0.1, frac: 1.0, th: 4, emb_size: 32, fold: 2, NDCG = 0.916, AP = 0.7995, RR = 0.957, RBP_80 = 0.645, RBP_90 = 0.4557, RBP_95 = 0.2855, 
loss_type: dcg, lr: 1.0, frac: 1.0, th: 4, emb_size: 32, fold: 2, NDCG = 0.916, AP = 0.7995, RR = 0.9569, RBP_80 = 0.645, RBP_90 = 0.4558, RBP_95 = 0.2855, 
loss_type: dcg, lr: 3.0, frac: 1.0, th: 4, emb_size: 32, fold: 2, NDCG = 0.9159, AP = 0.7993, RR = 0.9571, RBP_80 = 0.6449, RBP_90 = 0.4557, RBP_95 = 0.2855, 
loss_type: dcg, lr: 10.0, frac: 1.0, th: 4, emb_size: 32, fold: 2, NDCG = 0.915, AP = 0.7975, RR = 0.9565, RBP_80 = 0.6437, RBP_90 = 0.4551, RBP_95 = 0.2853, 
loss_type: ap, lr: 0.001, frac: 1.0, th: 4, emb_size: 32, fold: 2, NDCG = 0.7732, AP = 0.5887, RR = 0.7039, RBP_80 = 0.4714, RBP_90 = 0.3801, RBP_95 = 0.2583, 
loss_type: ap, lr: 0.01, frac: 1.0, th: 4, emb_size: 32, fold: 2, NDCG = 0.78, AP = 0.5961, RR = 0.723, RBP_80 = 0.4795, RBP_90 = 0.3834, RBP_95 = 0.2595, 
loss_type: ap, lr: 0.1, frac: 1.0, th: 4, emb_size: 32, fold: 2, NDCG = 0.9137, AP = 0.7966, RR = 0.9522, RBP_80 = 0.643, RBP_90 = 0.4553, RBP_95 = 0.2855, 
loss_type: ap, lr: 1.0, frac: 1.0, th: 4, emb_size: 32, fold: 2, NDCG = 0.9149, AP = 0.7983, RR = 0.9542, RBP_80 = 0.6442, RBP_90 = 0.4556, RBP_95 = 0.2855, 
loss_type: ap, lr: 3.0, frac: 1.0, th: 4, emb_size: 32, fold: 2, NDCG = 0.915, AP = 0.7983, RR = 0.9544, RBP_80 = 0.6442, RBP_90 = 0.4556, RBP_95 = 0.2855, 
loss_type: ap, lr: 10.0, frac: 1.0, th: 4, emb_size: 32, fold: 2, NDCG = 0.9148, AP = 0.7981, RR = 0.9541, RBP_80 = 0.6441, RBP_90 = 0.4556, RBP_95 = 0.2856, 
loss_type: rr, lr: 0.001, frac: 1.0, th: 4, emb_size: 32, fold: 2, NDCG = 0.7729, AP = 0.5883, RR = 0.7031, RBP_80 = 0.471, RBP_90 = 0.3799, RBP_95 = 0.2583, 
loss_type: rr, lr: 0.01, frac: 1.0, th: 4, emb_size: 32, fold: 2, NDCG = 0.7739, AP = 0.589, RR = 0.707, RBP_80 = 0.4716, RBP_90 = 0.38, RBP_95 = 0.2583, 
loss_type: rr, lr: 0.1, frac: 1.0, th: 4, emb_size: 32, fold: 2, NDCG = 0.7992, AP = 0.6085, RR = 0.8037, RBP_80 = 0.4903, RBP_90 = 0.3842, RBP_95 = 0.259, 
loss_type: rr, lr: 1.0, frac: 1.0, th: 4, emb_size: 32, fold: 2, NDCG = 0.8156, AP = 0.6247, RR = 0.8475, RBP_80 = 0.5066, RBP_90 = 0.3891, RBP_95 = 0.2602, 
loss_type: rr, lr: 3.0, frac: 1.0, th: 4, emb_size: 32, fold: 2, NDCG = 0.816, AP = 0.6257, RR = 0.8462, RBP_80 = 0.5075, RBP_90 = 0.389, RBP_95 = 0.26, 
loss_type: rr, lr: 10.0, frac: 1.0, th: 4, emb_size: 32, fold: 2, NDCG = 0.819, AP = 0.6294, RR = 0.8515, RBP_80 = 0.5111, RBP_90 = 0.3906, RBP_95 = 0.2606, 
loss_type: rbp_80, lr: 0.001, frac: 1.0, th: 4, emb_size: 32, fold: 2, NDCG = 0.9164, AP = 0.801, RR = 0.9569, RBP_80 = 0.6463, RBP_90 = 0.4556, RBP_95 = 0.2853, 
loss_type: rbp_80, lr: 0.01, frac: 1.0, th: 4, emb_size: 32, fold: 2, NDCG = 0.9165, AP = 0.8013, RR = 0.9567, RBP_80 = 0.6466, RBP_90 = 0.4558, RBP_95 = 0.2854, 
loss_type: rbp_80, lr: 0.1, frac: 1.0, th: 4, emb_size: 32, fold: 2, NDCG = 0.9167, AP = 0.801, RR = 0.9581, RBP_80 = 0.6467, RBP_90 = 0.4558, RBP_95 = 0.2854, 
loss_type: rbp_80, lr: 1.0, frac: 1.0, th: 4, emb_size: 32, fold: 2, NDCG = 0.8653, AP = 0.7252, RR = 0.8617, RBP_80 = 0.5877, RBP_90 = 0.4324, RBP_95 = 0.2776, 
loss_type: rbp_80, lr: 3.0, frac: 1.0, th: 4, emb_size: 32, fold: 2, NDCG = 0.8113, AP = 0.6658, RR = 0.7048, RBP_80 = 0.5362, RBP_90 = 0.4142, RBP_95 = 0.272, 
loss_type: rbp_80, lr: 10.0, frac: 1.0, th: 4, emb_size: 32, fold: 2, NDCG = 0.823, AP = 0.6473, RR = 0.8296, RBP_80 = 0.5257, RBP_90 = 0.4018, RBP_95 = 0.266, 
loss_type: rbp_90, lr: 0.001, frac: 1.0, th: 4, emb_size: 32, fold: 2, NDCG = 0.9164, AP = 0.801, RR = 0.9566, RBP_80 = 0.6463, RBP_90 = 0.4556, RBP_95 = 0.2853, 
loss_type: rbp_90, lr: 0.01, frac: 1.0, th: 4, emb_size: 32, fold: 2, NDCG = 0.9165, AP = 0.8013, RR = 0.9567, RBP_80 = 0.6466, RBP_90 = 0.4558, RBP_95 = 0.2854, 
loss_type: rbp_90, lr: 0.1, frac: 1.0, th: 4, emb_size: 32, fold: 2, NDCG = 0.9167, AP = 0.801, RR = 0.9581, RBP_80 = 0.6467, RBP_90 = 0.4558, RBP_95 = 0.2854, 
loss_type: rbp_90, lr: 1.0, frac: 1.0, th: 4, emb_size: 32, fold: 2, NDCG = 0.8653, AP = 0.7252, RR = 0.8617, RBP_80 = 0.5877, RBP_90 = 0.4324, RBP_95 = 0.2776, 
loss_type: rbp_90, lr: 3.0, frac: 1.0, th: 4, emb_size: 32, fold: 2, NDCG = 0.8113, AP = 0.6658, RR = 0.7048, RBP_80 = 0.5362, RBP_90 = 0.4142, RBP_95 = 0.272, 
loss_type: rbp_90, lr: 10.0, frac: 1.0, th: 4, emb_size: 32, fold: 2, NDCG = 0.823, AP = 0.6473, RR = 0.8296, RBP_80 = 0.5257, RBP_90 = 0.4018, RBP_95 = 0.266, 
loss_type: rbp_95, lr: 0.001, frac: 1.0, th: 4, emb_size: 32, fold: 2, NDCG = 0.9164, AP = 0.801, RR = 0.9565, RBP_80 = 0.6463, RBP_90 = 0.4556, RBP_95 = 0.2853, 
