loss_type,lr,threshold,reg,fold,frac,emb_size,NDCG@5,NDCG,RR,AP,RBP_80,RBP_90,RBP_95
rbp,0.01,4,0,0,1.0,32,0.7691,0.898,0.9386,0.767,0.617,0.4373,0.2752
rbp,0.1,4,0,0,1.0,32,0.7773,0.9027,0.9475,0.7737,0.6221,0.4397,0.276
rbp,0.001,4,0,0,1.0,32,0.7538,0.8949,0.9265,0.7662,0.6155,0.4394,0.2765
dcg,1.0,4,0,0,1.0,32,0.765,0.9007,0.9397,0.7731,0.6214,0.4416,0.2772
dcg,0.5,4,0,0,1.0,32,0.7648,0.9004,0.9387,0.7725,0.621,0.4413,0.2771
dcg,0.5,4,0,0,2.0,32,0.7068,0.8578,0.9153,0.6851,0.5601,0.3999,0.2579
ap,1.0,4,0,0,1.0,32,0.7654,0.9008,0.9403,0.7728,0.621,0.4412,0.27699999999999997
ap,0.5,4,0,0,1.0,32,0.7637,0.8999,0.9386,0.7714,0.6201,0.4407,0.2768
rr,0.5,4,0,0,1.0,32,0.5539,0.8019,0.8106,0.6119,0.4915,0.3821,0.2557
rr,1.0,4,0,0,1.0,32,0.5557,0.8033,0.8172,0.6127,0.4924,0.3823,0.2557
dcg,1.0,4,0,0,2.0,32,0.7065,0.8581,0.9155,0.6857,0.5604,0.4003,0.2582
rbp,0.001,4,0,0,2.0,32,0.7070000000000001,0.851,0.9069,0.6744,0.5554,0.3942,0.2544
rbp,0.1,4,0,0,2.0,32,0.7276,0.8603,0.9206,0.6892,0.5668,0.3991,0.2561
rbp,0.01,4,0,0,2.0,32,0.7191,0.8562,0.9133,0.6831,0.5623,0.3972,0.2555
ap,1.0,4,0,0,2.0,32,0.7114,0.86,0.9185,0.6883,0.5626,0.401,0.2583
ap,0.5,4,0,0,2.0,32,0.7121,0.8598,0.9182,0.6882,0.5627,0.4009,0.2582
rr,0.5,4,0,0,2.0,32,0.4163,0.7096,0.7156,0.4587,0.3642,0.2995,0.2178
rr,1.0,4,0,0,2.0,32,0.4246,0.7135,0.7245,0.4631,0.3695,0.3018,0.2187
dcg,0.5,4,0,0,5.0,32,0.6239,0.7879,0.8636,0.5619,0.4809,0.3361,0.2211
dcg,1.0,4,0,0,5.0,32,0.6231,0.7879,0.8656,0.5609,0.4797,0.3354,0.2212
rbp,0.001,4,0,0,5.0,32,0.6437,0.7918,0.8691,0.5697,0.4953,0.3409,0.2202
rbp,0.01,4,0,0,5.0,32,0.6492,0.7946,0.8748,0.5734,0.4981,0.3419,0.2205
rbp,0.1,4,0,0,5.0,32,0.6457,0.7934,0.8746,0.5709,0.4946,0.3399,0.2198
ap,0.5,4,0,0,5.0,32,0.6356,0.7933,0.8741,0.5689,0.488,0.3393,0.2223
ap,1.0,4,0,0,5.0,32,0.6353,0.7932,0.8733,0.5689,0.4882,0.3393,0.2222
rr,0.5,4,0,0,5.0,32,0.2654,0.5784,0.5592,0.2784,0.2207,0.1826,0.1489
rr,1.0,4,0,0,5.0,32,0.2749,0.5833,0.5725,0.2833,0.2263,0.1849,0.1497
dcg,0.01,4,0,0,1.0,32,0.522,0.7837,0.7315,0.602,0.4807,0.3815,0.2562
ndcg_5,0.01,4,0,0,1.0,32,0.522,0.7837,0.7315,0.602,0.4807,0.3815,0.2562
dcg,0.001,4,0,0,1.0,32,0.503,0.7733,0.7032,0.5904,0.4709,0.3779,0.2551
ndcg_5,0.001,4,0,0,1.0,32,0.503,0.7733,0.7032,0.5904,0.4709,0.3779,0.2551
dcg,0.1,4,0,0,1.0,32,0.7572,0.897,0.935,0.7665,0.6154,0.4382,0.2758
ndcg_5,0.1,4,0,0,1.0,32,0.7572,0.897,0.935,0.7665,0.6154,0.4382,0.2758
ndcg_5,1.0,4,0,0,1.0,32,0.7651,0.9007,0.9395,0.773,0.6214,0.4416,0.2772
dcg,3.0,4,0,0,1.0,32,0.7651,0.9009999999999999,0.94,0.7737,0.6218,0.4419,0.2774
ndcg_5,3.0,4,0,0,1.0,32,0.7652,0.9009,0.9398,0.7735,0.6216,0.4418,0.2773
dcg,10.0,4,0,0,1.0,32,0.7656,0.9014,0.9404,0.7743,0.6222,0.4421,0.2775
ndcg_5,10.0,4,0,0,1.0,32,0.7656,0.9014,0.9404,0.7743,0.6222,0.4421,0.2775
ap,0.001,4,0,0,1.0,32,0.5026,0.773,0.7029,0.5899,0.4706,0.3778,0.2551
ap,0.01,4,0,0,1.0,32,0.5162,0.7807,0.7242,0.5986,0.4785,0.381,0.2562
ap,0.1,4,0,0,1.0,32,0.7514,0.8935,0.9259999999999999,0.7628,0.6131,0.43799999999999994,0.276
ap,3.0,4,0,0,1.0,32,0.7652,0.9009999999999999,0.9402,0.7736,0.6215,0.4416,0.2773
rbp_80,0.001,4,0,0,1.0,32,0.7681,0.8977,0.9381,0.7665,0.6164,0.4371,0.2751
rbp_90,0.001,4,0,0,1.0,32,0.7538,0.8949,0.9265,0.7662,0.6155,0.4394,0.2765
rbp_95,0.001,4,0,0,1.0,32,0.7538,0.8949,0.9265,0.7662,0.6155,0.4394,0.2765
ap,10.0,4,0,0,1.0,32,0.7656,0.9012,0.9403,0.7739,0.6218,0.4418,0.2773
rbp_80,0.01,4,0,0,1.0,32,0.7691,0.898,0.9386,0.767,0.617,0.4373,0.2752
rbp_90,0.01,4,0,0,1.0,32,0.7691,0.898,0.9386,0.767,0.617,0.4373,0.2752
rbp_95,0.01,4,0,0,1.0,32,0.7691,0.898,0.9386,0.767,0.617,0.4373,0.2752
rbp_80,0.1,4,0,0,1.0,32,0.7773,0.9027,0.9475,0.7737,0.6221,0.4397,0.276
rbp_90,0.1,4,0,0,1.0,32,0.7773,0.9027,0.9476,0.7737,0.6221,0.4397,0.276
