loss_type: ndcg_5, lr: 0.001, frac: 1.0, th: 4, emb_size: 32, fold: 0, NDCG = 0.7733, AP = 0.5904, RR = 0.7032, RBP_80 = 0.4709, RBP_90 = 0.3779, RBP_95 = 0.2551, 
loss_type: ndcg_5, lr: 0.01, frac: 1.0, th: 4, emb_size: 32, fold: 0, NDCG = 0.7837, AP = 0.602, RR = 0.7315, RBP_80 = 0.4807, RBP_90 = 0.3815, RBP_95 = 0.2562, 
loss_type: ndcg_5, lr: 0.1, frac: 1.0, th: 4, emb_size: 32, fold: 0, NDCG = 0.897, AP = 0.7665, RR = 0.935, RBP_80 = 0.6154, RBP_90 = 0.4382, RBP_95 = 0.2758, 
loss_type: ndcg_5, lr: 1.0, frac: 1.0, th: 4, emb_size: 32, fold: 0, NDCG = 0.9007, AP = 0.773, RR = 0.9395, RBP_80 = 0.6214, RBP_90 = 0.4416, RBP_95 = 0.2772, 
loss_type: ndcg_5, lr: 3.0, frac: 1.0, th: 4, emb_size: 32, fold: 0, NDCG = 0.9009, AP = 0.7735, RR = 0.9398, RBP_80 = 0.6216, RBP_90 = 0.4418, RBP_95 = 0.2773, 
loss_type: ndcg_5, lr: 10.0, frac: 1.0, th: 4, emb_size: 32, fold: 0, NDCG = 0.9014, AP = 0.7743, RR = 0.9404, RBP_80 = 0.6222, RBP_90 = 0.4421, RBP_95 = 0.2775, 
loss_type: dcg, lr: 0.001, frac: 1.0, th: 4, emb_size: 32, fold: 0, NDCG = 0.7733, AP = 0.5904, RR = 0.7032, RBP_80 = 0.4709, RBP_90 = 0.3779, RBP_95 = 0.2551, 
loss_type: dcg, lr: 0.01, frac: 1.0, th: 4, emb_size: 32, fold: 0, NDCG = 0.7837, AP = 0.602, RR = 0.7315, RBP_80 = 0.4807, RBP_90 = 0.3815, RBP_95 = 0.2562, 
loss_type: dcg, lr: 0.1, frac: 1.0, th: 4, emb_size: 32, fold: 0, NDCG = 0.897, AP = 0.7665, RR = 0.935, RBP_80 = 0.6154, RBP_90 = 0.4382, RBP_95 = 0.2758, 
loss_type: dcg, lr: 1.0, frac: 1.0, th: 4, emb_size: 32, fold: 0, NDCG = 0.9007, AP = 0.7731, RR = 0.9397, RBP_80 = 0.6214, RBP_90 = 0.4416, RBP_95 = 0.2772, 
loss_type: dcg, lr: 3.0, frac: 1.0, th: 4, emb_size: 32, fold: 0, NDCG = 0.901, AP = 0.7737, RR = 0.94, RBP_80 = 0.6218, RBP_90 = 0.4419, RBP_95 = 0.2774, 
loss_type: dcg, lr: 10.0, frac: 1.0, th: 4, emb_size: 32, fold: 0, NDCG = 0.9014, AP = 0.7743, RR = 0.9404, RBP_80 = 0.6222, RBP_90 = 0.4421, RBP_95 = 0.2775, 
loss_type: ap, lr: 0.001, frac: 1.0, th: 4, emb_size: 32, fold: 0, NDCG = 0.773, AP = 0.5899, RR = 0.7029, RBP_80 = 0.4706, RBP_90 = 0.3778, RBP_95 = 0.2551, 
loss_type: ap, lr: 0.01, frac: 1.0, th: 4, emb_size: 32, fold: 0, NDCG = 0.7807, AP = 0.5986, RR = 0.7242, RBP_80 = 0.4785, RBP_90 = 0.381, RBP_95 = 0.2562, 
loss_type: ap, lr: 0.1, frac: 1.0, th: 4, emb_size: 32, fold: 0, NDCG = 0.8935, AP = 0.7628, RR = 0.926, RBP_80 = 0.6131, RBP_90 = 0.438, RBP_95 = 0.276, 
loss_type: ap, lr: 1.0, frac: 1.0, th: 4, emb_size: 32, fold: 0, NDCG = 0.9008, AP = 0.7728, RR = 0.9403, RBP_80 = 0.621, RBP_90 = 0.4412, RBP_95 = 0.277, 
loss_type: ap, lr: 3.0, frac: 1.0, th: 4, emb_size: 32, fold: 0, NDCG = 0.901, AP = 0.7736, RR = 0.9402, RBP_80 = 0.6215, RBP_90 = 0.4416, RBP_95 = 0.2773, 
