loss_type,lr,threshold,reg,fold,frac,emb_size,NDCG@5,NDCG,RR,AP,RBP_80,RBP_90,RBP_95
dcg,0.5,0,0,0,1.0,32,0.8708,0.9427,0.9665,0.8552,0.7531,0.5799,0.3955
dcg,0.5,0,0,0,1.0,128,0.8853,0.9482,0.9697,0.8671,0.7623,0.5851,0.3979
dcg,0.5,0,0,0,1.0,8,0.8391,0.9273,0.9427,0.8266,0.73,0.5665,0.3892
dcg,0.5,0,0,0,1.0,16,0.8624,0.9377,0.9618,0.845,0.7458,0.5754,0.3932
dcg,0.5,0,0,0,1.0,64,0.8789,0.946,0.9715,0.8611,0.7576,0.5825,0.3967
ap,0.5,0,0,0,1.0,16,0.8335,0.9255,0.9401,0.8254,0.7298,0.5695,0.392
ap,0.5,0,0,0,1.0,8,0.8289,0.9237,0.9379,0.8214,0.7254,0.5661,0.3898
ap,0.5,0,0,0,1.0,32,0.8362,0.9273,0.9414,0.83,0.7329,0.5715,0.39299999999999996
ap,0.5,0,0,0,1.0,64,0.8518,0.934,0.9495,0.8425,0.7432,0.5772,0.3955
rbp,0.1,0,0,0,1.0,8,0.8881,0.9519,0.9625,0.8838,0.7709,0.5936,0.4029
ap,0.5,0,0,0,1.0,128,0.8694,0.9418,0.9601,0.8567,0.7553,0.5836,0.3982
rbp,0.1,0,0,0,1.0,16,0.9098,0.9607,0.9712,0.9013,0.785,0.6012,0.4061
rbp,0.1,0,0,0,1.0,32,0.9219,0.9658,0.9779,0.9124,0.7943,0.6066,0.4086
rbp,0.1,0,0,0,1.0,64,0.9288,0.9686,0.9825,0.9178,0.7985,0.6089,0.4097
rbp,0.1,0,0,0,1.0,128,0.9327,0.9705,0.9840000000000001,0.9221,0.8015,0.6108,0.4106
rr,0.5,0,0,0,1.0,8,0.5282,0.7898,0.7429,0.5818,0.498,0.4247,0.3187
rr,0.5,0,0,0,1.0,16,0.5335,0.7914,0.7579,0.5805,0.4976,0.4233,0.3179
rr,0.5,0,0,0,1.0,32,0.5419,0.7945,0.7665,0.5834,0.5037,0.4257,0.3186
rr,0.5,0,0,0,1.0,64,0.5415,0.794,0.7647,0.5837,0.5034,0.4254,0.3184
rr,0.5,0,0,0,1.0,128,0.5288,0.7892,0.7587,0.5762,0.4929,0.4192,0.3157
dcg,0.5,0,0,0,2.0,16,0.8196,0.9154,0.9441,0.7945,0.7079,0.5488,0.3789
dcg,0.5,0,0,0,2.0,8,0.7986,0.905,0.9294,0.7749,0.6919,0.5392,0.3742
dcg,0.5,0,0,0,2.0,32,0.8392,0.9247,0.9549,0.8126,0.7222,0.5576,0.3831
dcg,0.5,0,0,0,2.0,64,0.8496,0.9293,0.958,0.8218,0.7301,0.5619,0.3852
dcg,0.5,0,0,0,2.0,128,0.8584,0.9331,0.9608,0.8303,0.7363,0.5656,0.3869
rbp,0.1,0,0,0,2.0,8,0.8408,0.9274,0.9421,0.8270000000000001,0.7304,0.5661,0.3884
rbp,0.1,0,0,0,2.0,16,0.8701,0.9404,0.9618,0.8511,0.7496,0.5761,0.3926
rbp,0.1,0,0,0,2.0,32,0.8918,0.9481,0.9663,0.8678,0.765,0.585,0.3966
rbp,0.1,0,0,0,2.0,64,0.8983,0.9524,0.9717,0.8761,0.7706,0.5885,0.3984
rbp,0.1,0,0,0,2.0,128,0.9037,0.9544,0.9742,0.8807,0.7742,0.5908,0.3995
ap,0.5,0,0,0,2.0,32,0.8270000000000001,0.92,0.9490000000000001,0.8036,0.7158,0.5544,0.3819
ap,0.5,0,0,0,2.0,8,0.8027,0.9079,0.9374,0.7781,0.6956,0.5412,0.3749
ap,0.5,0,0,0,2.0,16,0.8190000000000001,0.9155,0.9441,0.7947,0.7089,0.55,0.3795
ap,0.5,0,0,0,2.0,64,0.8365,0.924,0.9537,0.8121,0.7219,0.5584,0.384
ap,0.5,0,0,0,2.0,128,0.8419,0.9276,0.9592,0.8184,0.7266,0.5609,0.3851
rr,0.5,0,0,0,2.0,8,0.3901,0.6993,0.6386,0.4258,0.361,0.3182,0.2549
rr,0.5,0,0,0,2.0,16,0.3804,0.6935,0.6354,0.4181,0.3539,0.3143,0.253
rr,0.5,0,0,0,2.0,32,0.3857,0.6954,0.6401,0.42,0.35600000000000004,0.3145,0.2531
rr,0.5,0,0,0,2.0,64,0.3802,0.6951,0.6354,0.4202,0.3527,0.3126,0.2518
rr,0.5,0,0,0,2.0,128,0.36200000000000004,0.6849,0.6064,0.4091,0.3409,0.3066,0.249
dcg,0.5,0,0,0,5.0,32,0.7805,0.8885,0.9318,0.7321,0.6662,0.5141,0.3571
dcg,0.5,0,0,0,5.0,16,0.7502,0.8717,0.9109,0.7017,0.6416,0.4984,0.349
dcg,0.5,0,0,0,5.0,8,0.7140000000000001,0.8518,0.8796,0.6677,0.6142,0.4809,0.3394
dcg,0.5,0,0,0,5.0,64,0.7903,0.8938,0.9299,0.7446,0.6758,0.5211,0.3612
dcg,0.5,0,0,0,5.0,128,0.8004,0.8989,0.9343,0.7551,0.6837,0.526,0.3637
rbp,0.1,0,0,0,5.0,8,0.7233,0.8638,0.852,0.7031,0.6324,0.4993,0.3514
rbp,0.1,0,0,0,5.0,128,0.8356,0.9156,0.9399,0.7933,0.7144,0.5468,0.374
rbp,0.1,0,0,0,5.0,32,0.8073,0.9024,0.9222,0.7676,0.6926,0.5331,0.3669
rbp,0.1,0,0,0,5.0,16,0.7659999999999999,0.8849,0.89,0.7377,0.6635,0.5171,0.3596
rbp,0.1,0,0,0,5.0,64,0.8340000000000001,0.9144,0.9431,0.7884,0.7103,0.5435,0.3721
ap,0.5,0,0,0,5.0,8,0.7199,0.8567,0.893,0.6732,0.6199,0.4848,0.3414
ap,0.5,0,0,0,5.0,16,0.7467,0.8721,0.9097,0.7026,0.6437,0.5006,0.3499
ap,0.5,0,0,0,5.0,32,0.7682,0.8836,0.9193,0.725,0.6614,0.5125,0.3565
ap,0.5,0,0,0,5.0,64,0.773,0.8865,0.9218,0.7325,0.6661,0.5169,0.3595
ap,0.5,0,0,0,5.0,128,0.7842,0.8918,0.9283,0.7417,0.6738,0.5213,0.3617
rr,0.5,0,0,0,5.0,8,0.2227,0.5655,0.4674,0.2409,0.1993,0.1786,0.157
rr,0.5,0,0,0,5.0,32,0.2167,0.56,0.4586,0.2349,0.1948,0.1748,0.1542
rr,0.5,0,0,0,5.0,64,0.2084,0.5583,0.4396,0.2352,0.1923,0.1762,0.1564
rr,0.5,0,0,0,5.0,16,0.2253,0.5637,0.4672,0.2383,0.2015,0.1796,0.1573
rr,0.5,0,0,0,5.0,128,0.2076,0.556,0.4481,0.2317,0.1875,0.171,0.1534
dcg,0.01,0,0,0,1.0,16,0.5005,0.7791,0.7042,0.5724,0.4833,0.4205,0.3185
dcg,0.01,0,0,0,1.0,32,0.5058,0.7793,0.7009,0.5732,0.4863,0.4212,0.3183
dcg,0.01,0,0,0,1.0,64,0.5066,0.7818,0.7085,0.5767,0.4881,0.4226,0.3191
