NDCG@5,NDCG,AP,RR,RBP_80,RBP_90,RBP_95
0.7227,0.9148,0.7444,1.0,0.7396,0.6122,0.4402
0.8688,0.9615,0.8763,1.0,0.7462,0.5244,0.3205
1.0,0.9717,0.9103,1.0,0.6861,0.4378,0.2532
1.0,1.0,1.0,1.0,0.7903,0.5217,0.3017
0.4913,0.7067,0.5442,0.5,0.4313,0.3224,0.1997
0.8539,0.9559,0.8677,1.0,0.7051,0.4802,0.2872
1.0,0.9812,0.9269,1.0,0.8911,0.6781,0.4408
0.5531,0.8587,0.6206,1.0,0.6256,0.5521,0.4269
0.786,0.9158,0.7867,1.0,0.7791,0.7483,0.6032
1.0,0.9921,0.9661,1.0,0.9518,0.7746,0.5255
0.8688,0.9322,0.7772,1.0,0.7865,0.6295,0.4466
1.0,0.952,0.8225,1.0,0.8987,0.8562,0.7361
0.7227,0.9326,0.8083,1.0,0.6559,0.4597,0.2809
0.8539,0.9471,0.8429,1.0,0.6858,0.4725,0.285
0.8688,0.9642,0.8857,1.0,0.7163,0.4847,0.2889
0.8304,0.9496,0.8734,1.0,0.6623,0.4407,0.2565
0.6399,0.8635,0.6719,1.0,0.6396,0.5596,0.4084
0.7227,0.9375,0.8211,1.0,0.6664,0.465,0.2828
1.0,0.9727,0.9095,1.0,0.7327,0.4913,0.2909
0.8688,0.9673,0.8965,1.0,0.6774,0.4378,0.2541
1.0,1.0,1.0,1.0,0.8322,0.5695,0.3366
1.0,0.9933,0.9714,1.0,0.9632,0.8154,0.5723
0.6548,0.8715,0.7064,1.0,0.5862,0.4344,0.273
0.8539,0.9618,0.8812,1.0,0.8837,0.8136,0.6285
0.3836,0.6851,0.458,0.5,0.3933,0.3098,0.2092
1.0,0.9338,0.7308,1.0,0.8979,0.8443,0.7765
1.0,0.9786,0.9067,1.0,0.9785,0.9155,0.7922
1.0,0.9675,0.8929,1.0,0.7253,0.4828,0.2868
1.0,0.9951,0.9821,1.0,0.7798,0.5164,0.2998
0.6608,0.7524,0.585,0.5,0.5142,0.3946,0.2573
1.0,0.9419,0.7892,1.0,0.8617,0.693,0.4989
1.0,0.9868,0.95,1.0,0.9101,0.7186,0.4749
0.6608,0.7793,0.656,0.5,0.565,0.4318,0.2727
0.8688,0.9818,0.9429,1.0,0.6428,0.397,0.2222
1.0,0.9717,0.9103,1.0,0.6861,0.4378,0.2532
0.8688,0.904,0.6997,1.0,0.7324,0.6037,0.4524
1.0,1.0,1.0,1.0,0.8322,0.5695,0.3366
1.0,0.9866,0.9458,1.0,0.9751,0.9281,0.8049
0.6844,0.8987,0.7404,1.0,0.5736,0.396,0.2407
0.8688,0.9896,0.9667,1.0,0.6559,0.4029,0.2242
0.6548,0.8251,0.5727,1.0,0.5467,0.465,0.3514
0.8688,0.9538,0.8536,1.0,0.8305,0.6998,0.4969
1.0,1.0,1.0,1.0,0.9976,0.9419,0.7497
0.786,0.9214,0.7749,1.0,0.7774,0.7756,0.7312
0.8688,0.9458,0.8271,1.0,0.7155,0.5003,0.3102
0.8539,0.9477,0.8494,1.0,0.7633,0.5856,0.3781
0.7227,0.905,0.7365,1.0,0.6013,0.426,0.2679
0.6844,0.9073,0.7644,1.0,0.541,0.3577,0.2101
0.8688,0.9415,0.797,1.0,0.852,0.7332,0.5557
0.6992,0.8932,0.7077,1.0,0.641,0.4859,0.3213
1.0,1.0,1.0,1.0,0.6723,0.4095,0.2262
1.0,1.0,1.0,1.0,0.6723,0.4095,0.2262
0.6844,0.8903,0.7187,1.0,0.5558,0.3883,0.2384
0.7227,0.9143,0.7484,1.0,0.679,0.5013,0.326
0.8688,0.9423,0.8226,1.0,0.6747,0.4577,0.278
0.8688,0.9537,0.8593,1.0,0.6508,0.4257,0.2502
0.786,0.9099,0.8179,1.0,0.6303,0.4317,0.2542
0.8304,0.9067,0.7478,1.0,0.6165,0.4378,0.2726
1.0,0.9355,0.7657,1.0,0.8687,0.7333,0.5719
1.0,0.9844,0.9437,1.0,0.8281,0.59,0.3613
1.0,0.9275,0.7483,1.0,0.8277,0.6947,0.5292
1.0,0.9594,0.8588,1.0,0.8113,0.5789,0.3671
1.0,0.975,0.9015,1.0,0.9131,0.7343,0.5048
0.8304,0.8988,0.7202,1.0,0.65,0.4908,0.3236
0.8688,0.93,0.7417,1.0,0.8425,0.7986,0.7374
0.6399,0.8518,0.6551,1.0,0.5879,0.4705,0.3171
1.0,0.9596,0.8401,1.0,0.9313,0.7758,0.5671
0.7227,0.926,0.789,1.0,0.6116,0.4017,0.2401
0.8688,0.9025,0.6978,1.0,0.7247,0.6591,0.5824
0.8304,0.8948,0.7144,1.0,0.5977,0.4199,0.2643
0.6844,0.9122,0.7783,1.0,0.5494,0.3625,0.2118
1.0,0.9764,0.9025,1.0,0.9542,0.8446,0.6459
1.0,0.985,0.9481,1.0,0.7593,0.5034,0.2948
0.8688,0.9617,0.8819,1.0,0.6659,0.4348,0.2536
0.7227,0.9489,0.8552,1.0,0.6479,0.431,0.253
1.0,0.9747,0.9062,1.0,0.9196,0.7978,0.5879
1.0,0.9616,0.863,1.0,0.8276,0.6146,0.399
1.0,0.9798,0.9301,1.0,0.8174,0.5849,0.3595
0.8539,0.9283,0.781,1.0,0.709,0.5163,0.3318
0.8304,0.8973,0.7093,1.0,0.6957,0.5857,0.4307
0.7227,0.9347,0.8122,1.0,0.6919,0.5011,0.3129
1.0,0.9827,0.9188,1.0,0.9963,0.9458,0.7868
0.6608,0.7929,0.6578,0.5,0.6042,0.4882,0.3252
