NDCG@5,NDCG,AP,RR,RBP_80,RBP_90,RBP_95
0.8539,0.9458,0.8326,1.0,0.8101,0.6711,0.4699
0.8304,0.9221,0.7849,1.0,0.6831,0.4895,0.3067
0.8688,0.9647,0.8889,1.0,0.6731,0.4343,0.2526
1.0,1.0,1.0,1.0,0.7903,0.5217,0.3017
0.6844,0.9032,0.7533,1.0,0.5343,0.3534,0.2084
1.0,0.9764,0.9201,1.0,0.7419,0.494,0.2914
1.0,0.9786,0.9179,1.0,0.8834,0.6732,0.439
0.6164,0.8275,0.5914,1.0,0.5585,0.5267,0.4249
1.0,0.9683,0.8697,1.0,0.9482,0.8248,0.6279
0.8688,0.9648,0.882,1.0,0.8735,0.7226,0.5032
0.8539,0.9557,0.8637,1.0,0.8396,0.6929,0.4786
1.0,0.9753,0.8955,1.0,0.9647,0.9021,0.7731
0.8688,0.9654,0.8885,1.0,0.7194,0.4856,0.289
0.6992,0.9021,0.7423,1.0,0.6075,0.4383,0.2737
1.0,0.9788,0.9276,1.0,0.7462,0.4975,0.2929
0.5148,0.7536,0.6208,0.5,0.511,0.3865,0.2401
0.6992,0.9038,0.731,1.0,0.7183,0.5926,0.4181
1.0,0.9815,0.9367,1.0,0.7516,0.5014,0.2945
0.8304,0.9493,0.8736,1.0,0.7042,0.4885,0.2915
0.6164,0.8237,0.6212,1.0,0.4875,0.3661,0.232
1.0,0.9754,0.9144,1.0,0.7784,0.5355,0.3234
1.0,0.9854,0.9424,1.0,0.9416,0.7948,0.5627
0.786,0.8909,0.7568,1.0,0.6251,0.4544,0.2802
1.0,0.98,0.9169,1.0,0.9559,0.8427,0.6387
0.8304,0.9236,0.794,1.0,0.6139,0.413,0.2463
1.0,0.9515,0.7917,1.0,0.9499,0.8815,0.8103
1.0,0.9557,0.8289,1.0,0.9163,0.8377,0.7357
0.8688,0.958,0.8687,1.0,0.7032,0.4788,0.2869
0.6548,0.8864,0.7497,1.0,0.6172,0.4527,0.2799
0.8304,0.9271,0.8028,1.0,0.6582,0.4612,0.2812
1.0,0.9563,0.8438,1.0,0.8713,0.7286,0.5269
1.0,0.9798,0.9216,1.0,0.8977,0.7017,0.4661
0.6164,0.848,0.6813,1.0,0.558,0.4268,0.271
1.0,1.0,1.0,1.0,0.6723,0.4095,0.2262
0.3156,0.6675,0.505,0.3333,0.4075,0.3453,0.2268
0.8688,0.9386,0.7887,1.0,0.8348,0.6768,0.4854
1.0,1.0,1.0,1.0,0.8322,0.5695,0.3366
1.0,0.9891,0.9473,1.0,0.9961,0.9532,0.8097
0.8304,0.9292,0.8107,1.0,0.6236,0.4204,0.2494
0.786,0.8991,0.7862,1.0,0.5647,0.3727,0.2155
0.6548,0.8604,0.6619,1.0,0.6189,0.5328,0.3859
1.0,0.9664,0.8816,1.0,0.8753,0.7203,0.5028
1.0,1.0,1.0,1.0,0.9976,0.9419,0.7497
1.0,0.9747,0.882,1.0,0.9898,0.9428,0.8237
0.6992,0.89,0.7076,1.0,0.6072,0.4552,0.296
0.8304,0.9455,0.8592,1.0,0.773,0.5947,0.3816
0.8688,0.9642,0.8857,1.0,0.7163,0.4847,0.2889
0.7227,0.9566,0.8762,1.0,0.606,0.3832,0.2181
1.0,0.9787,0.9123,1.0,0.9487,0.8193,0.6048
1.0,0.9646,0.8796,1.0,0.7825,0.561,0.3499
1.0,1.0,1.0,1.0,0.6723,0.4095,0.2262
0.8688,0.9818,0.9429,1.0,0.6428,0.397,0.2222
0.8304,0.9329,0.8218,1.0,0.6303,0.4247,0.251
0.7227,0.9229,0.7771,1.0,0.6892,0.5179,0.3353
0.6844,0.9003,0.7453,1.0,0.6082,0.4414,0.2751
0.8688,0.9673,0.8965,1.0,0.6774,0.4378,0.2541
0.8304,0.9329,0.8218,1.0,0.6303,0.4247,0.251
0.8304,0.9269,0.8044,1.0,0.6571,0.4634,0.2825
1.0,0.9764,0.9058,1.0,0.9444,0.8412,0.6488
0.8304,0.9418,0.8485,1.0,0.7442,0.5574,0.3512
1.0,0.9795,0.9129,1.0,0.9603,0.8234,0.6031
0.8304,0.9268,0.8035,1.0,0.7276,0.5667,0.3706
0.8539,0.9628,0.8907,1.0,0.8588,0.7282,0.5097
0.5087,0.8047,0.5563,1.0,0.4783,0.4075,0.2935
1.0,0.9581,0.8189,1.0,0.9664,0.8927,0.7953
0.5531,0.8624,0.6567,1.0,0.5648,0.4583,0.3143
1.0,0.9616,0.8505,1.0,0.9168,0.7716,0.5754
0.8688,0.9704,0.9056,1.0,0.6828,0.4417,0.2557
0.8539,0.9461,0.8264,1.0,0.8416,0.7955,0.6694
0.7227,0.8998,0.7222,1.0,0.5917,0.4187,0.2648
0.8304,0.9374,0.835,1.0,0.5863,0.3763,0.216
1.0,0.9803,0.9143,1.0,0.9708,0.857,0.6506
1.0,0.9878,0.9571,1.0,0.7647,0.5073,0.2964
0.6844,0.8789,0.6926,1.0,0.5346,0.3779,0.2348
1.0,0.9931,0.9762,1.0,0.7247,0.4627,0.263
1.0,0.9924,0.9665,1.0,0.9723,0.8434,0.6097
0.8688,0.9543,0.8518,1.0,0.7964,0.6122,0.4022
1.0,0.9694,0.8975,1.0,0.7918,0.5705,0.3543
1.0,0.9764,0.9182,1.0,0.8112,0.5789,0.3567
1.0,0.9594,0.8569,1.0,0.8541,0.685,0.4723
0.8304,0.9285,0.8049,1.0,0.6932,0.5003,0.312
1.0,0.9668,0.8636,1.0,0.9501,0.8722,0.7435
1.0,0.986,0.948,1.0,0.8348,0.5902,0.3605
1.0,0.9635,0.8616,1.0,0.8914,0.7054,0.4892
0.8688,0.9604,0.8766,1.0,0.6643,0.4319,0.2522
0.5148,0.7918,0.6645,0.5,0.5859,0.5367,0.3795
1.0,0.9709,0.8776,1.0,0.9597,0.8505,0.6696
0.6608,0.8524,0.6858,0.5,0.6486,0.6752,0.6247
1.0,0.986,0.9526,1.0,0.8002,0.5535,0.3311
0.786,0.8896,0.7552,1.0,0.5916,0.4114,0.247
1.0,1.0,1.0,1.0,0.7903,0.5217,0.3017
0.7227,0.9152,0.7542,1.0,0.7016,0.5582,0.3814
1.0,1.0,1.0,1.0,0.8322,0.5695,0.3366
0.786,0.9002,0.7861,1.0,0.6114,0.4216,0.2506
1.0,1.0,1.0,1.0,0.9976,0.9419,0.7497
0.786,0.9356,0.83,1.0,0.8299,0.8366,0.7277
0.786,0.9078,0.7523,1.0,0.7597,0.7294,0.6287
1.0,1.0,1.0,1.0,0.6723,0.4095,0.2262
1.0,0.9561,0.849,1.0,0.8475,0.6974,0.4923
1.0,1.0,1.0,1.0,0.7379,0.4686,0.2649
0.7227,0.9566,0.8762,1.0,0.606,0.3832,0.2181
0.786,0.8991,0.7862,1.0,0.5647,0.3727,0.2155
0.8539,0.9642,0.8957,1.0,0.7567,0.5354,0.3252
0.6164,0.8735,0.7398,1.0,0.6593,0.587,0.412
1.0,0.9877,0.9583,1.0,0.7143,0.4573,0.2611
1.0,0.9822,0.9351,1.0,0.8486,0.6225,0.39
1.0,1.0,1.0,1.0,0.6723,0.4095,0.2262
0.8688,0.9591,0.869,1.0,0.7067,0.4774,0.2858
0.8539,0.9705,0.9151,1.0,0.6879,0.4488,0.2588
0.6844,0.9067,0.7635,1.0,0.5867,0.4065,0.2452
0.5148,0.7348,0.5926,0.5,0.4643,0.3376,0.205
1.0,0.9963,0.9861,1.0,0.8238,0.5647,0.3348
0.8688,0.9715,0.9087,1.0,0.7314,0.4938,0.2923
1.0,0.9584,0.8613,1.0,0.831,0.6656,0.4533
1.0,1.0,1.0,1.0,0.7903,0.5217,0.3017
0.6992,0.8666,0.646,1.0,0.5788,0.4478,0.3066
0.4704,0.8015,0.5926,1.0,0.4498,0.3543,0.229
0.6164,0.8576,0.7073,1.0,0.5925,0.4721,0.3054
0.6608,0.7749,0.6627,0.5,0.5462,0.3975,0.2429
0.6844,0.9032,0.7533,1.0,0.5343,0.3534,0.2084
1.0,0.9616,0.8606,1.0,0.8923,0.7676,0.5688
0.4913,0.712,0.5378,0.5,0.4475,0.3561,0.2295
0.8688,0.9654,0.8871,1.0,0.7895,0.5655,0.351
0.8539,0.926,0.7777,1.0,0.7188,0.5468,0.3603
1.0,1.0,1.0,1.0,0.7379,0.4686,0.2649
1.0,1.0,1.0,1.0,0.7379,0.4686,0.2649
0.786,0.9062,0.7473,1.0,0.7868,0.717,0.5659
0.8688,0.9838,0.9484,1.0,0.7084,0.4561,0.2609
0.6164,0.8389,0.6544,1.0,0.5401,0.4149,0.2662
1.0,0.9938,0.9765,1.0,0.8507,0.6035,0.3663
0.8539,0.967,0.9029,1.0,0.6223,0.3898,0.2201
0.6844,0.9147,0.7885,1.0,0.6018,0.4156,0.2486
0.8304,0.9512,0.8767,1.0,0.6099,0.3876,0.2198
0.786,0.9122,0.7633,1.0,0.7688,0.7454,0.6447
0.8539,0.9672,0.9068,1.0,0.7634,0.5397,0.3269
0.8539,0.967,0.9029,1.0,0.6223,0.3898,0.2201
0.8688,0.9896,0.9667,1.0,0.6559,0.4029,0.2242
0.8688,0.9485,0.8388,1.0,0.6869,0.4626,0.2796
0.6548,0.8661,0.6947,1.0,0.5755,0.4293,0.2713
