NDCG@5,NDCG,AP,RR,RBP_80,RBP_90,RBP_95
0.0,0.5538,0.2764,0.1111,0.0713,0.176,0.2297
0.4852,0.7477,0.4454,1.0,0.3952,0.313,0.232
0.6399,0.8506,0.6631,1.0,0.5238,0.3793,0.236
0.4704,0.7851,0.5452,1.0,0.4356,0.361,0.247
0.3452,0.6411,0.4153,0.5,0.3284,0.2719,0.182
0.1312,0.5915,0.3833,0.2,0.2819,0.2972,0.223
0.6399,0.7653,0.4467,1.0,0.4474,0.3611,0.2901
0.1312,0.6279,0.3453,0.2,0.2422,0.3145,0.3001
0.6164,0.7758,0.4363,1.0,0.4979,0.4409,0.3787
0.3008,0.6098,0.2982,0.3333,0.2335,0.2415,0.2487
0.1312,0.562,0.2619,0.2,0.1354,0.1908,0.22
0.214,0.6682,0.3057,0.5,0.2142,0.2261,0.2551
0.4469,0.665,0.4655,0.3333,0.4052,0.3451,0.2388
0.3156,0.6058,0.353,0.3333,0.2956,0.2754,0.2102
0.1696,0.5909,0.3407,0.3333,0.2648,0.2716,0.2113
0.0,0.5004,0.2648,0.1429,0.1311,0.1956,0.1707
0.0,0.5408,0.2509,0.1429,0.0865,0.1682,0.2095
0.4852,0.7617,0.4874,1.0,0.3933,0.3236,0.2296
0.7227,0.9139,0.7566,1.0,0.6202,0.4361,0.2715
0.4704,0.7946,0.5807,1.0,0.4367,0.3484,0.2271
0.1461,0.5833,0.334,0.25,0.2446,0.2747,0.226
0.1461,0.6141,0.3169,0.25,0.1835,0.2615,0.2811
0.0,0.5496,0.3209,0.1667,0.1933,0.2503,0.207
0.0,0.634,0.3365,0.1667,0.1622,0.2654,0.3074
0.3008,0.5954,0.3604,0.3333,0.283,0.2705,0.1978
0.214,0.7496,0.3839,0.5,0.2694,0.3311,0.3835
0.3392,0.7127,0.3128,1.0,0.34,0.2908,0.2654
0.4704,0.7673,0.5043,1.0,0.4112,0.337,0.2347
0.214,0.6069,0.3391,0.5,0.2561,0.257,0.205
0.5531,0.788,0.505,1.0,0.4039,0.2983,0.2147
0.5087,0.7263,0.3671,1.0,0.3807,0.3083,0.2798
0.3156,0.6442,0.3544,0.3333,0.322,0.3205,0.2816
0.3601,0.6691,0.427,0.5,0.3728,0.3201,0.2289
0.3601,0.6345,0.3933,0.5,0.3152,0.2559,0.1747
0.3601,0.6474,0.4078,0.5,0.3312,0.2867,0.203
0.6548,0.8058,0.5002,1.0,0.571,0.4592,0.3598
0.5087,0.778,0.4937,1.0,0.4346,0.3445,0.2478
0.1312,0.6485,0.3072,0.2,0.1289,0.1983,0.257
0.2773,0.5618,0.3237,0.25,0.2374,0.2462,0.1884
0.1696,0.5537,0.3117,0.3333,0.2279,0.2233,0.1646
0.4852,0.7244,0.4,1.0,0.3442,0.3083,0.2721
0.214,0.6383,0.3177,0.5,0.274,0.2757,0.2646
0.1461,0.6582,0.3298,0.25,0.2311,0.292,0.3105
0.0,0.6653,0.3218,0.1111,0.0844,0.1855,0.2687
0.3836,0.6878,0.4326,0.5,0.4118,0.3353,0.2422
0.214,0.6425,0.369,0.5,0.2988,0.312,0.2601
0.1312,0.5519,0.3061,0.2,0.208,0.2445,0.2008
0.4913,0.6873,0.4969,0.5,0.4,0.3046,0.193
0.3452,0.7194,0.4303,0.5,0.4105,0.4238,0.3781
0.1461,0.5903,0.341,0.25,0.2345,0.2831,0.2432
0.3392,0.7377,0.4702,1.0,0.3225,0.2578,0.1758
0.5148,0.7045,0.5167,0.5,0.4139,0.3067,0.1933
0.3008,0.6329,0.4353,0.3333,0.3483,0.3131,0.2149
0.1312,0.5897,0.344,0.2,0.2446,0.2907,0.2435
0.6548,0.8412,0.6243,1.0,0.5354,0.3908,0.2534
0.1696,0.5925,0.3588,0.3333,0.2823,0.2705,0.1972
0.1312,0.5338,0.3,0.2,0.1888,0.2285,0.1834
0.0,0.4964,0.252,0.125,0.0981,0.1809,0.177
0.3392,0.7449,0.4184,1.0,0.3371,0.3626,0.3636
0.3452,0.676,0.4242,0.5,0.3857,0.3527,0.2657
0.1461,0.6228,0.3033,0.25,0.2066,0.2589,0.275
0.7227,0.8538,0.5996,1.0,0.5715,0.4296,0.3053
0.6164,0.8032,0.5259,1.0,0.5308,0.4747,0.3757
0.4913,0.7017,0.4623,0.5,0.4407,0.3781,0.2746
0.3836,0.7356,0.3526,0.5,0.4017,0.3678,0.3482
0.3836,0.6709,0.3925,0.5,0.3761,0.3135,0.2434
0.0,0.6159,0.3352,0.125,0.1117,0.2328,0.2944
0.1461,0.5443,0.3013,0.25,0.2071,0.2316,0.1832
0.0,0.6349,0.3015,0.1667,0.1613,0.2431,0.2748
0.0,0.5036,0.249,0.1667,0.1194,0.1856,0.1766
0.0,0.4786,0.2515,0.1429,0.1212,0.1769,0.1494
0.3601,0.7154,0.4025,0.5,0.4044,0.3855,0.3621
0.2773,0.644,0.4746,0.25,0.3683,0.354,0.2478
0.6608,0.7466,0.5874,0.5,0.4994,0.3629,0.2282
0.3008,0.5868,0.3437,0.3333,0.2709,0.2593,0.1925
0.6548,0.773,0.4269,1.0,0.5093,0.4045,0.336
0.6399,0.817,0.5556,1.0,0.5567,0.4499,0.3226
0.4852,0.7656,0.4833,1.0,0.4202,0.362,0.2699
0.1312,0.5722,0.3134,0.2,0.2107,0.2605,0.23
0.3156,0.6136,0.306,0.3333,0.2502,0.25,0.249
0.786,0.8273,0.5838,1.0,0.5415,0.3918,0.2628
0.3836,0.7172,0.3528,0.5,0.4376,0.3645,0.3216
0.1312,0.5849,0.3378,0.2,0.2304,0.2821,0.2415
0.214,0.6497,0.3428,0.5,0.278,0.2938,0.2846
0.4704,0.7451,0.4658,1.0,0.3555,0.2862,0.2005
0.6608,0.7571,0.5355,0.5,0.5596,0.4482,0.3219
0.3836,0.7565,0.4654,0.5,0.472,0.4691,0.4297
0.0,0.6304,0.3097,0.0769,0.0454,0.1521,0.2492
0.3452,0.6581,0.4136,0.5,0.3368,0.3267,0.2487
0.2773,0.5847,0.3633,0.25,0.2776,0.2733,0.1993
0.5531,0.782,0.4942,1.0,0.3963,0.2894,0.21
0.3452,0.6727,0.4019,0.5,0.3599,0.3485,0.2858
0.6844,0.8528,0.6186,1.0,0.5481,0.4083,0.2733
0.3392,0.7065,0.4156,1.0,0.2849,0.2484,0.1867
0.1696,0.6564,0.3396,0.3333,0.2095,0.239,0.2906
0.0,0.6415,0.3071,0.125,0.1034,0.1961,0.2641
0.1461,0.6438,0.314,0.25,0.1701,0.24,0.2865
0.3008,0.6237,0.4379,0.3333,0.3416,0.287,0.1883
0.2773,0.6348,0.3476,0.25,0.2783,0.3064,0.2917
0.1312,0.576,0.3753,0.2,0.2616,0.2776,0.2034
0.214,0.6154,0.3763,0.5,0.2868,0.2513,0.1748
0.6399,0.8337,0.6256,1.0,0.4607,0.321,0.1975
0.214,0.6347,0.366,0.5,0.3056,0.2946,0.2309
0.1312,0.5914,0.3133,0.2,0.2146,0.2727,0.2557
0.3392,0.7224,0.4415,1.0,0.3107,0.2683,0.1954
0.3392,0.7192,0.4039,1.0,0.3333,0.3081,0.2555
0.0,0.4807,0.2485,0.1429,0.1279,0.1775,0.1487
0.4704,0.7786,0.5321,1.0,0.4265,0.3536,0.2432
0.6992,0.928,0.8135,1.0,0.6223,0.4229,0.2507
0.1696,0.5864,0.3567,0.3333,0.2668,0.2675,0.1974
0.3008,0.6065,0.4033,0.3333,0.3107,0.2734,0.1841
0.8539,0.9029,0.7188,1.0,0.6303,0.4485,0.2897
0.5531,0.8224,0.5671,1.0,0.4638,0.3473,0.2363
0.1312,0.6304,0.3807,0.2,0.2566,0.3336,0.3052
0.214,0.5816,0.3032,0.5,0.2144,0.2207,0.1884
0.1461,0.5857,0.326,0.25,0.2349,0.274,0.2357
0.1696,0.6039,0.3875,0.3333,0.2948,0.2869,0.2058
0.3156,0.6238,0.3776,0.3333,0.3084,0.3054,0.2379
0.6844,0.8905,0.719,1.0,0.5644,0.3845,0.2346
0.2773,0.6092,0.4443,0.25,0.3291,0.2894,0.1906
0.214,0.6657,0.3542,0.5,0.2693,0.2966,0.3087
0.5087,0.7842,0.522,1.0,0.4069,0.3085,0.2085
0.1312,0.5818,0.3304,0.2,0.2274,0.2755,0.2378
0.6992,0.816,0.5225,1.0,0.5244,0.3832,0.2767
0.5531,0.8043,0.5392,1.0,0.4107,0.2922,0.1989
0.1461,0.5821,0.3699,0.25,0.2694,0.2771,0.2025
0.3452,0.7043,0.3878,0.5,0.3824,0.3973,0.3565
0.1461,0.5595,0.3363,0.25,0.2273,0.2536,0.1939
0.1312,0.5828,0.365,0.2,0.2587,0.2864,0.2204
0.3601,0.6621,0.3951,0.5,0.3467,0.3242,0.2553
0.3392,0.7697,0.5322,1.0,0.373,0.2901,0.1886
0.0,0.4928,0.2541,0.1429,0.119,0.186,0.1664
0.2773,0.5492,0.3182,0.25,0.2337,0.2284,0.1665
0.1696,0.6514,0.3041,0.3333,0.2352,0.2577,0.2691
0.5087,0.7283,0.413,1.0,0.3499,0.2681,0.2113
0.3392,0.7454,0.4798,1.0,0.3357,0.2637,0.1777
0.3601,0.6285,0.3828,0.5,0.3064,0.2489,0.1717
0.2773,0.5841,0.3436,0.25,0.2639,0.2743,0.2126
0.5148,0.7064,0.4828,0.5,0.4405,0.3454,0.2356
0.4704,0.7445,0.3964,1.0,0.4021,0.3647,0.3372
0.6399,0.8551,0.6787,1.0,0.4959,0.3428,0.2058
0.5087,0.7556,0.4562,1.0,0.3901,0.3274,0.254
0.6992,0.8042,0.5043,1.0,0.4914,0.36,0.2694
0.4852,0.7617,0.4981,1.0,0.3574,0.2684,0.1785
0.6399,0.8127,0.5699,1.0,0.479,0.3666,0.2456
0.7227,0.8141,0.4774,1.0,0.5944,0.4483,0.3623
0.5087,0.7883,0.5145,1.0,0.459,0.3809,0.2768
0.0,0.495,0.2547,0.1429,0.1243,0.1882,0.1669
0.214,0.614,0.356,0.5,0.2648,0.2684,0.211
0.1461,0.5247,0.2925,0.25,0.191,0.2115,0.1617
0.3601,0.6859,0.4091,0.5,0.3867,0.3659,0.2993
0.3601,0.68,0.3954,0.5,0.3794,0.3564,0.2919
0.0,0.5484,0.3025,0.125,0.1153,0.224,0.2318
0.0,0.5417,0.2629,0.1667,0.1224,0.1908,0.2116
0.0,0.6048,0.3034,0.1667,0.1592,0.2416,0.2703
0.3452,0.6446,0.3417,0.5,0.2846,0.2893,0.2704
1.0,0.8022,0.4028,1.0,0.6934,0.4821,0.3738
0.4852,0.766,0.4798,1.0,0.4275,0.3407,0.2451
0.3452,0.7211,0.3827,0.5,0.387,0.3914,0.3715
0.3392,0.7143,0.4371,1.0,0.2832,0.2347,0.1672
0.3452,0.6169,0.3425,0.5,0.283,0.2602,0.2033
0.0,0.5448,0.2589,0.1667,0.0916,0.1689,0.2129
0.4704,0.7233,0.3304,1.0,0.3195,0.2768,0.2845
0.4852,0.789,0.4849,1.0,0.4927,0.4566,0.3983
0.3601,0.677,0.4699,0.5,0.3819,0.3239,0.2184
0.3836,0.6975,0.4329,0.5,0.4187,0.3615,0.2779
0.1461,0.6242,0.2902,0.25,0.1538,0.1929,0.2426
0.2773,0.5967,0.3355,0.25,0.2668,0.2833,0.2368
0.0,0.5515,0.2762,0.1,0.0496,0.1507,0.2228
0.5087,0.7928,0.5271,1.0,0.4473,0.3421,0.2345
