NDCG@5,NDCG,AP,RR,RBP_80,RBP_90,RBP_95
0.1312,0.6832,0.5029,0.2,0.3212,0.4317,0.3788
1.0,0.9918,0.9705,1.0,0.8134,0.5594,0.333
0.4469,0.6688,0.5008,0.3333,0.4088,0.3428,0.2254
0.8304,0.924,0.7929,1.0,0.6544,0.456,0.2786
0.6608,0.7629,0.6544,0.5,0.5059,0.3526,0.2094
0.8688,0.9764,0.924,1.0,0.7419,0.4991,0.2941
0.8304,0.9154,0.7577,1.0,0.7381,0.5891,0.404
0.8304,0.8589,0.6162,1.0,0.6069,0.5205,0.4201
0.4913,0.7743,0.5449,0.5,0.481,0.5147,0.4741
0.6164,0.8433,0.6332,1.0,0.6021,0.5559,0.4286
0.6548,0.8539,0.6372,1.0,0.6198,0.5453,0.4115
0.4913,0.8476,0.6746,0.5,0.6417,0.6988,0.6387
0.5296,0.7758,0.6497,0.5,0.5591,0.4305,0.2725
0.5148,0.7638,0.6282,0.5,0.5386,0.4232,0.2704
0.8688,0.921,0.7683,1.0,0.6323,0.4289,0.2666
0.786,0.8976,0.7802,1.0,0.6067,0.4205,0.2504
0.1696,0.6988,0.5055,0.3333,0.3781,0.4411,0.3672
0.1312,0.6041,0.4259,0.2,0.2885,0.3205,0.2374
0.8539,0.9611,0.8844,1.0,0.7147,0.4875,0.2903
0.4469,0.6727,0.5148,0.3333,0.4147,0.3491,0.2283
0.8539,0.9543,0.8624,1.0,0.7386,0.5195,0.3181
1.0,0.9704,0.8831,1.0,0.9268,0.7608,0.5365
0.8688,0.9731,0.9129,1.0,0.7352,0.4948,0.2924
1.0,0.9596,0.8388,1.0,0.9349,0.795,0.5967
0.4913,0.7164,0.5494,0.5,0.4559,0.3609,0.2312
0.786,0.8993,0.687,1.0,0.6962,0.6886,0.6884
0.8539,0.9561,0.8457,1.0,0.8908,0.8679,0.7593
0.5148,0.7677,0.6401,0.5,0.547,0.428,0.2722
1.0,0.9911,0.9683,1.0,0.7714,0.5116,0.2981
0.4913,0.7359,0.5856,0.5,0.4937,0.4074,0.2659
0.8304,0.9318,0.7981,1.0,0.8156,0.7017,0.5144
0.8304,0.9153,0.7632,1.0,0.7318,0.6111,0.4313
0.6844,0.889,0.7151,1.0,0.585,0.4278,0.27
1.0,1.0,1.0,1.0,0.6723,0.4095,0.2262
0.1312,0.5737,0.3842,0.2,0.2539,0.2798,0.2055
1.0,0.9028,0.6835,1.0,0.7692,0.5831,0.4306
1.0,0.9536,0.8479,1.0,0.7341,0.5056,0.3112
0.3601,0.8315,0.6752,0.5,0.5035,0.6108,0.6249
1.0,0.9877,0.9583,1.0,0.7143,0.4573,0.2611
0.6164,0.8442,0.6783,1.0,0.4918,0.3454,0.2072
0.8688,0.9281,0.7735,1.0,0.7477,0.5872,0.4047
1.0,0.9836,0.9326,1.0,0.9323,0.7538,0.5152
1.0,0.9956,0.9796,1.0,0.9923,0.928,0.7389
0.8688,0.9567,0.8375,1.0,0.9001,0.8653,0.7842
0.8688,0.9407,0.8153,1.0,0.7021,0.4961,0.3094
0.6608,0.7913,0.6431,0.5,0.6011,0.504,0.3461
0.3156,0.6793,0.5179,0.3333,0.4198,0.3774,0.2562
0.6844,0.8845,0.7089,1.0,0.5023,0.3374,0.2029
1.0,0.9556,0.8258,1.0,0.9225,0.7612,0.5602
0.4852,0.7824,0.5232,1.0,0.4407,0.3866,0.2854
0.8688,0.9896,0.9667,1.0,0.6559,0.4029,0.2242
0.6164,0.8316,0.6454,1.0,0.4703,0.3347,0.2035
0.8539,0.9484,0.8486,1.0,0.6454,0.4275,0.2514
0.8304,0.8954,0.711,1.0,0.6435,0.4847,0.3209
0.8539,0.9277,0.787,1.0,0.6471,0.4476,0.2752
0.8539,0.9571,0.8722,1.0,0.6623,0.4344,0.2536
0.8539,0.9311,0.8,1.0,0.6139,0.4067,0.2433
1.0,1.0,1.0,1.0,0.7903,0.5217,0.3017
0.4913,0.7424,0.4622,0.5,0.447,0.431,0.4042
0.8688,0.9592,0.8659,1.0,0.7763,0.5555,0.3467
1.0,0.9479,0.8021,1.0,0.8991,0.7383,0.5496
0.5087,0.8144,0.5647,1.0,0.5169,0.4322,0.314
0.8688,0.9085,0.7064,1.0,0.7589,0.6,0.4339
0.5148,0.7608,0.5892,0.5,0.5343,0.4547,0.3133
1.0,0.9212,0.6945,1.0,0.9017,0.7878,0.6869
0.7227,0.9117,0.741,1.0,0.6732,0.4965,0.3241
0.786,0.8859,0.7078,1.0,0.6927,0.6504,0.5273
0.5148,0.7497,0.6079,0.5,0.5051,0.3802,0.2372
0.8539,0.9471,0.8178,1.0,0.8759,0.8151,0.6636
0.6164,0.8238,0.6181,1.0,0.5081,0.3989,0.2607
0.3836,0.7094,0.5333,0.5,0.4223,0.3166,0.1977
0.8688,0.9653,0.8802,1.0,0.9028,0.8215,0.6396
0.8688,0.9804,0.9379,1.0,0.7503,0.5039,0.2959
0.1696,0.6216,0.425,0.3333,0.3266,0.3073,0.2139
0.6608,0.7983,0.7345,0.5,0.5903,0.4217,0.2517
0.786,0.8681,0.6425,1.0,0.6956,0.6029,0.4748
0.7227,0.9089,0.7299,1.0,0.7,0.544,0.3714
