NDCG@5,NDCG,AP,RR,RBP_80,RBP_90,RBP_95
1.0,0.9842,0.944,1.0,0.9106,0.7387,0.4987
1.0,0.9963,0.9861,1.0,0.8238,0.5647,0.3348
1.0,0.9766,0.9242,1.0,0.6938,0.4444,0.2562
1.0,1.0,1.0,1.0,0.7903,0.5217,0.3017
0.786,0.8881,0.7544,1.0,0.5459,0.3626,0.2119
1.0,1.0,1.0,1.0,0.7903,0.5217,0.3017
1.0,0.9895,0.9576,1.0,0.9093,0.6953,0.4489
0.786,0.8754,0.6721,1.0,0.7001,0.5974,0.4505
1.0,0.9958,0.98,1.0,0.9905,0.9001,0.6833
1.0,0.9991,0.9958,1.0,0.9631,0.7918,0.5355
1.0,1.0,1.0,1.0,0.956,0.7712,0.5123
0.6608,0.8967,0.8173,0.5,0.7477,0.799,0.7357
0.8539,0.9683,0.9094,1.0,0.7298,0.4966,0.2937
1.0,1.0,1.0,1.0,0.7903,0.5217,0.3017
0.6608,0.7894,0.6854,0.5,0.5851,0.4444,0.2777
0.8304,0.9442,0.8556,1.0,0.6518,0.4354,0.2547
0.8688,0.9629,0.8759,1.0,0.8502,0.677,0.4567
0.8688,0.9804,0.9379,1.0,0.7503,0.5039,0.2959
1.0,0.9888,0.9617,1.0,0.7667,0.5105,0.2979
0.8539,0.9608,0.8833,1.0,0.669,0.4387,0.2552
1.0,0.9963,0.9861,1.0,0.8238,0.5647,0.3348
1.0,0.9987,0.9938,1.0,0.9755,0.8297,0.5797
1.0,1.0,1.0,1.0,0.7903,0.5217,0.3017
1.0,0.9904,0.9569,1.0,0.9796,0.8742,0.657
0.6164,0.8376,0.6562,1.0,0.5133,0.3803,0.2371
1.0,0.9466,0.797,1.0,0.8748,0.8169,0.7869
1.0,0.9974,0.9866,1.0,0.9992,0.9759,0.8493
1.0,1.0,1.0,1.0,0.7903,0.5217,0.3017
0.5296,0.7882,0.6893,0.5,0.5839,0.447,0.279
1.0,0.9593,0.8691,1.0,0.7075,0.4726,0.2832
1.0,0.9839,0.9332,1.0,0.9468,0.7903,0.5578
1.0,1.0,1.0,1.0,0.945,0.7458,0.4867
1.0,0.9951,0.9821,1.0,0.7798,0.5164,0.2998
0.8304,0.9512,0.8767,1.0,0.6099,0.3876,0.2198
1.0,0.9877,0.9583,1.0,0.7143,0.4573,0.2611
1.0,0.9483,0.8332,1.0,0.8215,0.6978,0.508
1.0,1.0,1.0,1.0,0.8322,0.5695,0.3366
1.0,1.0,1.0,1.0,0.9997,0.9775,0.8422
0.8304,0.9496,0.8734,1.0,0.6623,0.4407,0.2565
0.8539,0.967,0.9029,1.0,0.6223,0.3898,0.2201
0.8304,0.9193,0.7708,1.0,0.7388,0.5955,0.4097
1.0,0.9896,0.9595,1.0,0.9369,0.7696,0.5255
1.0,1.0,1.0,1.0,0.9976,0.9419,0.7497
1.0,0.989,0.9524,1.0,0.9866,0.9543,0.8639
0.8539,0.9403,0.8219,1.0,0.7066,0.5035,0.3126
1.0,0.9822,0.9351,1.0,0.8486,0.6225,0.39
1.0,1.0,1.0,1.0,0.7903,0.5217,0.3017
0.8688,0.9896,0.9667,1.0,0.6559,0.4029,0.2242
1.0,0.9867,0.943,1.0,0.9654,0.8404,0.6179
0.8539,0.9571,0.8714,1.0,0.7685,0.5629,0.3521
1.0,1.0,1.0,1.0,0.6723,0.4095,0.2262
1.0,1.0,1.0,1.0,0.6723,0.4095,0.2262
1.0,0.9931,0.9762,1.0,0.7247,0.4627,0.263
0.8539,0.9265,0.7833,1.0,0.697,0.5199,0.3356
0.6548,0.8836,0.7406,1.0,0.6118,0.4488,0.2783
1.0,1.0,1.0,1.0,0.7379,0.4686,0.2649
0.7227,0.9446,0.8413,1.0,0.6395,0.4262,0.2512
1.0,0.9799,0.9325,1.0,0.7478,0.5004,0.2943
1.0,0.9986,0.9931,1.0,0.993,0.9076,0.6895
1.0,1.0,1.0,1.0,0.8658,0.6126,0.3698
1.0,0.9926,0.9664,1.0,0.9811,0.859,0.6268
1.0,0.9706,0.8975,1.0,0.822,0.6047,0.3825
0.786,0.9264,0.8435,1.0,0.796,0.7056,0.5025
1.0,0.9894,0.9603,1.0,0.8432,0.595,0.3622
1.0,0.9613,0.8528,1.0,0.9037,0.8697,0.8174
0.8539,0.9551,0.8649,1.0,0.769,0.5582,0.3489
1.0,0.9812,0.9201,1.0,0.9614,0.8258,0.6066
0.8688,0.974,0.9167,1.0,0.6895,0.446,0.2574
0.8688,0.9645,0.8855,1.0,0.8824,0.8421,0.7029
1.0,0.9806,0.9341,1.0,0.7516,0.4968,0.2919
0.8688,0.9818,0.9429,1.0,0.6428,0.397,0.2222
1.0,0.9959,0.9801,1.0,0.9909,0.9003,0.6833
1.0,1.0,1.0,1.0,0.7903,0.5217,0.3017
0.8304,0.9275,0.8069,1.0,0.6198,0.4194,0.2492
1.0,1.0,1.0,1.0,0.7379,0.4686,0.2649
1.0,0.9967,0.9853,1.0,0.9797,0.8555,0.6171
1.0,0.9961,0.9842,1.0,0.9044,0.6788,0.4281
1.0,0.9928,0.9722,1.0,0.8494,0.6009,0.365
1.0,0.9712,0.9014,1.0,0.797,0.5719,0.3545
1.0,0.9875,0.9485,1.0,0.9336,0.742,0.4962
1.0,0.9723,0.9069,1.0,0.7693,0.5353,0.3242
1.0,0.9755,0.8989,1.0,0.9574,0.9002,0.7692
1.0,0.9938,0.9765,1.0,0.8507,0.6035,0.3663
1.0,0.984,0.9397,1.0,0.9218,0.7572,0.5199
1.0,0.9833,0.9444,1.0,0.7059,0.4526,0.2594
1.0,0.9835,0.9403,1.0,0.8711,0.6578,0.42
1.0,0.9787,0.9083,1.0,0.9701,0.8714,0.687
1.0,0.9557,0.8271,1.0,0.9214,0.8304,0.703
1.0,0.986,0.9526,1.0,0.8002,0.5535,0.3311
0.786,0.9045,0.8,1.0,0.6198,0.4264,0.2523
1.0,1.0,1.0,1.0,0.7903,0.5217,0.3017
1.0,0.9825,0.934,1.0,0.8713,0.6539,0.4176
1.0,1.0,1.0,1.0,0.8322,0.5695,0.3366
1.0,1.0,1.0,1.0,0.7379,0.4686,0.2649
1.0,1.0,1.0,1.0,0.9976,0.9419,0.7497
1.0,0.973,0.8969,1.0,0.9364,0.8857,0.7604
1.0,0.9522,0.8283,1.0,0.882,0.7996,0.6652
1.0,1.0,1.0,1.0,0.6723,0.4095,0.2262
0.8539,0.9542,0.8582,1.0,0.8407,0.7072,0.4988
1.0,1.0,1.0,1.0,0.7379,0.4686,0.2649
0.8539,0.9747,0.9267,1.0,0.6355,0.3957,0.222
0.8539,0.9747,0.9267,1.0,0.6355,0.3957,0.222
1.0,1.0,1.0,1.0,0.8322,0.5695,0.3366
1.0,0.9846,0.9412,1.0,0.8929,0.6872,0.4465
1.0,1.0,1.0,1.0,0.7379,0.4686,0.2649
1.0,0.9951,0.9809,1.0,0.8805,0.6431,0.398
1.0,1.0,1.0,1.0,0.6723,0.4095,0.2262
1.0,0.985,0.9481,1.0,0.7593,0.5034,0.2948
1.0,1.0,1.0,1.0,0.7379,0.4686,0.2649
0.8539,0.9571,0.8722,1.0,0.6623,0.4344,0.2536
0.8539,0.9747,0.9267,1.0,0.6355,0.3957,0.222
1.0,0.9963,0.9861,1.0,0.8238,0.5647,0.3348
1.0,0.9766,0.9214,1.0,0.7411,0.4961,0.2926
0.8688,0.9718,0.9103,1.0,0.8657,0.6971,0.4675
1.0,1.0,1.0,1.0,0.7903,0.5217,0.3017
0.6608,0.8209,0.7425,0.5,0.6679,0.5312,0.3425
1.0,1.0,1.0,1.0,0.7379,0.4686,0.2649
0.6608,0.8202,0.7603,0.5,0.6591,0.5083,0.3181
0.8304,0.9329,0.8218,1.0,0.6303,0.4247,0.251
0.6992,0.927,0.8083,1.0,0.5699,0.3698,0.214
1.0,0.9892,0.9522,1.0,0.9701,0.8355,0.6032
0.5531,0.8851,0.7161,1.0,0.5468,0.3888,0.2394
1.0,0.981,0.9329,1.0,0.8197,0.5852,0.3595
1.0,0.9861,0.9497,1.0,0.8574,0.6296,0.3929
1.0,1.0,1.0,1.0,0.7379,0.4686,0.2649
1.0,0.9833,0.9444,1.0,0.7059,0.4526,0.2594
1.0,0.9728,0.8896,1.0,0.9431,0.8232,0.6254
0.8304,0.9496,0.8734,1.0,0.6623,0.4407,0.2565
0.6164,0.8392,0.6567,1.0,0.5391,0.4167,0.2674
1.0,1.0,1.0,1.0,0.8658,0.6126,0.3698
0.8539,0.9747,0.9267,1.0,0.6355,0.3957,0.222
0.786,0.9099,0.8179,1.0,0.6303,0.4317,0.2542
0.8688,0.9758,0.925,1.0,0.6323,0.3917,0.2204
0.6608,0.9002,0.8469,0.5,0.7935,0.8315,0.7068
1.0,0.9886,0.9583,1.0,0.8075,0.5531,0.3301
1.0,1.0,1.0,1.0,0.6723,0.4095,0.2262
0.8688,0.9896,0.9667,1.0,0.6559,0.4029,0.2242
1.0,0.985,0.9481,1.0,0.7593,0.5034,0.2948
0.8688,0.958,0.8687,1.0,0.7032,0.4788,0.2869
0.8304,0.9574,0.8908,1.0,0.8623,0.8176,0.6367
1.0,1.0,1.0,1.0,0.6723,0.4095,0.2262
0.8539,0.9265,0.7794,1.0,0.7008,0.5176,0.3336
0.786,0.9189,0.834,1.0,0.7464,0.5896,0.3808
1.0,1.0,1.0,1.0,0.6723,0.4095,0.2262
1.0,0.9827,0.9405,1.0,0.755,0.4999,0.2933
1.0,0.9783,0.9114,1.0,0.9469,0.8161,0.6043
1.0,0.9972,0.9889,1.0,0.8591,0.6083,0.3681
1.0,0.9931,0.9762,1.0,0.7247,0.4627,0.263
0.8304,0.9493,0.8736,1.0,0.7042,0.4885,0.2915
1.0,1.0,1.0,1.0,0.6723,0.4095,0.2262
1.0,0.9866,0.9473,1.0,0.9078,0.6894,0.4445
1.0,0.9643,0.8709,1.0,0.8507,0.6473,0.4266
0.8539,0.9615,0.8869,1.0,0.8012,0.6038,0.3841
1.0,0.9864,0.9483,1.0,0.881,0.6612,0.4207
1.0,0.9555,0.8538,1.0,0.8493,0.7394,0.5518
1.0,0.9719,0.9024,1.0,0.8685,0.6915,0.464
1.0,0.9846,0.9241,1.0,0.9979,0.9672,0.8667
1.0,0.9918,0.9705,1.0,0.8134,0.5594,0.333
0.6608,0.8923,0.798,0.5,0.7899,0.8185,0.701
0.8304,0.9374,0.835,1.0,0.5863,0.3763,0.216
0.6844,0.9015,0.7512,1.0,0.6098,0.4443,0.2765
1.0,1.0,1.0,1.0,0.945,0.7458,0.4867
1.0,0.9882,0.9483,1.0,0.9824,0.9501,0.8425
1.0,0.9939,0.9724,1.0,0.979,0.8609,0.6303
1.0,0.9931,0.9762,1.0,0.7247,0.4627,0.263
0.6608,0.834,0.7703,0.5,0.6983,0.5729,0.3754
1.0,1.0,1.0,1.0,0.9976,0.9419,0.7497
1.0,0.9896,0.9627,1.0,0.8402,0.5982,0.3645
