NDCG@5,NDCG,AP,RR,RBP_80,RBP_90,RBP_95
0.5087,0.8193,0.5708,1.0,0.5266,0.4853,0.3868
0.4469,0.6975,0.5284,0.3333,0.4511,0.4041,0.2804
0.8539,0.9502,0.8524,1.0,0.6492,0.4285,0.2516
0.7227,0.8998,0.7222,1.0,0.5917,0.4187,0.2648
0.3452,0.6812,0.5054,0.5,0.3934,0.3108,0.1968
0.5531,0.8246,0.5822,1.0,0.4569,0.353,0.2417
0.6164,0.7928,0.5322,1.0,0.4675,0.4316,0.3417
0.2773,0.7118,0.5042,0.25,0.409,0.4661,0.3986
0.0,0.6668,0.426,0.1667,0.1522,0.3058,0.3756
0.4469,0.7078,0.4692,0.3333,0.4162,0.4239,0.3649
0.214,0.67,0.4045,0.5,0.2885,0.3368,0.3193
0.6164,0.856,0.6114,1.0,0.6207,0.6174,0.5726
0.3392,0.7558,0.4981,1.0,0.3762,0.3307,0.2362
1.0,0.985,0.9481,1.0,0.7593,0.5034,0.2948
0.5531,0.847,0.6221,1.0,0.502,0.3795,0.2517
0.5148,0.7443,0.5931,0.5,0.4946,0.3749,0.2354
0.6844,0.8687,0.6419,1.0,0.6406,0.5268,0.3868
0.5531,0.8571,0.6411,1.0,0.5242,0.3907,0.2556
0.8688,0.9301,0.7912,1.0,0.6482,0.4423,0.2725
0.4852,0.8081,0.5909,1.0,0.4582,0.3534,0.2279
0.1696,0.6297,0.4146,0.3333,0.3077,0.3307,0.2542
0.1696,0.6641,0.4134,0.3333,0.2438,0.3369,0.349
0.3601,0.6793,0.4614,0.5,0.3808,0.3411,0.2408
0.3008,0.7077,0.4521,0.3333,0.32,0.3955,0.403
0.4852,0.8108,0.5952,1.0,0.4644,0.3552,0.2283
0.4852,0.8227,0.5184,1.0,0.3979,0.4216,0.4783
0.3156,0.7379,0.435,0.3333,0.3576,0.405,0.4112
0.3836,0.7023,0.4925,0.5,0.4151,0.3543,0.2449
0.214,0.6656,0.4507,0.5,0.3572,0.3354,0.2399
0.3452,0.6705,0.4534,0.5,0.3671,0.3382,0.2404
0.4852,0.7987,0.539,1.0,0.4641,0.4697,0.4106
0.4852,0.8087,0.5646,1.0,0.5059,0.475,0.3728
0.6992,0.8923,0.7203,1.0,0.5862,0.4274,0.2699
0.8688,0.9668,0.9,1.0,0.6172,0.3826,0.217
0.4469,0.6863,0.5451,0.3333,0.4413,0.3613,0.2323
0.0,0.6454,0.4222,0.1667,0.1972,0.3376,0.3499
0.6399,0.8268,0.6006,1.0,0.5167,0.4134,0.2809
