loss_type: ndcg_5, lr: 0.001, frac: 1.0, th: 0, emb_size: 32, fold: 2, NDCG = 0.7773, AP = 0.5694, RR = 0.7056, RBP_80 = 0.4822, RBP_90 = 0.4195, RBP_95 = 0.3177, 
loss_type: ndcg_5, lr: 0.01, frac: 1.0, th: 0, emb_size: 32, fold: 2, NDCG = 0.7787, AP = 0.5715, RR = 0.7059, RBP_80 = 0.4843, RBP_90 = 0.4205, RBP_95 = 0.3181, 
loss_type: ndcg_5, lr: 0.1, frac: 1.0, th: 0, emb_size: 32, fold: 2, NDCG = 0.9122, AP = 0.787, RR = 0.9393, RBP_80 = 0.6979, RBP_90 = 0.5401, RBP_95 = 0.3733, 
loss_type: ndcg_5, lr: 1.0, frac: 1.0, th: 0, emb_size: 32, fold: 2, NDCG = 0.9429, AP = 0.8554, RR = 0.9651, RBP_80 = 0.7544, RBP_90 = 0.5801, RBP_95 = 0.3954, 
loss_type: ndcg_5, lr: 3.0, frac: 1.0, th: 0, emb_size: 32, fold: 2, NDCG = 0.9432, AP = 0.8559, RR = 0.9659, RBP_80 = 0.7545, RBP_90 = 0.5802, RBP_95 = 0.3954, 
loss_type: ndcg_5, lr: 10.0, frac: 1.0, th: 0, emb_size: 32, fold: 2, NDCG = 0.9431, AP = 0.8557, RR = 0.9662, RBP_80 = 0.7547, RBP_90 = 0.5801, RBP_95 = 0.3953, 
loss_type: dcg, lr: 0.001, frac: 1.0, th: 0, emb_size: 32, fold: 2, NDCG = 0.7774, AP = 0.5694, RR = 0.7058, RBP_80 = 0.4823, RBP_90 = 0.4195, RBP_95 = 0.3177, 
loss_type: dcg, lr: 0.01, frac: 1.0, th: 0, emb_size: 32, fold: 2, NDCG = 0.7788, AP = 0.5716, RR = 0.7063, RBP_80 = 0.4844, RBP_90 = 0.4205, RBP_95 = 0.3181, 
loss_type: dcg, lr: 0.1, frac: 1.0, th: 0, emb_size: 32, fold: 2, NDCG = 0.9122, AP = 0.787, RR = 0.9393, RBP_80 = 0.6979, RBP_90 = 0.5401, RBP_95 = 0.3733, 
loss_type: dcg, lr: 1.0, frac: 1.0, th: 0, emb_size: 32, fold: 2, NDCG = 0.943, AP = 0.8557, RR = 0.9651, RBP_80 = 0.7544, RBP_90 = 0.5801, RBP_95 = 0.3953, 
loss_type: dcg, lr: 3.0, frac: 1.0, th: 0, emb_size: 32, fold: 2, NDCG = 0.9432, AP = 0.8559, RR = 0.9659, RBP_80 = 0.7545, RBP_90 = 0.5802, RBP_95 = 0.3954, 
loss_type: dcg, lr: 10.0, frac: 1.0, th: 0, emb_size: 32, fold: 2, NDCG = 0.9431, AP = 0.8557, RR = 0.9662, RBP_80 = 0.7547, RBP_90 = 0.5801, RBP_95 = 0.3953, 
